ConversationId	MessageId	MessageTimestamp	MessageFrom	MessageText	JudgedDomain	JudgedIntent	JudgedConstraints	MetaData	ConversationContext	Dataset	SampleType	Frequency
Teams002bf2ba-8c50-4a8b-8f29-ebe1d8b4ffe0	0	7/16/2019 14:55	user	Open file.	FILES	file_open	Open file.	[]				42
Teams4af75aa6-81a7-4cd4-b862-fc51166bf4bb	0	8/22/2019 6:37	user	Hey Cortana open files.	FILES	file_open	Hey Cortana open files.	[]				8
Teams93b410da-eef6-445d-a327-d9e2ec710373	0	7/17/2019 2:58	user	Hey Cortana Open file.	FILES	file_open	Hey Cortana Open file.	[]				13
Teams8eb2750b-4b44-42b2-9089-fda633be3067	0	7/24/2019 6:46	user	Open file specs.	FILES	file_open	Open file <file_keyword>specs</file_keyword>.	[]				15
Teams6d716ac4-62f5-434e-bcbc-90f0a3478e58	0	8/30/2019 9:31	user	Hey Cortana open my deck.	FILES	file_open	Hey Cortana open <contact_name>my</contact_name> <file_type>deck</file_type>.	[]				3
Teamsbd2eedf9-be12-4fb3-a7fb-e2e65aec506c	0	8/13/2019 6:19	user	Open fight.	FILES	file_open	Open <file_keyword>fight</file_keyword>.	[]				1
Teamsbda51129-19e4-4c74-a64c-ce6d78c14167	0	7/25/2019 6:32	user	Hey Cortana Open file Platform.	FILES	file_open	Hey Cortana Open file <file_keyword>Platform</file_keyword>.	[]				5
Teamseb3360c9-eafe-4f07-bc8a-15dae08c1d99	0	7/17/2019 9:15	user	Cortana open yoka.	FILES	file_open	Cortana open <file_keyword>yoka</file_keyword>.	[]				1
Teamsdfd76ca0-1900-4691-9514-81bc6fb27cc9	0	8/21/2019 22:24	user	Cortana open the Lt review deck.	FILES	file_open	Cortana open the <file_keyword>Lt review</file_keyword> <file_type>deck</file_type>.	[]				1
Teamsffa921be-e174-46e1-a415-39defacdff2c	0	7/25/2019 16:23	user	Hey Cortana, open the box deck.	FILES	file_open	Hey Cortana, open the <file_keyword>box</file_keyword> <file_type>deck</file_type>.	[]				1
Teams19f73f70-704d-43f1-9eef-d183b8667848	0	8/6/2019 12:09	user	Open file skills.	FILES	file_open	Open file <file_keyword>skills</file_keyword>.	[]				2
Teams50209381-e806-4f38-99fc-dfd80fc0d971	0	8/29/2019 17:08	user	Open my last file.	FILES	file_open	Open <contact_name>my</contact_name> <order_ref>last</order_ref> file.	[]				1
Teamsc9c7e211-b6ba-492b-9251-2d5eff5edf58	0	7/16/2019 8:38	user	Open quote document.	FILES	file_open	Open <file_keyword>quote</file_keyword> document.	[]				1
Teamsb86fd06c-ef8c-4d30-9c1e-eee870d0048f	0	8/29/2019 3:43	user	Open the Excel. I was working on.	FILES	file_open	Open the <file_type>Excel</file_type>. <contact_name>I</contact_name> was <file_action>working</file_action> on.	[]				2
Teams0957fef2-0463-420d-a424-e044caef42fb	0	7/24/2019 7:17	user	Open files.	FILES	file_open	Open files.	[]				17
Teams85a12a53-d2b8-4c6a-a4ba-817d4f315f68	0	8/20/2019 8:04	user	Open file Microsoft Teams.	FILES	file_open	Open file <file_keyword>Microsoft Teams</file_keyword>.	[]				1
Teams5f04642f-e255-4a17-84d4-d270ba21cbb7	0	8/5/2019 16:54	user	Open Asia.	FILES	file_open	Open <files_keyword>Asia</files_keyword>.	[]				1
Teamsabfc4897-5140-4049-9313-156696f44f63	0	8/13/2019 11:29	user	Cortana open file.	FILES	file_open	Cortana open file.	[]				3
Teamsd4ef3ede-6e35-4ddf-ba15-5b70688158a8	0	7/28/2019 16:15	user	Open the file I was working on.	FILES	file_open	Open the file <contact_name>I</contact_name> was <file_action>working</file_action> on.	[]				2
Teamse6ccfa7f-d2a2-4491-ac6e-46108dd6f5f2	0	8/23/2019 0:21	user	Open recent files.	FILES	file_open	Open <file_recency>recent</file_recency> files.	[]				2
Teams023b5769-e2ef-4d6f-b22b-fa26aebccc78	0	8/14/2019 14:00	user	Hey Cortana, open the last brushite.	FILES	file_open	Hey Cortana, open the <order_ref>last</order_ref> <file_keyword>brushite</file_keyword>.	[]				1
Teamsb4563559-d6d2-496b-871c-5b8fdd0a5389	0	7/30/2019 11:47	user	Open Discoverability deck.	FILES	file_open	Open <file_keyword>Discoverability</file_keyword> <file_type>deck</file_type>.	[]				1
Teams67ffe2d8-9207-4ca0-9072-689c525a7451	0	7/23/2019 2:44	user	Hey Cortana Open File Cortana.	FILES	file_open	Hey Cortana Open File <file_keyword>Cortana</file_keyword>.	[]				10
Teams8ff87fe0-1308-4b38-a019-22cf148c85e6	0	8/29/2019 17:09	user	Open my last document.	FILES	file_open	Open <contact_name>my</contact_name> <order_ref>last</order_ref> document.	[]				2
Teams277c04fe-0ee9-491a-9181-9cdc15ce7593	0	7/24/2019 6:48	user	Open file in meeting.	FILES	file_open	Open file in <file_action_context>meeting</file_action_context>.	[]				1
Teamsd082d7a6-28af-471d-b407-75fe9a5d4df3	0	8/28/2019 10:44	user	Open file Kingston.	FILES	file_open	Open file <file_keyword>Kingston</file_keyword>.	[]				2
Teams7d096fb4-ea30-4e2c-8b24-f72b0acf11a5	0	8/13/2019 8:08	user	Open bug bash template.	FILES	file_open	Open <file_keyword>bug bash template</file_keyword>.	[]				1
Teamse2aa68a1-46de-445d-a2bb-9e2cb38d2b7b	0	8/1/2019 6:01	user	Cortana open JA deck.	FILES	file_open	Cortana open <file_keyword>JA</file_keyword> <file_type>deck</file_type>.	[]				1
Teamse7bf0dab-07e0-4f38-b853-d3de02424ba8	0	8/6/2019 7:27	user	Hey Cortana, open the file.	FILES	file_open	Hey Cortana, open the file.	[]				1
Teams152f2c4d-afd8-47a3-bbe5-8f047a99efaa	0	7/22/2019 20:55	user	Open the Cortana Fre deck.	FILES	file_open	Open the <file_keyword>Cortana Fre</file_keyword> <file_type>deck</file_type>.	[]				1
Teams23f5b8de-3d4a-48d7-a004-0f6b568c4833	0	7/19/2019 6:44	user	Open file Cortana.	FILES	file_open	Open file <file_keyword>Cortana</file_keyword>.	[]				3
Teamsc4d11c82-2e06-419b-9bd3-e1a30d1eccfb	0	8/22/2019 6:34	user	Hey Cortana open Platform file.	FILES	file_open	Hey Cortana open <file_keyword>Platform</file_keyword> file.	[]				1
Teamsce4f0391-1423-431d-9aa5-2186e88df99b	0	8/20/2019 9:48	user	Hey Cortana, open ERP for Smart Reply.	FILES	file_open	Hey Cortana, open <file_keyword>ERP for Smart Reply</file_keyword>.	[]				1
Teams9fe93246-784a-4ef7-bb1a-6a248863c1b0	0	8/12/2019 7:20	user	Hey Cortana, open my file.	FILES	file_open	Hey Cortana, open <contact_name>my</contact_name> file.	[]				1
Teams95ac3f46-2808-45c3-bb49-7d22e0ba55a4	0	8/13/2019 15:15	user	Cortana open Lt Review Tech.	FILES	file_open	Cortana open <file_keyword>Lt Review Tech</file_keyword>.	[]				1
Teamsdc3f6ed5-89ac-4e6e-9dd6-f72c7beb81ad	0	8/16/2019 18:34	user	Open the tax dialogue Doc.	FILES	file_open	Open the <file_keyword>tax dialogue</file_keyword> Doc.	[]				1
Teams97b30339-193b-4aec-94c3-c57fb559182b	0	8/13/2019 8:33	user	Open word file.	FILES	file_open	Open <file_type>word</file_type> file.	[]				2
Teamsee7350a2-68a0-41e1-af33-d78c59a61b43	0	8/27/2019 8:26	user	Open a file.	FILES	file_open	Open a file.	[]				7
Teamse2a9ea6a-ef20-47f6-ad00-a42303074ac6	0	8/27/2019 7:35	user	Hey Cortana Open file test.	FILES	file_open	Hey Cortana Open file <file_keyword>test</file_keyword>.	[]				2
Teams1aeff0ad-93e8-415d-8da6-b856e5de3472	0	7/19/2019 2:05	user	Hey Cortana, Open the document by Perry Clarke.	FILES	file_open	Hey Cortana, Open the document by <contact_name>Perry Clarke</contact_name>.	[]				1
Teams63906f40-f4c7-4d1c-99ee-33042e1ec69d	0	8/16/2019 18:06	user	Open the Timeframes Doc.	FILES	file_open	Open the <file_keyword>Timeframes</file_keyword> Doc.	[]				1
Teams9db9bdca-fb50-448f-8371-e2b8076ce6c2	0	8/13/2019 15:29	user	Cortana open validation spreadsheet?	FILES	file_open	Cortana open <file_keyword>validation</file_keyword> <file_type>spreadsheet</file_type>?	[]				1
Teamsa6b2d534-9cdd-4fa7-8713-3cebf1c8b462	0	8/20/2019 19:09	user	Hey Cortana, open testing PowerPoint file.	FILES	file_open	Hey Cortana, open <file_keyword>testing</file_keyword> <file_type>PowerPoint</file_type> file.	[]				2
Teamsfde49ce3-45cb-42c8-9728-d8d9fe491d54	0	8/8/2019 8:44	user	Hey Cortana Open file Opt-in Promotion.	FILES	file_open	Hey Cortana Open file <file_keyword>Opt-in Promotion</file_keyword>.	[]				1
Teams7292655c-6bfb-4fc2-ad37-85f40183b394	0	8/13/2019 8:30	user	Open word files.	FILES	file_open	Open <file_type>word</file_type> files.	[]				1
Teams1f9c2e59-f279-40d2-b9c1-53103338e48a	0	8/22/2019 6:14	user	Open specs file.	FILES	file_open	Open <file_keyword>specs</file_keyword> file.	[]				1
Teams766e3737-d306-4bb1-a685-be44874aae51	0	8/26/2019 5:28	user	Open DW review deck.	FILES	file_open	Open <file_keyword>DW review</file_keyword> <file_type>deck</file_type>.	[]				1
Teams67735090-ab12-47d7-9264-fbf7d57f844c	0	8/21/2019 18:16	user	Open my Shiproom Doc.	FILES	file_open	Open <contact_name>my</contact_name> <file_keyword>Shiproom</file_keyword> Doc.	[]				1
Teamse7f29943-9ecc-4797-a917-74d730e05596	0	8/5/2019 8:42	user	Open the deck chains on the go.	FILES	file_open	Open the <file_type>deck</file_type> <file_keyword>chains on the go</file_keyword>.	[]				1
Teams32ffa4e0-baad-4806-9652-e99a7c7284ce	0	8/12/2019 2:54	user	Open Excel. I was working on.	FILES	file_open	Open <file_type>Excel</file_type>. <contact_name>I</contact_name> was <file_action>working</file_action> on.	[]				1
Teams5adf2658-d1ad-4f1d-9d7f-aa1d79654a59	0	7/22/2019 5:48	user	Hey Cortana Open file bright phone.	FILES	file_open	Hey Cortana Open file <file_keyword>bright phone</file_keyword>.	[]				1
Teams8eef74a9-f617-4e75-8c9e-47bce30d2210	0	8/26/2019 7:29	user	Open Zoo X one note.	FILES	file_open	Open <file_keyword>Zoo X</file_keyword> <file_type>one note</file_type>.	[]				1
Teamsc2daf875-241d-4a34-bbc8-5c5fd051cdea	0	8/15/2019 6:11	user	Open file for Rufus.	FILES	file_open	Open file for <file_keyword>Rufus</file_keyword>.	[]				1
Teamse1b17844-2ae5-4f8f-9ab0-e58d43bf6a82	0	7/25/2019 8:08	user	Open the skills spreadsheet.	FILES	file_open	Open the <file_keyword>skills</file_keyword> <file_type>spreadsheet</file_type>.	[]				1
Teams3769a513-489b-4404-8fe5-322d5642312c	0	7/16/2019 5:27	user	Open skill measurement deck.	FILES	file_open	Open <file_keyword>skill measurement</file_keyword> <file_type>deck</file_type>.	[]				1
Teams4d32d8a7-64a0-4f08-b290-286898a9c4d8	0	8/2/2019 19:54	user	Open text-based Cortana deck.	FILES	file_open	Open <file_keyword>text-based Cortana</file_keyword> <file_type>deck</file_type>.	[]				1
Teams10cbcc25-c27b-43f8-99c9-48b50bf23531	0	7/16/2019 18:16	user	Open NT music.	FILES	file_open	Open <file_keyword>NT music</file_keyword>.	[]				1
Teams1cf21034-639b-495e-b26c-c30c23dc1044	0	8/30/2019 8:57	user	Hey Cortana open outlook deck.	FILES	file_open	Hey Cortana open <file_keyword>outlook</file_keyword> <file_type>deck</file_type>.	[]				1
