ConversationId	MessageId	MessageTimestamp	MessageFrom	MessageText	CortanaResponse	JudgedDomain	JudgedIntent	JudgedConstraints	MetaData	ConversationContext	Dataset	SampleType	Frequency	GuidelineVersion
c0b7d187-eac7-4eee-8fdc-970720e75edd	0	11/8/2019 1:59	user	What can you do?	Here's how I can help.	COMMON	help	What can you do?	[]		Teams	Speech	251	19.17
630e8537-3725-48aa-a225-6f9f75e0ea3e	0	11/26/2019 2:54	user	Who is Siyao Hu?	Siyao Hu (Wicresoft). reports to Xiao Zhang. You can ask me to call or message this person.	PEOPLE	search_people_by_name	Who is <contact_name>Siyao Hu</contact_name>?	[]		Teams	Speech	236	19.17
19ad06f0-4d0b-4392-b13e-0256175736da	0	11/18/2019 7:00	user	Who is Harry?	Harry He, SENIOR PROGRAM MANAGER in SQI and Cortana ENG BJ 1107, reports to Donald Huo. Try saying, call him or message him.	PEOPLE	search_people_by_name	Who is <contact_name>Harry</contact_name>?	[]		Teams	Speech	234	19.17
8fb01bf7-d5b7-4121-a690-df4931148713	0	11/6/2019 8:06	user	Hello.	I'm sorry, I don't know the answer to that one yet, but I'm always learning.	NOTSURE	other_domain	Hello.	[]		Teams	Speech	183	19.17
61c6a97d-ef6d-482a-9314-81201314ff48	0	11/21/2019 23:45	user	Hey Cortana cancel.		COMMON	cancel	Hey Cortana cancel.	[]		Teams	Speech	180	19.17
155f1c35-0034-4e94-a86e-0374a8cbf96a	0	11/13/2019 9:03	user	Help.	Here's how I can help.	COMMON	help	Help.	[]		Teams	Speech	156	19.17
862e3486-c58c-49f8-9666-437b62f6da00	0	11/19/2019 17:00	user	Send a message.	Who's the message going to?	COMMUNICATION	send_text	Send a message.	[]		Teams	Speech	156	19.17
94c1d382-2675-46c3-be6a-08f40c2ebf4f	0	11/5/2019 9:30	user	Present the deck.	I couldn't find a presentation in the invite or in your recent files.	INMEETING	start_presenting	Present the deck.	[]		Teams	Speech	151	19.17
ca5f9132-e62f-4854-86b3-6aea2881c0f3	0	11/6/2019 1:09	user	Join my meeting.		CALENDAR	connect_to_meeting	Join my meeting.	[]		Teams	Speech	150	19.17
70097c30-e83f-46e0-8ef8-ba955c31c57f	0	11/21/2019 8:25	user	Who is Kaiqi Wang?		PEOPLE	search_people_by_name	Who is <contact_name>Kaiqi Wang</contact_name>?	[]		Teams	Speech	148	19.17
8b4010a1-217b-48ba-a2df-34606338d1b7	0	11/26/2019 19:00	user	Join my next meeting.		CALENDAR	connect_to_meeting	Join my <start_time>next</start_time> meeting.	[]		Teams	Speech	143	19.17
14cfa489-bb13-4b16-a8c4-87e0bc6dfd58	0	11/20/2019 8:32	user	What's my next meeting?	Here's what's next.	CALENDAR	find_calendar_entry	What&apos;s my <start_time>next</start_time> meeting?	[]		Teams	Speech	124	19.17
331cc35c-c619-407d-926c-1c53a17d0346	0	11/18/2019 7:41	user	Read my messages.	You have 2 new messages.Ahmad Sbeih (ASAL Technologies Ltd) sent you at Yesterday's Afternoon the following messages: salallybles.	COMMUNICATION	query_message	Read my messages.	[]		Teams	Speech	123	19.17
5b5eb686-1fd2-4f93-b9ba-0c7f6a75d707	0	11/27/2019 13:23	user	Get my messages.	I'm sorry, but I can't help with that.	COMMUNICATION	query_message	Get my messages.	[]		Teams	Speech	105	19.17
f286848b-d916-435f-9119-fa990efacdf3	0	11/22/2019 10:32	user	What do I have today?		CALENDAR	find_calendar_entry	What do I have <start_date>today</start_date>?	[]		Teams	Speech	96	19.17
