ConversationId	MessageId	MessageTimestamp	MessageFrom	MessageText	CortanaResponse	JudgedDomain	JudgedIntent	JudgedConstraints	MetaData	ConversationContext	Dataset	SampleType	Frequency	GuidelineVersion
ad2a8c1a-8425-488d-9415-be4b368cf3ff	0	2/7/2020 23:05	user	Hey Cortana cancel that.		COMMON	cancel	Hey Cortana cancel that.	[]		Teams	Speech	377	21.1
40f044cc-ab82-44cb-a610-b52fbec9aa9a	0	2/18/2020 10:23	user	Hello.		NOTSURE	other_domain	Hello.	[]		Teams	Speech	320	21.1
f7fe42fe-e399-4edb-8d41-67b48d66ea32	0	2/13/2020 7:22	user	Join my meeting.		CALENDAR	connect_to_meeting	Join my meeting.	[]		Teams	Speech	261	21.1
c5e308b5-6a5b-4e48-9b21-ee161e14b26c	0	2/28/2020 3:18	user	Read my messages.		COMMUNICATION	query_message	Read my messages.	[]		Teams	Speech	229	21.1
81126627-3af0-4e25-b1b9-0e91578ebae3	0	2/2/2020 10:07	user	Present the deck.		INMEETING	start_presenting	Present the deck.	[]		Teams	Speech	222	21.1
06cc05b9-b154-4495-a060-eb453d7dbc70	0	2/20/2020 7:46	user	Send a message.		COMMUNICATION	send_text	Send a message.	[]		Teams	Speech	213	21.1
0a84e4ed-cfbd-4424-8e64-6549d121fde2	0	2/21/2020 8:40	user	What can you do?		COMMON	help	What can you do?	[]		Teams	Speech	193	21.1
83ec97f3-945a-40e3-9c8e-b6ca0d0b298e	0	2/27/2020 4:18	user	Help.		COMMON	help	Help.	[]		Teams	Speech	181	21.1
44d72001-a995-4f33-8786-8a6f4327e302	0	2/20/2020 16:06	user	When is my next meeting?		CALENDAR	find_calendar_when	When is my <start_time>next</start_time> meeting?	[]		Teams	Speech	154	21.1
019144be-2d88-4fd7-a8ca-d8d06019fa24	0	2/29/2020 7:18	user	Join my next meeting.		CALENDAR	connect_to_meeting	Join my <start_time>next</start_time> meeting.	[]		Teams	Speech	151	21.1
f6544888-7de1-460f-8672-40c933237c4f	0	2/3/2020 14:39	user	What's my next meeting?		CALENDAR	find_calendar_entry	What&apos;s my <start_time>next</start_time> meeting?	[]		Teams	Speech	150	21.1
c00c74e1-d064-4a7d-8819-d7cd1c7530fb	0	2/17/2020 9:23	user	Cortana.		NOTSURE	other_domain	Cortana.	[]		Teams	Speech	142	21.1
2147a2aa-6f7c-4b88-b0b2-23ed30dd2760	0	2/20/2020 21:09	user	Call 409-444-6721.		COMMUNICATION	make_call	Call <phone_number>409-444-6721</phone_number>.	[]		Teams	Speech	117	21.1
ff53c90e-e3ad-40c5-abb6-46846e632b10	0	2/26/2020 5:56	user	Send a message to Rose.		COMMUNICATION	send_text	Send a message to <contact_name>Rose</contact_name>.	[]		Teams	Speech	113	21.1
549b6faf-db2e-4386-b893-013c006801d4	0	2/28/2020 6:39	user	Hello hello hello.		NOTSURE	notsure_other	Hello hello hello.	[]		Teams	Speech	108	21.1
27f84334-7652-4d7b-9429-2f7f429ea2a5	0	2/14/2020 12:28	user	Next meeting.		CALENDAR	find_calendar_entry	<start_time>Next</start_time> meeting.	[]		Teams	Speech	96	21.1
91851540-f623-4074-9a52-5b9b74795b8d	0	2/17/2020 7:24	user	Make a call.		COMMUNICATION	make_call	Make a call.	[]		Teams	Speech	89	21.1
3f60c2ed-912c-44c4-ba87-2b86b5d5743d	0	2/26/2020 21:50	user	What meetings do I have today?		CALENDAR	find_calendar_entry	What meetings do I have <start_date>today</start_date>?	[]		Teams	Speech	82	21.1
57e29caf-18ce-4837-917e-78def7eab71b	0	2/3/2020 7:56	user	What do I have today?		CALENDAR	find_calendar_entry	What do I have <start_date>today</start_date>?	[]		Teams	Speech	82	21.1
c5e711c7-3236-4151-8b97-c22e2f91756d	0	2/11/2020 13:23	user	My next meeting.		CALENDAR	find_calendar_entry	My <start_time>next</start_time> meeting.	[]		Teams	Speech	77	21.1
66584dc4-49d5-4e41-82a6-7f7a156bf7e9	0	2/3/2020 7:49	user	What's on my calendar?		CALENDAR	find_calendar_entry	What&apos;s on my calendar?	[]		Teams	Speech	76	21.1
b1fb17d9-897f-47fa-a9b2-870f2c189216	0	2/20/2020 10:51	user	Who is Harry?		PEOPLE	search_people_by_name	Who is <contact_name>Harry</contact_name>?	[]		Teams	Speech	76	21.1
64a60763-1ccf-4fbf-a586-c3dac6294fc0	0	2/20/2020 6:49	user	What meetings do I have tomorrow?		CALENDAR	find_calendar_entry	What meetings do I have <start_date>tomorrow</start_date>?	[]		Teams	Speech	69	21.1
9ed93055-80ce-4e99-9789-f5869a316eca	0	2/24/2020 7:10	user	End the meeting.		CALENDAR	disconnect_from_meeting	End the meeting.	[]		Teams	Speech	68	21.1
d8385282-135f-4cab-ae3d-269840369d81	0	2/27/2020 1:47	user	Join the meeting.		CALENDAR	connect_to_meeting	Join the meeting.	[]		Teams	Speech	66	21.1
27ea9983-3efc-4c55-8859-703d0f733194	0	2/19/2020 12:41	user	Read messages.		COMMUNICATION	query_message	Read messages.	[]		Teams	Speech	57	21.1
2fd470e6-16c0-462b-a976-644c82a5fa23	0	2/18/2020 6:11	user	Next slide.		INMEETING	next_slide	Next slide.	[]		Teams	Speech	56	21.1
4612c709-906a-4058-a8e4-08b4c211a768	0	2/5/2020 6:54	user	Open a file.		FILES	file_open	Open a file.	[]		Teams	Speech	55	21.1
c0765cef-2bc8-4f83-8df7-2afac756b635	0	2/25/2020 19:25	user	Send feedback.		NOTSURE	other_domain	Send feedback.	[]		Teams	Speech	51	21.1
57a311b1-86a1-4df8-b97f-536c0947794b	0	2/20/2020 6:44	user	Hello hello.		NOTSURE	other_domain	Hello hello.	[]		Teams	Speech	46	21.1
7c834fca-8eed-454d-a12e-24ecf2af2b61	0	2/12/2020 8:50	user	Show me my at mentions.		TEAMSACTION	teamsuser_showactivity	Show me my <teamsuser_activitytype>at mentions</teamsuser_activitytype>.	[]		Teams	Speech	46	21.1
2f31bb8a-613e-42a1-a159-159508af90eb	0	2/20/2020 22:15	user	Call.		COMMUNICATION	make_call	Call.	[]		Teams	Speech	43	21.1
