ConversationId	MessageId	MessageTimestamp	MessageFrom	MessageText	CortanaResponse	JudgedDomain	JudgedIntent	JudgedConstraints	MetaData	ConversationContext	Dataset	SampleType	Frequency	GuidelineVersion
3db13630-f6cb-4b77-8632-856d93a942e6	0	1/22/2020 22:30	user	Hey Cortana what's up.		CALENDAR	find_calendar_entry	Hey Cortana what&apos;s up.	[]		Teams	Speech	329	21.1
c242152b-49a0-4970-9bb7-e4189f60107a	0	1/23/2020 19:24	user	Cortana what's up.		CALENDAR	find_calendar_entry	Cortana what&apos;s up.	[]		Teams	Speech	284	21.1
9a9cc378-75d6-4fe3-8148-fede1972e548	0	1/20/2020 16:29	user	Present the deck.		INMEETING	start_presenting	Present the deck.	[]		Teams	Speech	281	21.1
04b33b0f-d2f2-44d1-ac69-dcb39f68e003	0	1/7/2020 9:01	user	What can you do?		COMMON	help	What can you do?	[]		Teams	Speech	253	21.1
b67a65bc-e9dd-4055-8e29-bde8b7529fb9	0	1/17/2020 8:00	user	Join my meeting.		CALENDAR	connect_to_meeting	Join my meeting.	[]		Teams	Speech	235	21.1
217daf01-1e50-462b-a2f5-b9ebd604833e	0	1/14/2020 6:44	user	Help.		COMMON	help	Help.	[]		Teams	Speech	203	21.1
659acc42-9313-4c2c-aa8d-107c3b68e30e	0	1/21/2020 6:05	user	Send a message.		COMMUNICATION	send_text	Send a message.	[]		Teams	Speech	176	21.1
a5061ef2-1ca9-41d5-9d15-d1c1f613d548	0	1/9/2020 0:41	user	Hey Cortana cancel.		COMMON	cancel	Hey Cortana cancel.	[]		Teams	Speech	165	21.1
c7d2f2e5-b669-4eb5-aac9-b25eaecca80e	0	1/20/2020 9:18	user	Hello.		NOTSURE	other_domain	Hello.	[]		Teams	Speech	151	21.1
388f0048-b504-4f76-8a88-d82f7c142f21	0	1/2/2020 6:28	user	What's on my calendar?		CALENDAR	find_calendar_entry	What&apos;s on my calendar?	[]		Teams	Speech	139	21.1
9ceadd8c-d524-44fd-8470-32e97f500d46	0	1/15/2020 0:21	user	Join my next meeting.		CALENDAR	connect_to_meeting	Join my <start_time>next</start_time> meeting.	[]		Teams	Speech	119	21.1
3012cee1-1af6-4437-bb64-4c61d036b8ee	0	1/16/2020 2:32	user	Make a call.		COMMUNICATION	make_call	Make a call.	[]		Teams	Speech	99	21.1
2f6c5c1d-9fe0-440d-91c6-9ecb46267493	0	1/10/2020 7:45	user	Cortana.		NOTSURE	other_domain	Cortana.	[]		Teams	Speech	94	21.1
5d875486-92c1-48e4-88b0-62a71eb71eaa	0	1/8/2020 10:05	user	Send a message to rose.		COMMUNICATION	send_text	Send a message to <contact_name>rose</contact_name>.	[]		Teams	Speech	89	21.1
260392a6-2aa8-4ede-95a7-ea214cf96cdd	0	1/7/2020 2:12	user	Send a message to Rose.		COMMUNICATION	send_text	Send a message to <contact_name>Rose</contact_name>.	[]		Teams	Speech	88	21.1
ae1fd739-29e7-4a4a-9df9-4243b94e3b22	0	1/17/2020 7:10	user	What do I have today?		CALENDAR	find_calendar_entry	What do I have <start_date>today</start_date>?	[]		Teams	Speech	82	21.1
a6fc6b32-1ef8-4ef2-a883-378d2d7db963	0	1/22/2020 23:29	user	Hey Cortana cancel that.		COMMON	cancel	Hey Cortana cancel that.	[]		Teams	Speech	69	21.1
95a871e0-0773-40a9-adb3-e09bd2a86f59	0	1/13/2020 7:09	user	What's my next meeting?		CALENDAR	find_calendar_entry	What&apos;s my <start_time>next</start_time> meeting?	[]		Teams	Speech	68	21.1
1eb8e81f-657b-41ed-bd3a-bf3d7908d331	0	1/15/2020 19:49	user	What meetings do I have today?		CALENDAR	find_calendar_entry	What meetings do I have <start_date>today</start_date>?	[]		Teams	Speech	67	21.1
9f190432-c4c2-400f-ba8b-604d557f08fb	0	1/12/2020 11:49	user	Share the deck.		FILES	file_share	Share the <file_type>deck</file_type>.	[]		Teams	Speech	67	21.1
b7247650-377f-4762-a0ed-712fcae681f1	0	1/15/2020 6:20	user	Send a message to Paul.		COMMUNICATION	send_text	Send a message to <contact_name>Paul</contact_name>.	[]		Teams	Speech	64	21.1
85f0750d-427a-4642-b95c-a693a70e6c79	0	1/10/2020 23:46	user	Call 409-444-6721.		COMMUNICATION	make_call	Call <phone_number>409-444-6721</phone_number>.	[]		Teams	Speech	63	21.1
11b8cb2f-68cd-4a87-8209-afc9b4beb56e	0	1/23/2020 4:44	user	Cancel.		COMMON	cancel	Cancel.	[]		Teams	Speech	62	21.1
1dd7eba3-85e1-4a99-a697-dcde55ebe912	0	1/8/2020 8:25	user	End the meeting.		CALENDAR	disconnect_from_meeting	End the meeting.	[]		Teams	Speech	56	21.1
1512a996-83ae-41f8-859b-39267f3b8e4c	0	1/23/2020 18:29	user	Cortana cancel that.		COMMON	cancel	Cortana cancel that.	[]		Teams	Speech	56	21.1
7e136052-b28e-4a81-8605-f6b08d2e9a6d	0	1/22/2020 8:20	user	Join the meeting.		CALENDAR	connect_to_meeting	Join the meeting.	[]		Teams	Speech	51	21.1
292fc406-c111-4a49-80f6-dac7f335b32b	0	1/9/2020 8:31	user	Next meeting.		CALENDAR	find_calendar_entry	<start_time>Next</start_time> meeting.	[]		Teams	Speech	51	21.1
430b617b-1e24-4cf4-b7e9-f4e12cf551fe	0	1/23/2020 21:16	user	Hey Cortana it's up.		NOTSURE	other_domain	Hey Cortana it&apos;s up.	[]		Teams	Speech	50	21.1
81c63111-4cda-462f-b796-378d91960ff3	0	1/6/2020 9:26	user	Open files.		FILES	file_open	Open files.	[]		Teams	Speech	50	21.1
94d783f5-c813-4151-bd2e-fbad4407e825	0	1/2/2020 5:41	user	When is my next meeting?		CALENDAR	find_calendar_when	When is my <start_time>next</start_time> meeting?	[]		Teams	Speech	48	21.1
301d79af-15b9-4a51-bd4b-5db77e1d919e	0	1/5/2020 10:26	user	Call.		COMMUNICATION	make_call	Call.	[]		Teams	Speech	47	21.1
9a22f8ce-30a3-4687-94d9-360f8054041c	0	1/22/2020 17:20	user	Read my messages.		COMMUNICATION	query_message	Read my messages.	[]		Teams	Speech	46	21.1
bf488c0b-672d-498f-9b7d-ec5822bc9526	0	1/16/2020 2:31	user	Send feedback.		NOTSURE	other_domain	Send feedback.	[]		Teams	Speech	44	21.1
af8c556b-7f06-4f39-be69-38cf20cc914a	0	1/9/2020 23:16	user	Hold the meeting.		COMMUNICATION	hold	Hold the meeting.	[]		Teams	Speech	43	21.1
9ab5b320-4469-41a2-852a-1aa088a429f7	0	1/8/2020 8:38	user	What meetings do I have tomorrow?		CALENDAR	find_calendar_entry	What meetings do I have <start_date>tomorrow</start_date>?	[]		Teams	Speech	42	21.1
4d2e689d-91f9-49f3-b05e-ee995d9c5824	0	1/16/2020 2:45	user	Go to settings.		NOTSURE	other_domain	Go to settings.	[]		Teams	Speech	41	21.1
28d1693a-4d9e-4d24-b2bf-cb7d3504c484	0	1/6/2020 5:44	user	Hello hello hello.		NOTSURE	non_sense	Hello hello hello.	[]		Teams	Speech	39	21.1
c0a5270a-2bbc-4c1e-a213-f160b4726927	0	1/6/2020 4:58	user	Show my calendar.		CALENDAR	navigate_calendar	Show my calendar.	[]		Teams	Speech	39	21.1
4ff13028-0d5c-4107-a9c6-fb63ec2bc703	0	1/21/2020 8:08	user	Who is Harry?		PEOPLE	search_people_by_name	Who is <contact_name>Harry</contact_name>?	[]		Teams	Speech	37	21.1
5981071f-870c-428b-8e1e-e721b0d7d072	0	1/22/2020 23:05	user	Cortana it's up.		NOTSURE	other_domain	Cortana it&apos;s up.	[]		Teams	Speech	35	21.1
aa7ae97d-a544-4886-b483-bdf1c831e1c9	0	1/8/2020 7:09	user	Hold the call.		COMMUNICATION	hold	Hold the call.	[]		Teams	Speech	34	21.1
1b4f7e81-6cda-4ed6-8d8b-8d6beb1b9e28	0	1/8/2020 15:19	user	What's on my calendar tomorrow?		CALENDAR	find_calendar_entry	What&apos;s on my calendar <start_date>tomorrow</start_date>?	[]		Teams	Speech	34	21.1
6a798fe7-ae19-44d0-bfef-538aee4a5722	0	1/16/2020 14:45	user	Share the deck I was working on.		FILES	file_share	Share the <file_type>deck</file_type> <contact_name>I</contact_name> was <file_action>working</file_action> on.	[]		Teams	Speech	32	21.1
183d8cee-ca9e-435c-8854-0d92cd03073d	0	1/9/2020 9:26	user	Get my missed calls.		COMMUNICATION	communication_other	Get my missed calls.	[]		Teams	Speech	32	21.1
c524f95e-42b6-4f6a-9aec-3e3823480c66	0	1/14/2020 18:39	user	Add Cruise to the call.		COMMUNICATION	add_to_call	Add <contact_name>Cruise</contact_name> to the call.	[]		Teams	Speech	30	21.1
5eff9a26-a8d1-49a6-b2cb-cf981cb19bd3	0	1/20/2020 3:01	user	Navigate to calendar.		CALENDAR	navigate_calendar	Navigate to calendar.	[]		Teams	Speech	29	21.1
1ea1d074-e852-49a7-a1e8-a1f838380ae9	0	1/1/2020 1:00	user	When is my next meeting with Carter?		CALENDAR	find_calendar_when	When is my <start_time>next</start_time> meeting with <contact_name>Carter</contact_name>?	[]		Teams	Speech	28	21.1
02e120a7-e274-4261-b0e2-13f75be0ebec	0	1/13/2020 21:28	user	Add Nick to the call.		COMMUNICATION	add_to_call	Add <contact_name>Nick</contact_name> to the call.	[]		Teams	Speech	28	21.1
a858fb01-b954-48ad-9e22-5b194ba41fd8	0	1/19/2020 11:58	user	Transfer call.		COMMUNICATION	transfer	Transfer call.	[]		Teams	Speech	28	21.1
c14f93cf-ab52-4c51-b6ae-1e80616b5fc1	0	1/14/2020 6:53	user	Go to my recent files.		FILES	file_navigate	Go to <contact_name>my</contact_name> <file_recency>recent</file_recency> files.	[]		Teams	Speech	28	21.1
37ef2acd-1803-4515-b0a4-5edd68c99d89	0	1/13/2020 7:50	user	Who is Ofer?		PEOPLE	search_people_by_name	Who is <contact_name>Ofer</contact_name>?	[]		Teams	Speech	27	21.1
635f890b-5e91-49a8-a07a-df00a04c44e8	0	1/23/2020 10:19	user	Get my messages.		COMMUNICATION	query_message	Get my messages.	[]		Teams	Speech	27	21.1
f408755a-a035-4a18-a188-f163ec4a2875	0	1/22/2020 6:08	user	Next slide.		INMEETING	next_slide	Next slide.	[]		Teams	Speech	27	21.1
b2c3cddb-a345-41c4-ada5-8178d0a5e034	0	1/17/2020 0:06	user	Open.		NOTSURE	ambiguous	Open.	[]		Teams	Speech	26	21.1
62c80201-fde4-4e92-8e79-3bc48cc717cb	0	1/3/2020 17:34	user	Present the Food PowerPoint.		INMEETING	start_presenting	Present the <deck_name>Food</deck_name> PowerPoint.	[]		Teams	Speech	26	21.1
9b78686b-dd08-431e-8af6-9293df0c0130	0	1/19/2020 2:35	user	End the call.		COMMUNICATION	end_call	End the call.	[]		Teams	Speech	26	21.1
3b99c994-7594-4ec4-8100-39cb3c79850c	0	1/17/2020 2:58	user	Show me my calendar.		CALENDAR	navigate_calendar	Show me my calendar.	[]		Teams	Speech	26	21.1
cc8475f5-5e13-4b6e-ac0e-a16df944a59c	0	1/22/2020 19:42	user	Dial.		COMMUNICATION	make_call	Dial.	[]		Teams	Speech	25	21.1
c89f6385-c228-4485-96b7-20b754caf662	0	1/19/2020 20:02	user	Message.		COMMUNICATION	send_text	Message.	[]		Teams	Speech	25	21.1
79eacb0a-f552-4828-ae0e-51578ed4f52d	0	1/13/2020 9:36	user	Send message.		COMMUNICATION	send_text	Send message.	[]		Teams	Speech	25	21.1
a90d20ca-e647-4798-b93d-44281b5b48c2	0	1/23/2020 5:59	user	Show me my at mentions.		TEAMSACTION	teamsuser_showactivity	Show me my <teamsuser_activitytype>at mentions</teamsuser_activitytype>.	[]		Teams	Speech	24	21.1
87a766b6-5b12-4cc5-ad6d-458f7547268d	0	1/14/2020 7:31	user	Go to saved items.		TEAMSACTION	teamsuser_showactivity	Go to <teamsuser_activitytype>saved items</teamsuser_activitytype>.	[]		Teams	Speech	24	21.1
c31fb3ea-e154-4feb-99ed-de9a66383e5d	0	1/20/2020 12:12	user	My meetings tomorrow.		CALENDAR	find_calendar_entry	My meetings <start_date>tomorrow</start_date>.	[]		Teams	Speech	24	21.1
2836b742-9b9d-4ba7-b9c5-72bb19a34312	0	1/20/2020 6:16	user	Hello hello.		NOTSURE	other_domain	Hello hello.	[]		Teams	Speech	24	21.1
