ConversationId	MessageId	MessageTimestamp	MessageFrom	MessageText	JudgedDomain	JudgedIntent	JudgedConstraints	MetaData	ConversationContext	Frequency
Teams55b26293-9640-4205-a1a1-504016fb476b	0	8/20/2019 7:52	user	Open China on time.	NOTSURE	notsure_not_judged	Open <file_keyword>China on time</file_keyword>.	[]		1
Teams9fedf1d3-f162-4363-920b-eabc06855d33	0	8/29/2019 9:05	user	Open specs file.	FILES	file_open	Open <file_keyword>specs</file_keyword> file.	[]		1
Teamsa8141760-6457-4fff-82b8-1b2f5278f55a	0	8/21/2019 22:21	user	Hey Cortana, Open the Cortana in Teams - Measurements document.	FILES	file_open	Hey Cortana, Open the <file_keyword>Cortana in Teams - Measurements</file_keyword> document.	[]		1
Teams0957fef2-0463-420d-a424-e044caef42fb	0	7/24/2019 7:17	user	Open files.	FILES	file_open	Open files.	[]		15
Teams93b410da-eef6-445d-a327-d9e2ec710373	0	7/17/2019 2:58	user	Hey Cortana Open file.	FILES	file_open	Hey Cortana Open file.	[]		10
Teamsd41773a4-6c05-46a3-9ad9-32a999dc32e4	0	8/20/2019 6:45	user	Open fill.	NOTSURE	notsure_not_judged	Open <file_keyword>fill</file_keyword>.	[]		1
Teams338f1955-1341-4249-be26-7b2824545108	0	7/17/2019 9:06	user	Open the fact back the deck.	FILES	file_open	Open the <file_keyword>fact back</file_keyword> the <file_type>deck</file_type>.	[]		1
Teams002bf2ba-8c50-4a8b-8f29-ebe1d8b4ffe0	0	7/16/2019 14:55	user	Open file.	FILES	file_open	Open file.	[]		40
Teams97b30339-193b-4aec-94c3-c57fb559182b	0	8/13/2019 8:33	user	Open word file.	FILES	file_open	Open <file_type>word</file_type> file.	[]		1
Teams3e90a607-f736-40bc-a6b6-d52ff3eb5d8f	0	8/28/2019 6:50	user	Hey Cortana open photos.	FILES	file_open	Hey Cortana open <file_type>photos</file_type>.	[]		1
