ConversationId	MessageId	MessageTimestamp	MessageFrom	MessageText	JudgedDomain	JudgedIntent	JudgedConstraints	MetaData	ConversationContext	Dataset	SampleType	Frequency
ec671439-cf5c-4594-93b2-387a9fe27e35	0	10/31/2019 15:55	user	Hey Cortana cancel.	NOTSURE	notsure_not_judged	Hey Cortana cancel.	[]				324
20a8bac8-7797-4d49-8612-f9a681a19c73	0	10/23/2019 5:54	user	Join my next meeting.	CALENDAR	connect_to_meeting	Join my <start_time>next</start_time> meeting.	[]				162
3f45e627-8af2-4154-82f4-e8e4a532104e	0	10/24/2019 17:44	user	Send a message.	COMMUNICATION	send_text	Send a message.	[]				159
73496988-a3dc-4369-981d-e3ca0988bdfb	0	10/16/2019 16:03	user	Join my meeting.	CALENDAR	connect_to_meeting	Join my meeting.	[]				151
6d5036b4-d7a8-4102-ba47-8fabf8e9e846	0	10/23/2019 8:22	user	Hello.	NOTSURE	other_domain	Hello.	[]				142
75c96bcf-4c37-4bab-9a34-7913ead4b604	0	10/25/2019 7:06	user	What's my next meeting?	CALENDAR	find_calendar_entry	What's my <start_time>next</start_time> meeting?	[]				133
3908823f-54ff-4a03-97e3-a6aa165bef91	0	10/16/2019 9:19	user	What meetings do I have today?	CALENDAR	find_calendar_entry	What meetings do I have <start_date>today</start_date>?	[]				104
a1697f8c-3b6d-4f78-aa9a-2750bbe43ce5	0	10/15/2019 21:47	user	When is my next meeting?	CALENDAR	find_calendar_when	When is my <start_time>next</start_time> meeting?	[]				102
9b76dcd9-7235-4ef5-bda0-efee43a6ac19	0	10/16/2019 3:06	user	Cortana.	NOTSURE	notsure_not_judged	Cortana.	[]				87
56439ca7-03fd-491a-af6a-00cf31116cdc	0	10/23/2019 8:49	user	Send a message to Paul.	COMMUNICATION	send_text	Send a message to <contact_name>Paul</contact_name>.	[]				85
0e4b78c2-e54c-4048-942b-432b81c9357c	0	10/18/2019 8:43	user	Hey Cortana join my meeting.	CALENDAR	connect_to_meeting	Hey Cortana join my meeting.	[]				75
b7b96ebc-9e09-47fd-966e-edd35c1c4b55	0	10/30/2019 12:37	user	Read my messages.	COMMUNICATION	query_message	Read my messages.	[]				66
f0d1a03a-b5f2-434e-a269-7240adeaae74	0	10/29/2019 15:12	user	Call sales test.	COMMUNICATION	make_call	Call <contact_name>sales test</contact_name>.	[]				58
0da3b3f8-035c-4888-9101-b5734e905c6f	0	10/29/2019 9:50	user	Help.	COMMON	help	Help.	[]				57
50a54c85-8316-4cde-b675-8e8639180e2f	0	10/31/2019 10:03	user	Make a call.	COMMUNICATION	make_call	Make a call.	[]				56
ab52344e-1870-42df-9fac-ee81375f7970	0	10/17/2019 2:00	user	What's on my calendar?	CALENDAR	find_calendar_entry	What's on my calendar?	[]				55
bcec0607-aea3-4ea1-aaa5-e01291436573	0	10/22/2019 5:41	user	Hey Cortana message Jim.	COMMUNICATION	send_text	Hey Cortana message <contact_name>Jim</contact_name>.	[]				51
a4a32d74-a0b8-4260-8875-1f13c0aedfae	0	10/31/2019 6:37	user	Hey Cortana what's my next meeting.	CALENDAR	find_calendar_entry	Hey Cortana what's my <start_time>next</start_time> meeting.	[]				51
d812ee71-a9f0-4780-a986-caedd9db6cc4	0	10/29/2019 5:52	user	What do I have today?	CALENDAR	find_calendar_entry	What do I have <start_date>today</start_date>?	[]				50
c6392c81-de31-42fd-981e-bd1ee3bd9368	0	10/11/2019 16:16	user	Hey Cortana end presentation.	INMEETING	stop_presenting	Hey Cortana end presentation.	[]				46
88985d93-b5ea-4d8a-a152-f9a5bf034aba	0	10/14/2019 5:56	user	Who is Jim?	PEOPLE	search_people_by_name	Who is <contact_name>Jim</contact_name>?	[]				46
12382b09-7271-4e94-bb18-aee1d4aceb4d	0	10/15/2019 14:22	user	Show me my at mentions.	TEAMSACTION	teamsuser_showactivity	Show me my <teamsuser_activitytype>at mentions</teamsuser_activitytype>.	[]				46
618580d9-b38b-42c1-b30f-ee9f9a43bd78	0	10/22/2019 6:26	user	What meetings do I have tomorrow?	CALENDAR	find_calendar_entry	What meetings do I have <start_date>tomorrow</start_date>?	[]				45
Teams8fd8fb19-e2eb-4b2a-bcdd-3d0478db913a	0	10/8/2019 7:25	user	Show me my activity.	TEAMSACTION	teamsuser_showactivity	Show me my activity.	[]				44
0b734d29-2299-4bc5-be58-610bdcb11558	0	10/11/2019 3:00	user	Set my status to busy.	TEAMSACTION	teamsuser_setstatus	Set my status to <teamsuser_status>busy</teamsuser_status>.	[]				44
9d4517c1-a028-4fa1-9268-eae31e376e3f	0	10/21/2019 4:10	user	Open file skills.	FILES	file_open	Open file <file_keyword>skills</file_keyword>.	[]				41
e407288d-bca4-4172-9e8c-3f07c9160ffc	0	10/11/2019 2:46	user	Hey Cortana send a message.	COMMUNICATION	send_text	Hey Cortana send a message.	[]				41
304835a6-d912-405e-b42e-10c65a2d5aba	0	10/16/2019 10:21	user	Show all my calendar.	CALENDAR	navigate_calendar	Show <quantifier>all</quantifier> my calendar.	[]				40
5e6ef44a-2cba-4290-9abd-938b2a014ee1	0	10/22/2019 7:37	user	What can you do?	COMMON	help	What can you do?	[]				40
b987f511-9a24-4425-b088-431319a569e1	0	10/12/2019 0:30	user	Call him.	COMMUNICATION	make_call	Call him.	[]				39
c6b745b2-e986-4863-91ce-dcda2a661711	0	10/25/2019 13:20	user	Hey Cortana add Xiaoming to the call.	COMMUNICATION	add_to_call	Hey Cortana add <contact_name>Xiaoming</contact_name> to the call.	[]				38
ee49231e-a7f2-4d62-8028-0315537b99bc	0	10/30/2019 16:55	user	Hey Cortana join my next meeting.	CALENDAR	connect_to_meeting	Hey Cortana join my <start_time>next</start_time> meeting.	[]				35
cfe3d5ca-ba75-4d9a-a2e5-afdeb51b49ae	0	10/24/2019 5:56	user	Hey Cortana what can you do.	COMMON	help	Hey Cortana what can you do.	[]				35
f30615d3-d7e1-42e1-8d20-30320f639fbc	0	10/22/2019 7:07	user	Share Cortana file with Abhinav.	FILES	file_share	Share <file_keyword>Cortana</file_keyword> file with <to_contact_name>Abhinav</to_contact_name>.	[]				33
3b8b282c-efc2-4c91-88bc-e01886f9fa9b	0	10/15/2019 8:10	user	Send message.	COMMUNICATION	send_text	Send message.	[]				33
Teamsd7358f66-0ecb-4918-9cd3-00e79d4defae	0	10/10/2019 1:47	user	Where is my next meeting?	CALENDAR	find_calendar_where	Where is my <start_time>next</start_time> meeting?	[]				33
fb08e06f-1d01-424c-ad0d-e80cf8d5370d	0	10/24/2019 21:30	user	Hey Cortana end meeting.	CALENDAR	disconnect_from_meeting	Hey Cortana end meeting.	[]				33
66615a0a-0a9a-4df5-9587-fd8fd256356f	0	10/16/2019 8:53	user	Join the meeting.	CALENDAR	connect_to_meeting	Join the meeting.	[]				33
2f39b3a5-e015-4493-9e2a-05b86fc45109	0	10/16/2019 11:40	user	Go to saved items.	TEAMSACTION	teamsuser_showactivity	Go to <teamsuser_activitytype>saved items</teamsuser_activitytype>.	[]				32
fd8c09f1-deb1-49ad-a039-b887821726ee	0	10/15/2019 6:41	user	Present the deck.	INMEETING	start_presenting	Present the deck.	[]				32
c4f5558d-53c2-40fe-ac62-670ad7e55bf8	0	10/30/2019 8:45	user	Send feedback.	NOTSURE	other_domain	Send feedback.	[]				31
af08012c-6794-489d-b83a-c5240c125970	0	10/16/2019 11:50	user	Hey Cortana, show me my activity.	TEAMSACTION	teamsuser_showactivity	Hey Cortana, show me my activity.	[]				31
Teams544c3ed9-bf04-4508-9b61-7e6209cbe9ee	0	10/7/2019 23:33	user	Hey Cortana, join my next meeting.	CALENDAR	connect_to_meeting	Hey Cortana, join my <start_time>next</start_time> meeting.	[]				30
ee1ded43-41b7-48cd-987c-3250f8059419	0	10/18/2019 8:39	user	Send a message to Jason.	COMMUNICATION	send_text	Send a message to <contact_name>Jason</contact_name>.	[]				29
Teams129201ff-412b-434e-bce7-e3bdeee31117	0	10/9/2019 6:20	user	Hey Cortana help.	COMMON	help	Hey Cortana help.	[]				29
13dc6f3e-64a2-4a76-9363-1035b746f991	0	10/26/2019 0:01	user	Call.	COMMUNICATION	make_call	Call.	[]				28
Teamseec9ba3a-9820-436c-88e3-1315ad77c02d	0	10/7/2019 10:04	user	What is next?	NOTSURE	notsure_not_judged	What is next?	[]				28
6c453a4e-d406-45df-8c4d-0b1451c2b1f7	0	10/12/2019 5:28	user	Who is Daniel?	PEOPLE	search_people_by_name	Who is <contact_name>Daniel</contact_name>?	[]				27
8027f1a0-223e-4868-abc7-52c7d588bcfd	0	10/31/2019 6:24	user	Who is Lucas?	PEOPLE	search_people_by_name	Who is <contact_name>Lucas</contact_name>?	[]				27
