ConversationId	MessageId	MessageTimestamp	MessageFrom	MessageText	CortanaResponse	JudgedDomain	JudgedIntent	JudgedConstraints	MetaData	ConversationContext	Dataset	SampleType	Frequency	GuidelineVersion
7bdf4514-c179-4b25-a60e-ec57794f8f21	0	1/23/2020 18:23	user	Hey Cortana what's up.		CALENDAR	find_calendar_entry	Hey Cortana what&apos;s up.	[]		Teams	Speech	345	21.1
76b36e93-dc26-42a4-8106-2aced5d3ff4a	0	1/17/2020 17:55	user	Cortana what's up.		CALENDAR	find_calendar_entry	Cortana what&apos;s up.	[]		Teams	Speech	305	21.1
035dad91-6cbc-4af2-a25f-f0838a0d3b9c	0	1/14/2020 6:53	user	Present the deck.		INMEETING	start_presenting	Present the deck.	[]		Teams	Speech	303	21.1
b87c137b-d35f-45e6-a39a-d37721ac8cb3	0	1/3/2020 0:13	user	What can you do?		COMMON	help	What can you do?	[]		Teams	Speech	267	21.1
ca91cbb2-e2f7-4f12-9184-18b1b0c8171f	0	1/14/2020 23:24	user	Join my meeting.		CALENDAR	connect_to_meeting	Join my meeting.	[]		Teams	Speech	240	21.1
090e4a36-b6b0-4e66-a9ea-f3a81110b3df	0	1/1/2020 3:09	user	Help.		COMMON	help	Help.	[]		Teams	Speech	193	21.1
33dc06fd-8a4e-4b15-9924-0fa3309f4369	0	1/9/2020 0:32	user	Hey Cortana cancel.		COMMON	cancel	Hey Cortana cancel.	[]		Teams	Speech	177	21.1
d0cdfaef-3e71-4c2b-8e1f-ea38ffab1738	0	1/6/2020 9:19	user	Send a message.		COMMUNICATION	send_text	Send a message.	[]		Teams	Speech	164	21.1
59ff9625-ec0d-444e-abd3-b7b0b717a08a	0	1/22/2020 8:58	user	Join my next meeting.		CALENDAR	connect_to_meeting	Join my <start_time>next</start_time> meeting.	[]		Teams	Speech	137	21.1
f55a9bc1-fe97-439b-a179-dbe10a48913e	0	1/2/2020 6:22	user	What's on my calendar?		CALENDAR	find_calendar_entry	What&apos;s on my calendar?	[]		Teams	Speech	133	21.1
ae9c8283-1fe9-4077-965d-bac36648318b	0	1/19/2020 14:14	user	Hello.		NOTSURE	other_domain	Hello.	[]		Teams	Speech	129	21.1
5a87ac15-a37d-4e16-b793-7e696e11755a	0	1/7/2020 2:52	user	Send a message to rose.		COMMUNICATION	send_text	Send a message to <contact_name>rose</contact_name>.	[]		Teams	Speech	122	21.1
d3c7447d-e54e-471e-aa53-0e8d57091aa6	0	1/21/2020 12:44	user	Cortana.		NOTSURE	other_domain	Cortana.	[]		Teams	Speech	104	21.1
6effc127-2848-4aa0-812f-e8a6d7146ffa	0	1/14/2020 6:34	user	Send a message to Rose.		COMMUNICATION	send_text	Send a message to <contact_name>Rose</contact_name>.	[]		Teams	Speech	96	21.1
1faa8f58-21ab-40f0-a2bb-90542dc259d6	0	1/14/2020 8:34	user	Make a call.		COMMUNICATION	make_call	Make a call.	[]		Teams	Speech	94	21.1
568e0738-05a9-46b2-9110-4e228bb1f0b5	0	1/22/2020 6:34	user	What do I have today?		CALENDAR	find_calendar_entry	What do I have <start_date>today</start_date>?	[]		Teams	Speech	81	21.1
