ConversationId	MessageId	MessageFrom	MessageText	CortanaResponse	JudgedDomain	JudgedIntent	JudgedConstraints	MessageTimestamp	Dataset	SampleType	ConversationContext	AppFlavor	SelectionIgnore	MetaData	GuidelineVersion	Frequency
0005ce40-c1e0-47a2-bb52-e16cff834adb	0	user	Hey Cortana move to the first light.	Sorry, I'm not able to help with this one.	NOTSURE	other_domain	Hey Cortana move to the first light.	6/10/2020 12:52:45 AM	TeamsVoiceSkill	Speech	{"SrSentences": ["Hey Cortana move to the first light.", "Cortana move to the first light.", "Hey Cortana move to the first light.", "Hey Cortana move to the first Lite.", "Hey Cortana move to first light."], "SrSentencesScores": ["0.78200746", "0.76940113", "0.78879124", "0.756563", "0.77163696"]}	kingston		[]	1.13	4
000b2adf-2091-4754-93fc-e4a90b1b1770	0	user	Cortana metrics.	Sorry, I don't know the answer to this one.	NOTSURE	other_domain	Cortana metrics.	6/29/2020 3:28:39 PM	TeamsVoiceSkill	Speech	{"SrSentences": ["Cortana metrics.", "Hey Cortana metrics.", "Cortana Patrick's.", "Hey Cortana Patrick's.", "Cortana thanks."], "SrSentencesScores": ["0.45353258", "0.46950552", "0.7003503", "0.7053253", "0.6637841"], "SrRuleTree": ["<#prefix> !sent_start cortana !sent_end </#prefix> <#baseModel> !sent_start metrics !sent_end </#baseModel>", "<#prefix> !sent_start hey cortana !sent_end </#prefix> <#baseModel> !sent_start metrics !sent_end </#baseModel>", "<#prefix> !sent_start cortana !sent_end </#prefix> <#cortana_teams_clm> !sent_start <#TEAMSUSER_CONTACTNAME> Patrick </#TEAMSUSER_CONTACTNAME> 's !sent_end </#cortana_teams_clm>", "<#prefix> !sent_start hey cortana !sent_end </#prefix> <#cortana_teams_clm> !sent_start <#TEAMSUSER_CONTACTNAME> Patrick </#TEAMSUSER_CONTACTNAME> 's !sent_end </#cortana_teams_clm>", "<#prefix> !sent_start cortana !sent_end </#prefix> <#baseModel> !sent_start thanks !sent_end </#baseModel>"]}	kingston		[]	1.13	1
0011e54e-7a67-4a62-a4e8-73a520810b7b	0	user	Hey Cortana increase volume.	{EarconVolumeUp}	DEVICECONTROL	volume_up	Hey Cortana increase volume.	6/24/2020 11:01:13 AM	TeamsVoiceSkill	Speech	{"SrSentences": ["Hey Cortana increase volume.", "Cortana increase volume.", "Hey Cortana increase volume.", "Cortana increase volume.", "Hey Cortana increase the volume."], "SrSentencesScores": ["0.84343284", "0.8264289", "0.8289849", "0.8116216", "0.83543515"], "SrRuleTree": ["<#prefix> !sent_start hey cortana !sent_end </#prefix> <#cortana_teams_clm> !sent_start increase volume !sent_end </#cortana_teams_clm>", "<#prefix> !sent_start cortana !sent_end </#prefix> <#cortana_teams_clm> !sent_start increase volume !sent_end </#cortana_teams_clm>", "<#prefix> !sent_start hey cortana !sent_end </#prefix> <#baseModel> !sent_start increase volume !sent_end </#baseModel>", "<#prefix> !sent_start cortana !sent_end </#prefix> <#baseModel> !sent_start increase volume !sent_end </#baseModel>", "<#prefix> !sent_start hey cortana !sent_end </#prefix> <#cortana_teams_clm> !sent_start increase the volume !sent_end </#cortana_teams_clm>"]}	kingston		[]	1.13	3
0014c65f-bd5e-4e6a-a529-7d2affe924bd	0	user	Hey Cortana go to chat with Fatos.	Bring up the chat for Which one?	TEAMSACTION	teamsuser_openchat	Hey Cortana go to chat with <contact_name>Fatos</contact_name>.	6/12/2020 12:24:04 AM	TeamsVoiceSkill	Speech	{"SrSentences": ["Hey Cortana go to chat with Fatos.", "Cortana go to chat with Fatos.", "Hey Cortana go to chat with fatos.", "Cortana go to chat with fatos.", "Hey Cortana go to chat with Fatos Gemechu."], "SrSentencesScores": ["0.642489", "0.6299309", "0.6223682", "0.60993814", "0.64315635"]}	kingston		[]	1.13	5
001e0977-9c45-4797-a455-76968b9f2316	0	user	Hey Cortana do black lives matter.	Yes. And Black Lives Matter is an important movement that's shaping a national conversation about racism.	NOTSURE	other_domain	Hey Cortana do black lives matter.	6/11/2020 4:15:53 AM	TeamsVoiceSkill	Speech	{"SrSentences": ["Hey Cortana do black lives matter.", "Cortana do black lives matter.", "Hey Cortana do black lives matter.", "Cortana do black lives matter.", "Hey Cortana do black lives matters."], "SrSentencesScores": ["0.8807201", "0.87268776", "0.8530569", "0.844607", "0.8802672"]}	kingston		[]	1.13	10
00210ae0-57f1-4de2-9ac2-3b727247f69b	0	user	Set volume to 25.	OK, the volume's now 25%.	DEVICECONTROL	set_volume	Set volume to <volume_level>25</volume_level>.	6/24/2020 4:00:33 PM	TeamsVoiceSkill	Speech	{"SrSentences": ["Set volume to 25.", "Set volume to 25.", "Set volume to 25.", "Set the volume to 25.", "Set volume to 25."], "SrSentencesScores": ["0.8613869", "0.7376519", "0.8748861", "0.86482346", "0.8865636"], "SrRuleTree": ["<#cortana_teams_clm> !sent_start set volume to twenty five !sent_end </#cortana_teams_clm>", "<#cortana_teams_clm> !sent_start set volume to /twenty\\+five/twenty+five/ !sent_end </#cortana_teams_clm>", "<#cortana_teams_clm> !sent_start set volume to <#number> twenty five </#number> !sent_end </#cortana_teams_clm>", "<#cortana_teams_clm> !sent_start set the volume to twenty five !sent_end </#cortana_teams_clm>", "<#baseModel> !sent_start set volume to twenty five !sent_end </#baseModel>"]}	kingston		[]	1.13	6
00227270-0665-46a8-8d18-5bdf6ca9a261	0	user	Hey Cortana join my meeting.	Joining your 11:30 AM. 	CALENDAR	connect_to_meeting	hey cortana join my meeting	6/3/2020 6:31:06 PM	TeamsVoiceSkill	Speech	{"SrSentences": ["Hey Cortana join my meeting.", "Cortana join my meeting.", "Hey Cortana join my next meeting.", "Cortana join my next meeting.", "Hey Cortana join my next meeting."], "SrSentencesScores": ["0.8500895", "0.8402682", "0.8435929", "0.83370984", "0.8318583"]}	kingston		[]	1.13	172
0036d2f3-6fa5-4ddb-8e62-1074ecb61ba8	0	user	Lock my device.	{EarconSuccess}	DEVICECONTROL	lock	Lock my device.	6/14/2020 3:17:52 PM	TeamsVoiceSkill	Speech	{"SrSentences": ["Lock my device.", "Lock my device.", "Lock my device is.", "Loch my device.", "Lock my devices."], "SrSentencesScores": ["0.82350034", "0.71232814", "0.81550086", "0.6625873", "0.78770113"]}	kingston		[]	1.13	1
003a0e5f-1cb0-4748-bc20-2bfb87a40a7f	0	user	Hey Cortana add photo 56777715 to this meeting.	Who did you want to add to the call?	CALENDAR	add_attendee	Hey Cortana add <contact_name>photo 56777715</contact_name> to this meeting.	6/11/2020 11:51:06 PM	TeamsVoiceSkill	Speech	{"SrSentences": ["Hey Cortana add photo 56777715 to this meeting.", "Cortana add photo 56777715 to this meeting.", "Hey Cortana add photo 56777715 to this meeting.", "Cortana add photo 56777715 to this meeting.", "Hey Cortana add photo 567777152 this meeting."], "SrSentencesScores": ["0.85285234", "0.8489114", "0.85382104", "0.8498873", "0.85541683"]}	kingston		[]	1.13	1
003d8cef-6f14-4ced-a32f-60aeff0b1976	0	user	Cortana what's the meaning of life the universe and everything.	We all shine on, my friend.	NOTSURE	other_domain	Cortana what's the meaning of life the universe and everything.	6/23/2020 10:26:28 PM	TeamsVoiceSkill	Speech	{"SrSentences": ["Cortana what's the meaning of life the universe and everything.", "Hey Cortana what's the meaning of life the universe and everything.", "Cortana what's the meaning of life the universe and everything.", "Hey Cortana what's the meaning of life the universe and everything.", "Cortana what's the meaning of life the universe and everything."], "SrSentencesScores": ["0.89075154", "0.8864221", "0.876728", "0.8726253", "0.87904215"], "SrRuleTree": ["<#prefix> !sent_start cortana !sent_end </#prefix> <#baseModel> !sent_start what's the meaning of life the universe and everything !sent_end </#baseModel>", "<#prefix> !sent_start hey cortana !sent_end </#prefix> <#baseModel> !sent_start what's the meaning of life the universe and everything !sent_end </#baseModel>", "<#prefix> !sent_start cortana !sent_end </#prefix> <#cortana_teams_clm> !sent_start what's the meaning of life the universe /and\\+everything/and+everything/ !sent_end </#cortana_teams_clm>", "<#prefix> !sent_start hey cortana !sent_end </#prefix> <#cortana_teams_clm> !sent_start what's the meaning of life the universe /and\\+everything/and+everything/ !sent_end </#cortana_teams_clm>", "<#prefix> !sent_start cortana !sent_end </#prefix> <#cortana_teams_clm> !sent_start what's the meaning of life the universe and everything !sent_end </#cortana_teams_clm>"]}	kingston		[]	1.13	1
0049254d-c26d-484b-b570-39683101a356	0	user	Hey Cortana go to my recent files.	. 	FILES	file_navigate	Hey Cortana go to <contact_name>my</contact_name> <file_recency>recent</file_recency> files.	6/5/2020 8:27:05 PM	TeamsVoiceSkill	Speech	{"SrSentences": ["Hey Cortana go to my recent files.", "Cortana go to my recent files.", "Hey Cortana go to recent files.", "Cortana go to recent files.", "Hey Cortana go to recent files."], "SrSentencesScores": ["0.84269303", "0.836925", "0.69072", "0.67867213", "0.7955619"]}	kingston		[]	1.13	21
