ConversationId	MessageId	MessageTimestamp	MessageFrom	MessageText	CortanaResponse	JudgedDomain	JudgedIntent	JudgedConstraints	MetaData	ConversationContext	Dataset	SampleType	Frequency	GuidelineVersion	NotCallingLU	SelectionIgnore
0012b4f1-04c4-450a-9415-7d9dedaf8514	0	4/16/2020 21:38	user	Share the books back.	Sorry, I don't know the answer to this one.	NOTSURE	notsure_other	Share the books back.	[]		Teams	Speech	2	1.13		
00174baf-8e41-448e-b2e4-e4dfaedb5abd	0	4/6/2020 11:10	user	Read my missed calls.	You don't have missed calls. Have a nice day!	COMMUNICATION	communication_other	Read my missed calls.	[]		Teams	Speech	90	1.13		
002d2675-b812-454a-a4dc-ae4d79809c30	0	4/21/2020 21:17	user	Tell Nick to my meeting right now.	Which one do you wanna message?	COMMUNICATION	send_text	Tell <contact_name>Nick</contact_name> <message>to my meeting right now</message>.	[]		Teams	Speech	1	1.13		
0030c7ab-42b4-422c-b33d-c994e516950c	0	4/2/2020 21:49	user	Text Nick that this is a test message.	Which one do you wanna message?	COMMUNICATION	send_text	Text <contact_name>Nick</contact_name> that <message>this is a test message</message>.	[]		Teams	Speech	1	1.13		
00382cae-48a2-4b76-9ed2-8f5f6405f3c7	0	4/24/2020 17:12	user	Send a message to Nick Cruise that what is your next meeting.	Actually, there aren't any meetings for today.	COMMUNICATION	send_text	Send a message to <contact_name>Nick Cruise</contact_name> that <message>what is your next meeting</message>.	[]		Teams	Speech	1	1.13		
003bfc98-2189-49b1-82f8-b8422f57aa7e	0	4/5/2020 7:27	user	What is new testing?	Sorry, I don't know the answer to this one.	NOTSURE	other_domain	What is new testing?	[]		Teams	Speech	19	1.13		
00418023-ca9b-4e3b-bab9-811c584653e5	0	4/10/2020 2:19	user	Navigate to Canada.	I'm sorry, but I can't help with that.	NOTSURE	other_domain	Navigate to Canada.	[]		Teams	Speech	5	1.13		
0053cbe5-7564-4c24-adbb-ed7d26985bc8	0	4/2/2020 8:11	user	Navigate to files.	. 	FILES	file_navigate	Navigate to files.	[]		Teams	Speech	17	1.13		
006733e1-9826-4fe3-81ab-5f9fa3582e5b	0	4/16/2020 23:28	user	Hey Cortana send a message to Carrie.	Which one do you wanna message?	COMMUNICATION	send_text	Hey Cortana send a message to <contact_name>Carrie</contact_name>.	[]		Teams	Speech	1	1.13		
0079d77d-348f-4e35-bff5-f1693fad39ea	0	4/6/2020 19:05	user	Share the Happy Home presentation.	I couldn't find a presentation called '%FileNameString%'.	FILES	file_share	Share the <file_keyword>Happy Home</file_keyword> <file_type>presentation</file_type>.	[]		Teams	Speech	1	1.13		
007bcf50-e0d6-4047-b76b-eea0fb2f7a39	0	4/21/2020 15:02	user	Join my meeting.	Which meeting would you like to join?	CALENDAR	connect_to_meeting	Join my meeting.	[]		Teams	Speech	1	1.13		
007bcf50-e0d6-4047-b76b-eea0fb2f7a39	1	4/21/2020 15:02	user	Sync up on Service Insights.	. 	CALENDAR	connect_to_meeting	Sync up on <title>Service Insights</title>.	[]	{"PreviousTurnDomain": ["calendar"], "PreviousTurnIntent": ["connect_to_meeting"], "TaskFrameGUID": ["CalendarReviewJoinMeetingFollowUpGUID"], "TaskFrameStatus": ["InProgress"]}	Teams	Speech	1	1.13		
008094cb-bb08-4322-9d93-8081a00e1044	0	4/7/2020 8:42	user	What meetins do I have on Friday?		CALENDAR	find_calendar_entry	What meetins do I have on <start_date>Friday</start_date>?	[]		Teams	Speech	1	1.13		
008094cb-bb08-4322-9d93-8081a00e1044	1	4/7/2020 8:42	user_other		I found 13 events for Friday.				[]		Teams	Speech	1	1.13		
0084b1d3-2a74-419d-9193-99479c75f479	0	4/7/2020 7:04	user	Open Mac pptx.	. 	FILES	file_open	Open <file_keyword>Mac</file_keyword> <file_type>pptx</file_type>.	[]		Teams	Speech	8	1.13		
00854515-2a0a-4098-aaf8-8fb732f4ad0c	0	4/20/2020 20:41	user	Add 409-444-6721 to the call.	Alright, Add (409) 444-6721, is that right?	COMMUNICATION	add_to_call	Add <phone_number>409-444-6721</phone_number> to the call.	[]		Teams	Speech	1	1.13		
008be6c7-64a3-443f-a6d4-d753867132bd	0	4/3/2020 16:46	user	Add Cruise to this call.	OK, Which one should I add?	COMMUNICATION	add_to_call	Add <contact_name>Cruise</contact_name> to this call.	[]		Teams	Speech	3	1.13		
008f2b68-9621-415c-9129-7f3c88bfa9b9	0	4/23/2020 7:19	user	Message avri war on my next meeting.	Actually, there aren't any meetings for today.	COMMUNICATION	send_text_meeting	Message <contact_name>avri war</contact_name> on my <order_ref>next</order_ref> meeting.	[]		Teams	Speech	1	1.13		
0096b3ec-6abd-43e6-ac89-8398c799f253	0	4/10/2020 18:52	user	At freddy's to my meeting.		CALENDAR	add_attendee	At <contact_name>freddy</contact_name>'s to my meeting.	[]		Teams	Speech	1	1.13		
0096b3ec-6abd-43e6-ac89-8398c799f253	1	4/10/2020 18:52	user_other		Alright.				[]		Teams	Speech	1	1.13		
0096b3ec-6abd-43e6-ac89-8398c799f253	2	4/10/2020 18:52	user_other		I see 6 events for today.				[]		Teams	Speech	1	1.13		
00a8dddd-4d8e-421c-bf72-0cb6604a8043	0	4/26/2020 1:31	user	Chat with Carolyn.	. 	TEAMSACTION	teamsuser_openchat	Chat with <contact_name>Carolyn</contact_name>.	[]		Teams	Speech	1	1.13		
00ace87a-648d-4845-aeb2-187f0a2ae68e	0	4/20/2020 16:01	user	join my meeting.		CALENDAR	connect_to_meeting	join my meeting.	[]		Teams	Speech	1	1.13		
00ace87a-648d-4845-aeb2-187f0a2ae68e	1	4/20/2020 16:01	user_other		Alright.				[]		Teams	Speech	1	1.13		
00ace87a-648d-4845-aeb2-187f0a2ae68e	2	4/20/2020 16:01	user_other		Which meeting would you like to join?				[]		Teams	Speech	1	1.13		
00ace87a-648d-4845-aeb2-187f0a2ae68e	3	4/20/2020 16:01	user	Wellness catchup.	. 	CALENDAR	connect_to_meeting	<title>Wellness catchup</title>.	[]	{"PreviousTurnDomain": ["calendar"], "PreviousTurnIntent": ["connect_to_meeting"], "TaskFrameGUID": ["CalendarReviewJoinMeetingFollowUpGUID"], "TaskFrameStatus": ["InProgress"]}	Teams	Speech	1	1.13		
00ae7867-1aa8-4a51-af6f-0cce26209484	0	4/28/2020 17:32	user	Hey Cortana go to the home screen.	I'm sorry, but I can't help with that.	NOTSURE	ambiguous	Hey Cortana go to the home screen.	[]		Teams	Speech	1	1.13		
00b1dbd0-a4aa-4309-8dc9-8fab1c314a58	0	4/29/2020 6:39	user	Cancel my next meeting.		CALENDAR	delete_calendar_entry	Cancel my <start_time>next</start_time> meeting.	[]		Teams	Speech	6	1.13		
00b1dbd0-a4aa-4309-8dc9-8fab1c314a58	1	4/29/2020 6:39	user_other		OK.				[]		Teams	Speech	6	1.13		
00b1dbd0-a4aa-4309-8dc9-8fab1c314a58	2	4/29/2020 6:39	user_other		Which one of your events should I remove?				[]		Teams	Speech	6	1.13		
00b1dbd0-a4aa-4309-8dc9-8fab1c314a58	3	4/29/2020 6:40	user_other		Alright, I declined that.				[]		Teams	Speech	6	1.13		
00b97727-9209-4035-b20d-473dec3dd5e9	0	4/9/2020 18:28	user	Decline the meeting I have in 30 minutes.		CALENDAR	delete_calendar_entry	Decline the meeting I have <start_time>in 30 minutes</start_time>.	[]		Teams	Speech	2	1.13		
00b97727-9209-4035-b20d-473dec3dd5e9	1	4/9/2020 18:28	user_other		Alright.				[]		Teams	Speech	2	1.13		
00b97727-9209-4035-b20d-473dec3dd5e9	2	4/9/2020 18:28	user_other		Sorry, I didn't find any events at 11:58 AM.				[]		Teams	Speech	2	1.13		
00bb95b4-2afe-4cfe-99a7-4e4842359ebc	0	4/14/2020 6:32	user	Help.	unk_fv	COMMON	help	Help.	[]		Teams	Speech	124	1.13		
00bc7554-69d7-41af-b6ef-3f7b225726be	0	4/10/2020 16:34	user	Cortana join my meeting.		CALENDAR	connect_to_meeting	Cortana join my meeting.	[]		Teams	Speech	2	1.13		
00bc7554-69d7-41af-b6ef-3f7b225726be	1	4/10/2020 16:34	user_other		Alright.				[]		Teams	Speech	2	1.13		
00bc7554-69d7-41af-b6ef-3f7b225726be	2	4/10/2020 16:34	user_other		Joining your 9:30 AM. 				[]		Teams	Speech	2	1.13		
00be153d-78f8-41d3-8156-28d240a8af1d	0	4/14/2020 16:56	user	Add Cruise to the meeting.	OK, Which one should I add?	CALENDAR	add_attendee	Add <contact_name>Cruise</contact_name> to the meeting.	[]		Teams	Speech	1	1.13		
00be153d-78f8-41d3-8156-28d240a8af1d	1	4/14/2020 16:56	user	Tom.	Adding Tom Cruise.	CALENDAR	add_attendee	<contact_name>Tom</contact_name>.	[]	{"PreviousTurnDomain": ["calendar"], "PreviousTurnIntent": ["add_attendee"], "TaskFrameGUID": ["AddToCallSkillGUID"], "TaskFrameStatus": ["InProgress"]}	Teams	Speech	1	1.13		
00c3bbb1-e827-48b9-adf7-4b2ea3728800	0	4/28/2020 18:42	user	Open feedback.	. 	FEEDBACK	submit_feedback	Open <feedback_type>feedback</feedback_type>.	[]		Teams	Speech	3	1.13		
00c458e9-8253-471e-935b-0a60efb15e46	0	4/6/2020 8:14	user	Save it.	I'm sorry, but I can't help with that.	NOTSURE	other_domain	Save it.	[]		Teams	Speech	2	1.13		
00d21371-0f58-4e77-9d43-6f2d801de42b	0	4/14/2020 19:32	user	They move my meeting at 12:45.	Sorry, I can't make changes to your events here.	CALENDAR	change_calendar_entry	They move my meeting at <original_start_time>12:45</original_start_time>.	[]		Teams	Speech	1	1.13		
