ConversationId	MessageId	MessageTimestamp	MessageFrom	MessageText	JudgedDomain	JudgedIntent	JudgedConstraints	MetaData	ConversationContext	Frequency
Teams7ce7fe50-9491-4fca-b2f9-45f8500e4e9a	0	9/11/2019 22:44	user	8	NOTSURE	notsure_not_judged	8	[]		1
Teamse5c1b08c-9940-43de-b274-8fc99f88d1be	0	9/4/2019 5:53	user	Hello.	NOTSURE	notsure_not_judged	hello	[]		111
Teams53ff8b62-ea39-44dd-93df-09c335c3d751	0	9/9/2019 8:11	user	Hey Cortana.	NOTSURE	notsure_not_judged	hey cortana	[]		409
Teams04dee3ee-010c-4fdf-b1ad-33f4b1924456	0	9/6/2019 18:48	user	Hey Cortana cancel.	NOTSURE	notsure_not_judged	hey cortana cancel	[]		105
Teams78568dcc-b497-485f-904e-6503e4b1cff5	0	9/12/2019 22:21	user	And it does is.	NOTSURE	notsure_not_judged	and it does is	[]		1
Teams7355691c-13de-4fcd-996c-2bc92eb891ae	0	9/29/2019 12:26	user	Cortana.	NOTSURE	notsure_not_judged	cortana	[]		119
Teamsb54cf54d-37b8-4e09-8647-649fa1083855	0	9/24/2019 16:03	user	Cortana capability in my.	NOTSURE	notsure_not_judged	cortana capability in my	[]		1
Teams4409fec1-28dc-4a27-b146-2b03c02e4cf3	0	9/18/2019 13:18	user	How are you?	NOTSURE	notsure_not_judged	how are you	[]		8
Teamsc694cecd-d658-469a-98fe-cf7a8eb14e76	0	9/26/2019 17:56	user	Cortana open my.	NOTSURE	notsure_not_judged	cortana open my	[]		1
Teamsdc03937d-d698-4dd4-b763-68f1dbe07181	0	9/12/2019 19:22	user	List.	NOTSURE	notsure_not_judged	list	[]		1
Teamsc1501531-5214-4084-a4b0-d6f66af83403	0	9/15/2019 8:31	user	Will Daniel seat?	NOTSURE	notsure_not_judged	Will Daniel seat?	[]		1
Teams6309f6b6-483e-49dd-8b9b-a969a1e3c52e	0	9/9/2019 8:03	user	Focus.	NOTSURE	notsure_not_judged	focus	[]		1
Teams9b50b4a5-fe5f-45ef-ae49-ea278b75140d	0	9/20/2019 3:01	user	Go to settings.	NOTSURE	notsure_not_judged	go to settings	[]		20
Teams100964af-dac0-4ab1-b16c-c2f132118414	0	9/26/2019 13:14	user	Hey Cortana, 123456789 ten.	NOTSURE	notsure_not_judged	hey cortana, 123456789 ten	[]		1
Teams6f07de0b-dacd-442e-8e70-991039adddcf	0	9/30/2019 4:07	user	Possible X test?	NOTSURE	notsure_not_judged	possible x test	[]		1
Teamscba2a94f-418c-4b28-bda8-b33c4af1eb41	0	9/3/2019 15:57	user	Do you **** ****?	NOTSURE	notsure_not_judged	do you * *	[]		1
Teams33b52a7f-35f2-47df-a17d-ea4a05b61b80	0	9/6/2019 0:13	user	Queen.	NOTSURE	notsure_not_judged	queen	[]		1
Teamsf38a6287-a8cc-4a54-893a-00810fbc23a3	0	9/4/2019 0:15	user	Share MSAIXTeams Lt Review.	NOTSURE	notsure_not_judged	Share MSAIXTeams Lt Review.	[]		1
Teams46ffcc3f-0864-4144-b833-dd332dfb6b92	0	9/5/2019 19:25	user	Check your connection or try again in a little bit.	NOTSURE	notsure_not_judged	check your connection or try again in a little bit	[]		2
Teams2c51695e-bb92-486a-a4d1-2a69e78d2d62	0	9/11/2019 23:16	user	Right.	NOTSURE	notsure_not_judged	right	[]		2
Teams0eb04616-a6f0-49d8-aaeb-63b98b5ec794	0	9/9/2019 6:40	user	Where does the new set.	NOTSURE	notsure_not_judged	where does the new set	[]		1
Teams6cd1e157-693f-42cf-918c-decae5e6864b	0	9/17/2019 5:50	user	Hey Cortona.	NOTSURE	notsure_not_judged	hey cortona	[]		3
Teamsacf1c654-b14e-4eb1-a529-efca1c9f7269	0	9/3/2019 16:36	user	Before she got it.	NOTSURE	notsure_not_judged	before she got it	[]		1
Teams5abc9a16-5caf-4220-bb08-b77dc2b5c883	0	9/5/2019 18:02	user	Cortana call Mo's appeal.	NOTSURE	notsure_not_judged	cortana call mo's appeal	[]		1
Teamsb2a410ba-ec37-441e-8555-d273c884530a	0	9/9/2019 6:23	user	Hey Cortana, how to call?	NOTSURE	notsure_not_judged	hey cortana, how to call	[]		1
Teamsd5003274-5116-4ed4-9788-16b1cb806de0	0	9/27/2019 3:07	user	Hey Cortana. OK.	NOTSURE	notsure_not_judged	hey cortana. ok	[]		2
Teamsce1bb809-2bd0-4dd8-ae65-4e38659c0b78	0	9/4/2019 5:52	user	Hey Cortana. Hello Hello.	NOTSURE	notsure_not_judged	hey cortana. hello hello	[]		8
Teamsa4a368d9-77d9-43f8-9d29-264f4ce70400	0	9/23/2019 21:03	user	Who reported to shooting in?	NOTSURE	notsure_not_judged	who reported to shooting in	[]		1
Teams4e7b5691-116d-4f06-a5c8-0348f80a81b1	0	9/18/2019 12:48	user	Teams voice can release criteria.	NOTSURE	notsure_not_judged	teams voice can release criteria	[]		1
Teamscef535a6-eb66-4fca-9c49-c64fbb1b3cab	0	9/9/2019 18:43	user	Cortana scenarios that a deal with a contact form for instance, calling skills and messaging scale, etc. An their success depending on if.	NOTSURE	notsure_not_judged	cortana scenarios that a deal with a contact form for instance, calling skills and messaging scale, etc. an their success depending on if	[]		1
Teams2b28443f-65ed-4982-ab95-ed25acde7bc5	0	9/6/2019 14:26	user	Hey Cortana, if I trick you into saying something horrific, will Microsoft get sued?	NOTSURE	notsure_not_judged	hey cortana, if i trick you into saying something horrific, will microsoft get sued	[]		1
Teams03e87430-101f-472e-80eb-396c82e84d13	0	9/15/2019 9:23	user	But.	NOTSURE	notsure_not_judged	but	[]		2
Teamsdc51bf62-76ef-46f0-8812-28255866605a	0	9/9/2019 6:07	user	Top row Stroup.	NOTSURE	notsure_not_judged	top row stroup	[]		1
Teams97bcd324-eaf4-42b7-bbfe-6c00c2fc1d4d	0	9/24/2019 19:08	user	Cortana all 365 something of that so.	NOTSURE	notsure_not_judged	cortana all 365 something of that so	[]		1
Teamsb568d29d-e44b-4072-98d0-1bedffbeed30	0	9/4/2019 9:26	user	I ordered.	NOTSURE	notsure_not_judged	i ordered	[]		1
Teams2903e8af-cf92-4232-91fe-bfaee1d62815	0	9/30/2019 19:28	user	Hey Cortana change light.	NOTSURE	notsure_not_judged	hey cortana change light	[]		1
Teamsaf591f11-72c6-40d5-bebb-af5286d8a886	0	9/17/2019 7:33	user	Hey Cortana, how's the weather?	NOTSURE	notsure_not_judged	hey cortana, how's the weather	[]		1
Teams3fe60094-923a-4570-9c63-98d530386480	0	9/25/2019 16:35	user	Hey Cortana number.	NOTSURE	notsure_not_judged	hey cortana number	[]		1
Teams268af9a5-bf47-462a-8f18-ba0d389a16d4	0	9/30/2019 6:36	user	What time is it?	NOTSURE	notsure_not_judged	what time is it	[]		6
Teamsf7a10652-8ba5-456d-a5ef-e524c7a59d03	0	9/18/2019 18:21	user	What's the weather like right now?	NOTSURE	notsure_not_judged	what's the weather like right now	[]		5
Teams032a68c6-cff0-4197-b120-b55612b8d715	0	9/18/2019 11:25	user	Default make all action result.	NOTSURE	notsure_not_judged	default make all action result	[]		1
Teamscb9a3ed6-254f-45e1-b2fd-efe696e7a224	0	9/25/2019 14:07	user	Share. Dialogs. Design exchange.	NOTSURE	notsure_not_judged	Share. Dialogs. Design exchange.	[]		1
Teams1a75ad4b-a830-42b9-87f8-b9ccf9789789	0	9/27/2019 21:58	user	Cortana. We're doing testing on.	NOTSURE	notsure_not_judged	cortana. we're doing testing on	[]		1
Teams5a584556-9d3b-47e3-91bf-ba4a2406a2f7	0	9/23/2019 10:01	user	Tell the meaning.	NOTSURE	notsure_not_judged	tell the meaning	[]		1
Teamse8bafd3f-8ea0-490e-867c-ec09179c4993	0	9/12/2019 5:18	user	Hey Cortana. Hey.	NOTSURE	notsure_not_judged	hey cortana. hey	[]		8
Teamsf3f34764-5d4f-4dd1-b0af-b78de93ea4f2	0	9/10/2019 5:36	user	I think it.	NOTSURE	notsure_not_judged	i think it	[]		1
Teams093c0893-28e8-480a-b66e-88b36e5975bd	0	9/23/2019 23:36	user	Hey Cortana, does Quincy Jones sing just once?	NOTSURE	notsure_not_judged	hey cortana, does quincy jones sing just once	[]		1
Teams04371bb9-7922-4ef1-a274-150cc5cb832f	0	9/12/2019 7:04	user	Or they can do.	NOTSURE	notsure_not_judged	or they can do	[]		1
Teamsfe61dcc9-ba79-477d-8be0-6442a3ea37ed	0	9/4/2019 17:24	user	Hey Cortana tell me a joke in 10 minutes.	NOTSURE	notsure_not_judged	hey cortana tell me a joke in 10 minutes	[]		1
Teams468a1ad0-8a5d-413c-a1a2-65100729f412	0	9/5/2019 6:25	user	Send feedback.	NOTSURE	notsure_not_judged	send feedback	[]		17
Teams92039d90-16d3-420e-86ac-2a69e9906c97	0	9/2/2019 13:33	user	Sema.	NOTSURE	notsure_not_judged	sema	[]		1
Teams459dcf8b-1e0a-4c7c-9e8e-5cdbe739d23a	0	9/16/2019 9:57	user	Try a meeting.	NOTSURE	notsure_not_judged	Try a meeting.	[]		2
Teams9007f429-e073-43ed-845d-e0b4149e2ea6	0	9/3/2019 9:03	user	Hey Cortana. Hey Cortana.	NOTSURE	notsure_not_judged	hey cortana. hey cortana	[]		34
Teams1be56f51-b716-4a45-8540-45b181d90442	0	9/6/2019 4:41	user	Hey Cortana test.	NOTSURE	notsure_not_judged	hey cortana test	[]		1
Teamsebbdd1d3-7cfa-41ce-8de2-5972bedf91fa	0	9/19/2019 22:41	user	Cortana bug.	NOTSURE	notsure_not_judged	cortana bug	[]		1
Teamsd815b73d-65cc-4caa-bc1e-e5c03a71eced	0	9/11/2019 18:32	user	Hey Cortana, what's the weather in Bellevue today?	NOTSURE	notsure_not_judged	hey cortana, what's the weather in bellevue today	[]		1
Teamsfc4024b6-dd80-4669-8bab-cc2459942cff	0	9/10/2019 11:00	user	Did Eyal Badash Skype to the call?	NOTSURE	notsure_not_judged	did eyal badash skype to the call	[]		1
Teamsb3878cd0-a27f-46aa-9b0f-09244fb85cee	0	9/18/2019 7:11	user	What can you do?	NOTSURE	notsure_not_judged	what can you do	[]		40
Teams4285c5b1-3fcc-482b-b8ed-ad4dbae6cd11	0	9/10/2019 22:22	user	Yeah.	NOTSURE	notsure_not_judged	yeah	[]		4
Teams6d17e817-a100-455d-83f3-34efb131315f	0	9/4/2019 7:45	user	Let's try.	NOTSURE	notsure_not_judged	let's try	[]		1
Teamsef6f0e41-4f55-4d88-8c29-51eb26d0fde8	0	9/17/2019 7:11	user	Control goes organization.	NOTSURE	notsure_not_judged	control goes organization	[]		1
Teams6a5d7601-dcf2-4df7-a9d5-0913d737f362	0	9/30/2019 17:49	user	Get web. There's little light bulb.	NOTSURE	notsure_not_judged	get web. there's little light bulb	[]		1
Teams3bf2fa67-2d40-47fe-b3ee-156c13805398	0	9/18/2019 8:15	user	What's the weather?	NOTSURE	notsure_not_judged	what's the weather	[]		28
Teams4bbe964c-31b8-46d5-b1c1-a072b3f0ac95	0	9/25/2019 21:50	user	I need to open an incident.	NOTSURE	notsure_not_judged	i need to open an incident	[]		6
Teams3e5eac45-c667-4173-88bc-c5b1728f510b	0	9/4/2019 18:39	user	Hey Cortana, great Netflix horror movies April 2016.	NOTSURE	notsure_not_judged	hey cortana, great netflix horror movies april 2016	[]		3
Teams4633c061-c6f8-4464-8133-6bc5797a7496	0	9/16/2019 9:39	user	Project.	NOTSURE	notsure_not_judged	project	[]		1
Teams09d2c659-482e-4717-abf3-a7fc6357ef15	0	9/13/2019 8:53	user	Anyway.	NOTSURE	notsure_not_judged	anyway	[]		1
Teams6337c312-3408-4549-a66a-2db165e0986d	0	9/2/2019 16:25	user	Zombie domical.	NOTSURE	notsure_not_judged	zombie domical	[]		1
Teams57d677d2-2658-46e5-aeb8-391853c99dfb	0	9/19/2019 17:07	user	Cancel.	NOTSURE	notsure_not_judged	cancel	[]		20
Teams7dff8922-3861-499c-837b-1fcd30768935	0	9/18/2019 23:09	user	Henry.	NOTSURE	notsure_not_judged	henry	[]		1
Teams3ab42203-4f1a-43fb-b7e2-53986517e1df	0	9/10/2019 7:03	user	Hey Cortana, call driving.	NOTSURE	notsure_not_judged	Hey Cortana, call driving.	[]		1
Teams2844dd7f-0395-4833-90a9-9d3fe613db50	0	9/4/2019 6:02	user	End.	NOTSURE	notsure_not_judged	end	[]		1
Teams5024e256-d7d9-453c-9a1b-4f2cd66de717	0	9/23/2019 8:24	user	Hey Cortana right now.	NOTSURE	notsure_not_judged	hey cortana right now	[]		1
Teams0e4be3db-edd5-4018-9c9c-03ad824582a7	0	9/6/2019 2:46	user	Who is the drawing?	NOTSURE	notsure_not_judged	who is the drawing	[]		1
Teams10b8d937-99a9-44b5-9163-7a50b1151ce1	0	9/16/2019 13:42	user	Kids.	NOTSURE	notsure_not_judged	kids	[]		1
Teamsc6896085-5b63-4d4a-9a27-8362e41eb90a	0	9/25/2019 8:16	user	Cortana inside.	NOTSURE	notsure_not_judged	cortana inside	[]		1
Teamsc9ef2ed5-3830-45c3-9cd3-a2e6ee0429d0	0	9/27/2019 20:43	user	Sure.	NOTSURE	notsure_not_judged	sure	[]		1
Teams71ef5b9e-23ad-4c5e-8735-1031abcdabb5	0	9/19/2019 23:57	user	Hey Cortana Cortana.	NOTSURE	notsure_not_judged	hey cortana cortana	[]		7
Teams06d3038e-3804-424b-9684-8f2bdc6ea590	0	9/20/2019 0:03	user	Jim.	NOTSURE	notsure_not_judged	jim	[]		1
Teams82c2bb22-ad56-43a0-9a01-1c874210e39d	0	9/18/2019 10:41	user	Play music.	NOTSURE	notsure_not_judged	play music	[]		3
Teams7f5a66e3-c49f-4c77-874b-bb8b165b63bd	0	9/19/2019 6:58	user	I don't know.	NOTSURE	notsure_not_judged	i don't know	[]		1
Teams30315a57-f82f-4f61-b3c5-05c74d4eca1c	0	9/19/2019 10:14	user	Hey Cortana. Hey Cortana. Hey Cortana.	NOTSURE	notsure_not_judged	hey cortana. hey cortana. hey cortana	[]		3
Teams80cedb6b-6625-4120-b91e-89df87510b41	0	9/24/2019 8:42	user	Hey Cortana. Yeah.	NOTSURE	notsure_not_judged	hey cortana. yeah	[]		1
Teams455c886d-abfb-4149-9071-6462a9a3ab21	0	9/27/2019 21:18	user	Open FY20-Tournaments.	NOTSURE	notsure_not_judged	open fy20-tournaments	[]		3
Teams5da66129-44cd-4be6-bff3-ec7492563f19	0	9/24/2019 23:46	user	Hey Cortana, never mind.	NOTSURE	notsure_not_judged	hey cortana, never mind	[]		2
Teams54313468-0f5e-4eb6-bd7e-a3f385b427d2	0	9/17/2019 2:46	user	Hey Cortana, what's the weather?	NOTSURE	notsure_not_judged	hey cortana, what's the weather	[]		7
Teams9eb7790e-7e2f-4f6e-8550-2157f7875e03	0	9/26/2019 22:37	user	Download the fire. How to test the scarce.	NOTSURE	notsure_not_judged	Download the fire. How to test the scarce.	[]		1
Teams04065c9e-76fd-434d-a348-46fd00bb30a5	0	9/11/2019 5:03	user	Download files.	NOTSURE	notsure_not_judged	download files	[]		2
Teams92da0df4-e375-4c96-aa95-2597dc912fe2	0	9/11/2019 8:37	user	How do you think?	NOTSURE	notsure_not_judged	how do you think	[]		1
Teamseef4e69e-38cf-44dd-9694-925754d5a142	0	9/30/2019 12:18	user	Open settings.	NOTSURE	notsure_not_judged	open settings	[]		8
Teamsc934ca05-3e27-4311-88b0-82c436a125a5	0	9/19/2019 6:14	user	Hey Cortana. Send feedback.	NOTSURE	notsure_not_judged	hey cortana. send feedback	[]		16
Teamsb8e1797a-fb1d-4ba6-b5b3-6bd680f23547	0	9/3/2019 16:58	user	Hey Cortana, shut the Cortana. This is working session with shirt.	NOTSURE	notsure_not_judged	hey cortana, shut the cortana. this is working session with shirt	[]		1
Teamsf00a3894-c7a3-4642-963a-143a56668c50	0	9/11/2019 8:16	user	Cortana Cortana.	NOTSURE	notsure_not_judged	cortana cortana	[]		7
Teamsec921a1c-82bd-4ae9-962d-6efa02d1f56c	0	9/26/2019 7:42	user	Voice kids.	NOTSURE	notsure_not_judged	voice kids	[]		1
Teams4a2e6292-26fb-442f-a789-0f547d765075	0	9/20/2019 1:58	user	Demo script.	NOTSURE	notsure_not_judged	demo script	[]		11
Teams2d6496af-6589-40a8-8436-5df1c90713c3	0	9/30/2019 18:17	user	Cortana cancel Cortana. I did not ask you.	NOTSURE	notsure_not_judged	cortana cancel cortana. i did not ask you	[]		1
Teams8d1f3bee-f512-4aff-81ae-6d890ecbad90	0	9/27/2019 22:54	user	Open Model Self-Serve.	NOTSURE	notsure_not_judged	open model self-serve	[]		5
Teamscaa158c8-0ce3-43cc-9bd0-4dd3a774896a	0	9/26/2019 6:00	user	So How do I not capture capture this?	NOTSURE	notsure_not_judged	so how do i not capture capture this	[]		1
