ConversationId	MessageId	MessageTimestamp	MessageFrom	MessageText	JudgedDomain	JudgedIntent	JudgedConstraints	MetaData	ConversationContext	Frequency	Date
001a4077e64c4bffa60618bf2436c403	0		user	To meeting join next meeting.	CALENDAR	connect_to_meeting	To meeting join <start_time>next</start_time> meeting.	[]		1	April
00cf35fee5ae4cb99bb44718b3315b99	0		user	Call around near Eve.	COMMUNICATION	make_call	Call around near Eve.	[]		1	April
012038b394384e22b9a6a6abb0fff7c6	0		user	Present the deck.	TEAMS	start_presenting	Present the deck.	[]		1	April
012cdcd4fc714d649d170cebeae9c976	0		user	Join my next meeting.	CALENDAR	connect_to_meeting	join my <start_time>next</start_time> meeting	[]		1	April
0143b489cf72481dae4ccc212dcc46e8	0		user	Call Haim.	COMMUNICATION	make_call	Call <contact_name>Haim</contact_name>.	[]		1	April
015ccabc713042d79ac236256c911913	0		user	Cancel my meeting with Rose Zhu.	CALENDAR	delete_calendar_entry	Cancel my meeting with <contact_name>Rose Zhu</contact_name>.	[]		1	April
0160bb26f08f4ffea2616804322b281c	0		user	Open teams file search spec.	TEAMS	file_open	Open <file_title>teams</file_title> file <file_title>search spec</file_title>.	[]		1	April
019fb9ca57f344b3a9a96a167750ea84	0		user	Send the document.	TEAMS	file_share	Send the document.	[]		1	April
01a5d896f53c45fda7be7731cbf857a8	0		user	Go to Lil organization.	TEAMS	teamsuser_checkorg	Go to <teamsuser_contactname>Lil</teamsuser_contactname> organization.	[]		1	April
01aff868dbeb4b7d9bfd52f9d6c0e687	0		user	Call Eli.	COMMUNICATION	make_call	Call <contact_name>Eli</contact_name>.	[]		1	April
01b8fab4962043eca55097f81b5b4405	0		user	Open ship room PowerPoint.	TEAMS	file_open	Open <file_title>ship room</file_title> <file_filetype>PowerPoint</file_filetype>.	[]		1	April
01d6c93110a446d7b58217a5f1310009	0		user	Call Angus.	COMMUNICATION	make_call	Call <contact_name>Angus</contact_name>.	[]		1	April
0256ba6aea4546388f583509b846aae8	0		user	Write a message.	COMMUNICATION	send_text	Write a message.	[]		1	April
0273096a47564bd9b91963be0f89ad92	0		user	When is my next trip?	CALENDAR	find_calendar_when	When is my <start_time>next</start_time> <title>trip</title>?	[]		1	April
02b065369c3747cc8011e158dafe6493	0		user	What can you do?	TEAMS	teamspace_help	What can you do?	[]		1	April
02d1e0acee3f42c6903921af8a27e802	0		user	Open my excel.	TEAMS	file_open	Open my <file_filetype>excel</file_filetype>.	[]		1	April
02dc0302ae29429cbb64103af9d5684c	0		user	Send a message to Jiang.	COMMUNICATION	send_text	Send a message to <contact_name>Jiang</contact_name>.	[]		1	April
02e05332ae914acca5f29aa63cab4092	0		user	Call.	COMMUNICATION	make_call	Call.	[]		1	April
02fc87b0bab14ea6b49bc0d143dcac71	0		user	Go to next slide.	TEAMS	next_slide	Go to next slide.	[]		1	April
035e45cdbf4742f98970edbdfb72c49d	0		user	Send message to Caleb.	COMMUNICATION	send_text	Send message to <contact_name>Caleb</contact_name>.	[]		1	April
0363ce1ff69747109fabce232fcbf635	0		user	Join my next meeting.	CALENDAR	connect_to_meeting	join my <start_time>next</start_time> meeting	[]		1	April
039edab344c743b2a5cc62b2283b3b82	0		user	Send a message to my 9 AM meeting.	COMMUNICATION	send_text_meeting	Send a message to my <time>9 AM</time> meeting.	[]		1	April
046122655e864837a7721bfd6da4532a	0		user	Join the meeting.	CALENDAR	connect_to_meeting	Join the meeting.	[]		1	April
047f2253b0154073894b95571f51dce5	0		user	Send a message to me.	COMMUNICATION	send_text	Send a message to me.	[]		1	April
04d142538dc2423faf126598f0ab3255	0		user	Stop my meeting.	CALENDAR	disconnect_from_meeting	Stop my meeting.	[]		1	April
051701e677784a8f97b13a9ef098c342	0		user	Call Tom.	COMMUNICATION	make_call	call <contact_name>tom</contact_name>	[]		1	April
052e314a2da3494e834da6e1c1a2ad33	0		user	Send message to Adi.	COMMUNICATION	send_text	Send message to <contact_name>ADI</contact_name>.	[]		1	April
056c9eaa3a6e46c3acadf8f1b79ed0ea	0		user	Add Sander to the meeting.	CALENDAR	add_attendee	Add <contact_name>Sander</contact_name> to the meeting.	[]		1	April
05bcd551b07f41438a400afc38d64cf3	0		user	Join my next meeting.	CALENDAR	connect_to_meeting	join my <start_time>next</start_time> meeting	[]		1	April
05bd2e67d44048f0bb34a2a822df41d5	0		user	Go to saved items.	TEAMS	teamsuser_showactivity	Go to <teamsuser_activitytype>saved items</teamsuser_activitytype>.	[]		1	April
05d693da8db14dc0ab37dafc79260ce5	0		user	Go to calendar.	ONDEVICE	open_application	Go to <app_name>calendar</app_name>.	[]		1	April
05e4fb2a308241ad9fc4366385fe3b50	0		user	Join my 12 PM meeting.	CALENDAR	connect_to_meeting	Join my <start_time>12 PM</start_time> meeting.	[]		1	April
06123314c75e42ceb88436f2889f8d6e	0		user	Dial 5544.	COMMUNICATION	make_call	Dial <phone_number>5544</phone_number>.	[]		1	April
0686c0bedea04022a648a51437f65837	0		user	Send a message through voice.	COMMUNICATION	send_text	Send a message through voice.	[]		1	April
06ba4357e23c4370a15aef67bab68658	0		user	Join my next meeting.	CALENDAR	connect_to_meeting	join my <start_time>next</start_time> meeting	[]		1	April
06cc76c042284df294632b7597a14f4d	0		user	Open Cortana deck PowerPoint.	TEAMS	file_open	Open <file_title>Cortana</file_title> <file_filetype>deck PowerPoint</file_filetype>.	[]		1	April
06e246a8e87243ab8117b373f8258821	0		user	Schedule a meeting.	CALENDAR	create_calendar_entry	Schedule a meeting.	[]		1	April
070a9591ad2b4771889669aed1deaf3b	0		user	Message everyone in my 10 AM meeting that I'm running.	COMMUNICATION	send_text_meeting	Message everyone in my <time>10 AM</time> meeting that <message>I'm running</message>.	[]		1	April
07162b71bec14127ad4876ceea3ffbdd	0		user	Join my 4 PM meeting.	CALENDAR	connect_to_meeting	Join my <start_time>4 PM</start_time> meeting.	[]		1	April
07350a6f0d2d41f8b452a7286974940c	0		user	When is my next meeting with Boaz and Andrew Shuman?	CALENDAR	find_calendar_when	When is my <start_time>next</start_time> meeting with <contact_name>Boaz</contact_name> and <contact_name>Andrew Shuman</contact_name>?	[]		1	April
076dd22a092940e5ac682e1aaf8eaa1d	0		user	Show me at mentions.	TEAMS	teamsuser_showactivity	Show me <teamsuser_activitytype>at mentions</teamsuser_activitytype>.	[]		1	April
07a2c8f278814327b37da7b9f542ccc2	0		user	Call test something.	COMMUNICATION	make_call	Call test something.	[]		1	April
07cbfbf578fb48d6b0d84bc8bfb0f7e2	0		user	Show PowerPoint files.	TEAMS	file_navigate	Show <file_filetype>PowerPoint</file_filetype> files.	[]		1	April
08118fe79e504d8181a815b048a0c5a9	0		user	Present the deck.	TEAMS	start_presenting	Present the deck.	[]		1	April
081964a6191049aab10827ce7e52ecb3	0		user	Call are present.	WEB	web_not_judged	Call are present.	[]		1	April
09029d3e4438463b9b52a16dea3ea45e4	0		user	Call 2.	COMMUNICATION	make_call	call <speed_dial>2</speed_dial>	[]		1	April
090456adc75d4df293b237a4b8884d50	0		user	Open chat with Milad.	TEAMS	teamsuser_openchat	Open chat with <teamsuser_contactname>Milad</teamsuser_contactname>.	[]		1	April
09090fc04d4e4d76b2aa110fa0cad218	0		user	Write the message.	COMMUNICATION	send_text	Write the message.	[]		1	April
09238ddfd6ec4ddd9bf910bdbe3d358e	0		user	Show me at mentions.	TEAMS	teamsuser_showactivity	Show me <teamsuser_activitytype>at mentions</teamsuser_activitytype>.	[]		1	April
09a4b110d0174de3bfbc93c62d937801	0		user	Cancel.	COMMON	common_not_judged	Cancel.	[]		1	April
09d5113fb99d4128be34cd976613770d	0		user	Open teams file search spec document.	TEAMS	file_open	Open <file_title>teams file search spec</file_title> document.	[]		1	April
