ConversationId	MessageId	MessageFrom	MessageText	CortanaResponse	JudgedDomain	JudgedIntent	JudgedConstraints	MessageTimestamp	Dataset	SampleType	ConversationContext	AppFlavor	RuleTreeNBestList	SelectionIgnore	MetaData	GuidelineVersion	Frequency
0008bfe7-ece5-49a2-9432-39349f3b62cb	0	user	Join my next meeting.	Joining your 2:30 PM. 	CALENDAR	connect_to_meeting	join my <start_time>next</start_time> meeting	6/9/2020 9:35:38 PM	TeamsVoiceSkill	Speech		ios			[]	1.13	295
0023254f-9f03-4e99-a7b5-d49e1b1a156c	0	user	Present my reason deck.	I couldn't find a presentation called '%FileNameString%'.	INMEETING	start_presenting	Present my <deck_name>reason</deck_name> deck.	6/4/2020 6:25:20 AM	TeamsVoiceSkill	Speech		android-phone			[]	1.13	5
0038ace6-f006-4fbd-ad6f-53d565e81054	0	user	Go to unread activity.	. 	TEAMSACTION	teamsuser_showactivity	go to <teamsuser_activitytype>unread</teamsuser_activitytype> activity	6/4/2020 6:28:47 AM	TeamsVoiceSkill	Speech		android-phone			[]	1.13	38
0040d1b9-b794-4b42-972c-0303db7c2267	0	user	Set volume to 50.	Sorry, I don't know the answer to this one.	DEVICECONTROL	set_volume	Set volume to <volume_level>50</volume_level>.	6/3/2020 5:59:58 AM	TeamsVoiceSkill	Speech		android-phone			[]	1.13	44
00446d56-cc83-4a64-89fa-173bf4df419a	0	user	Go to 1st week of July in my calendar.	. 	CALENDAR	navigate_calendar	Go to <start_date>1st week of July</start_date> in my calendar.	6/12/2020 6:51:02 AM	TeamsVoiceSkill	Speech		android-phone			[]	1.13	2
004bebcb-7542-4e07-8b0e-0abb8d3c86a4	0	user	Call 409-444-6721.	Calling (409) 444-6721	COMMUNICATION	make_call	Call <phone_number>409-444-6721</phone_number>.	6/24/2020 7:00:29 PM	TeamsVoiceSkill	Speech		ios	<#baseModel> !sent_start call four zero nine four four four six seven two one !sent_end </#baseModel>,<#baseModel> !sent_start call four zero nine four four six seven two one !sent_end </#baseModel>,<#baseModel> !sent_start call four zero nine four four four six seven two oh one !sent_end </#baseModel>,<#baseModel> !sent_start call four zero nine four four four six seven two one one !sent_end </#baseModel>,<#baseModel> !sent_start call four zero nine four four four six seven two one nine !sent_end </#baseModel>		[]	1.13	41
004ce730-b4a4-4c91-9ab1-8df3dd9fc2d7	0	user	Cancel my test meeting.	Which one of your events should I remove?	CALENDAR	delete_calendar_entry	Cancel my <title>test</title> meeting.	6/8/2020 6:24:04 AM	TeamsVoiceSkill	Speech		android-phone			[]	1.13	44
004f2f5d-5450-4ed9-8901-d4f92464854b	0	user	What's on my calendar?	I found 5 events for today.	CALENDAR	find_calendar_entry	what's on my calendar	6/4/2020 2:43:07 AM	TeamsVoiceSkill	Speech		android-phone			[]	1.13	216
005280d8-9b13-4f75-bde8-4fbbb4b24070	0	user	Message Barak.	OK, What's your message?	COMMUNICATION	send_text	Message <contact_name>Barak</contact_name>.	6/10/2020 10:27:24 AM	TeamsVoiceSkill	Speech		android-phone			[]	1.13	1
005875d2-423a-4fdc-a5b3-3a87d6ce4b62	0	user	Hey Cortana send Perry a note.	What's your message?	COMMUNICATION	send_text	Hey Cortana send <contact_name>Perry</contact_name> a note.	6/24/2020 6:56:29 PM	TeamsVoiceSkill	Speech		ios	<#prefix> !sent_start hey cortana !sent_end </#prefix> <#cortana_teams_clm> !sent_start send <#TEAMSUSER_CONTACTNAME> Perry </#TEAMSUSER_CONTACTNAME> a note !sent_end </#cortana_teams_clm>,<#prefix> !sent_start cortana !sent_end </#prefix> <#cortana_teams_clm> !sent_start send <#TEAMSUSER_CONTACTNAME> Perry </#TEAMSUSER_CONTACTNAME> a note !sent_end </#cortana_teams_clm>,<#prefix> !sent_start hey cortana !sent_end </#prefix> <#cortana_teams_clm> !sent_start send <#TEAMSUSER_CONTACTNAME> Perry </#TEAMSUSER_CONTACTNAME> an note !sent_end </#cortana_teams_clm>,<#prefix> !sent_start hey cortana !sent_end </#prefix> <#cortana_teams_clm> !sent_start send <#TEAMSUSER_CONTACTNAME> Perry </#TEAMSUSER_CONTACTNAME> and note !sent_end </#cortana_teams_clm>,<#prefix> !sent_start hey cortana !sent_end </#prefix> <#cortana_teams_clm> !sent_start send <#TEAMSUSER_CONTACTNAME> Perry </#TEAMSUSER_CONTACTNAME> and no !sent_end </#cortana_teams_clm>		[]	1.13	1
005d80da-ba6b-44c5-817a-edc8271656e8	0	user	Well the call to Zhen Lu.	Calling Zhen Lu (Beyondsoft)	COMMUNICATION	make_call	Well the call to <contact_name>Zhen Lu</contact_name>.	6/9/2020 6:57:09 AM	TeamsVoiceSkill	Speech		android-phone			[]	1.13	1
00605354-15a6-4e0d-b43a-71a784df3868	0	user	Add Maya to the call.	Which Maya should I add?	COMMUNICATION	add_to_call	Add <contact_name>Maya</contact_name> to the call.	6/8/2020 11:42:22 PM	TeamsVoiceSkill	Speech		android-phone			[]	1.13	8
006196f2-23c8-4ee5-8691-31d3a6e13d3e	0	user	Translate certain messages.	I'm sorry, but I can't help with that.	NOTSURE	other_domain	Translate certain messages.	6/16/2020 6:03:32 PM	TeamsVoiceSkill	Speech		ios			[]	1.13	1
006c3731-85d3-4247-b9b8-70b98c0199ca	0	user	Volume to Max.	Sorry, I'm not able to help with this one.	DEVICECONTROL	set_volume	Volume to <volume_level>Max</volume_level>.	6/3/2020 5:17:28 PM	TeamsVoiceSkill	Speech		android-phone			[]	1.13	5
0078e5ac-9eee-4799-8112-a73b60fbe4ea	0	user	Phone Maya.	OK, Which Maya would you like to call?	COMMUNICATION	make_call	Phone <contact_name>Maya</contact_name>.	6/11/2020 7:06:32 PM	TeamsVoiceSkill	Speech		android-phone			[]	1.13	52
007ab319-1804-47c0-a5c2-198721934bae	0	user	How many meetings do I have today?	I see 1 event for today.	CALENDAR	find_calendar_entry	How many meetings do I have <start_date>today</start_date>?	6/4/2020 9:06:11 AM	TeamsVoiceSkill	Speech		android-phone			[]	1.13	17
007b3e6d-8957-413c-b9a5-28ff382bed33	0	user	Tanner teams cancel button.	I'm sorry, but I can't help with that.	NOTSURE	other_domain	Tanner teams cancel button.	6/11/2020 4:12:10 AM	TeamsVoiceSkill	Speech		ios			[]	1.13	1
008871d4-c1f0-4f7d-b3a1-c9360d03d4ba	0	user	Cancel.		COMMON	cancel	cancel	6/10/2020 6:47:52 AM	TeamsVoiceSkill	Speech		ios			[]	1.13	37
00912a0f-8aab-470d-9ca4-1eaa91b845e1	0	user	What meetings do I have in the evening today?	I found 1 event for this evening.	CALENDAR	find_calendar_entry	What meetings do I have in the <start_time>evening</start_time> <start_date>today</start_date>?	6/16/2020 8:09:21 PM	TeamsVoiceSkill	Speech		ios			[]	1.13	1
0094c809-1699-4d96-a3f9-272303693312	0	user	Transfer the call to Maya Meyerson's mobile.	Maya Meyerson, which number?	COMMUNICATION	transfer	Transfer the call to <contact_name>Maya Meyerson</contact_name>'s <destination_platform>mobile</destination_platform>.	6/4/2020 12:26:27 AM	TeamsVoiceSkill	Speech		ios			[]	1.13	1
0095982c-5e54-43c9-8ff0-9113b51f15a2	0	user	Share the Reference deck.	Sorry! Something went wrong. Please try again later.	FILES	file_share	Share the <file_keyword>Reference</file_keyword> <file_type>deck</file_type>.	6/4/2020 10:52:03 PM	TeamsVoiceSkill	Speech		ios			[]	1.13	18
0095f983-6ae0-40ba-9010-8aa5c562ff72	0	user	Schedule a meeting.	Sorry, I can't put things on your calendar here.	CALENDAR	create_calendar_entry	schedule a meeting	6/9/2020 8:38:19 PM	TeamsVoiceSkill	Speech		android-phone			[]	1.13	11
009756c6-25ed-4964-b30b-088e0fe2dd06	0	user	Start adaptive cards too.	I'm sorry, but I can't help with that.	NOTSURE	other_domain	Start adaptive cards too.	6/2/2020 8:31:49 AM	TeamsVoiceSkill	Speech		android-phone			[]	1.13	26
0098ddda-b728-4daa-9851-dfbadc256949	0	user	Go to slide 5.	Actually, I can help you navigate a presentation only when it's being presented.	INMEETING	goto_slide	Go to slide <slide_number>5</slide_number>.	6/4/2020 7:05:04 AM	TeamsVoiceSkill	Speech		ios			[]	1.13	4
009db076-af2c-48c7-b294-bd4520ebe621	0	user	Hey Cortana cancel my meeting with Rose.	Error.	CALENDAR	delete_calendar_entry	hey cortana cancel my meeting with <contact_name>rose</contact_name>	6/29/2020 7:52:53 AM	TeamsVoiceSkill	Speech		android-phone	<#prefix> !sent_start hey cortana !sent_end </#prefix> <#cortana_teams_clm> !sent_start cancel my meeting with <#TEAMSUSER_CONTACTNAME> Rose </#TEAMSUSER_CONTACTNAME> !sent_end </#cortana_teams_clm>,<#prefix> !sent_start cortana !sent_end </#prefix> <#cortana_teams_clm> !sent_start cancel my meeting with <#TEAMSUSER_CONTACTNAME> Rose </#TEAMSUSER_CONTACTNAME> !sent_end </#cortana_teams_clm>,<#prefix> !sent_start hey cortana !sent_end </#prefix> <#cortana_teams_clm> !sent_start cancel my meeting with <#TEAMSUSER_CONTACTNAME> Zhu Rose </#TEAMSUSER_CONTACTNAME> !sent_end </#cortana_teams_clm>,<#prefix> !sent_start cortana !sent_end </#prefix> <#cortana_teams_clm> !sent_start cancel my meeting with <#TEAMSUSER_CONTACTNAME> Zhu Rose </#TEAMSUSER_CONTACTNAME> !sent_end </#cortana_teams_clm>,<#prefix> !sent_start hey cortana !sent_end </#prefix> <#cortana_teams_clm> !sent_start cancel my meeting with the <#TEAMSUSER_CONTACTNAME> Rose </#TEAMSUSER_CONTACTNAME> !sent_end </#cortana_teams_clm>		[]	1.13	5
00b02aa9-830e-441c-bedb-4c481496e2fc	0	user	Hey Cortana show me where I was mentioned.	. 	TEAMSACTION	teamsuser_showactivity	Hey Cortana show me <teamsuser_activitytype>where I was mentioned</teamsuser_activitytype>.	6/29/2020 6:18:47 AM	TeamsVoiceSkill	Speech		android-phone	<#prefix> !sent_start hey cortana !sent_end </#prefix> <#cortana_teams_clm> !sent_start show me where i was mentioned !sent_end </#cortana_teams_clm>,<#prefix> !sent_start hey cortana !sent_end </#prefix> <#cortana_teams_clm> !sent_start /show\+me\+the/show+me+the/ mentioned !sent_end </#cortana_teams_clm>,<#prefix> !sent_start hey cortana !sent_end </#prefix> <#cortana_teams_clm> !sent_start show /me\+the/me+the/ mentioned !sent_end </#cortana_teams_clm>,<#prefix> !sent_start hey cortana !sent_end </#prefix> <#cortana_teams_clm> !sent_start show me their mentioned !sent_end </#cortana_teams_clm>,<#prefix> !sent_start hey cortana !sent_end </#prefix> <#cortana_teams_clm> !sent_start /show\+me/show+me/ their mentioned !sent_end </#cortana_teams_clm>		[]	1.13	4
00b24cad-8a56-4af7-9404-b3816f977c09	0	user	Share the Food presentation with Toby Miller.	Alright, which PowerPoint should I share?	FILES	file_share	Share the <file_keyword>Food</file_keyword> <file_type>presentation</file_type> with <to_contact_name>Toby Miller</to_contact_name>.	6/15/2020 10:59:33 PM	TeamsVoiceSkill	Speech		android-phone			[]	1.13	5
00b4eae2-cd39-4b1c-ba06-9d85d1c3e97e	0	user	Present the deck I was working on.	which presentation?	INMEETING	start_presenting	Present the deck <file_filerecency>I was working on</file_filerecency>.	6/4/2020 11:37:10 AM	TeamsVoiceSkill	Speech		ios			[]	1.13	57
00bf4f95-f99e-40ed-b825-cdf5178f1013	0	user	Open my recent files.	OK, which file should I open?	FILES	file_open	Open <contact_name>my</contact_name> <file_recency>recent</file_recency> files.	6/29/2020 2:11:20 AM	TeamsVoiceSkill	Speech		android-phone	<#cortana_teams_clm> !sent_start open my recent files !sent_end </#cortana_teams_clm>,<#baseModel> !sent_start open my recent file !sent_end </#baseModel>,<#baseModel> !sent_start open my recent fire !sent_end </#baseModel>,<#cortana_teams_clm> !sent_start open my recent fire !sent_end </#cortana_teams_clm>,<#cortana_teams_clm> !sent_start open my recent file !sent_end </#cortana_teams_clm>		[]	1.13	25
00ca35f7-4af8-4c51-8ac2-d340bbc4b571	0	user	Cancel my blog hunt meeting.	Sorry, I didn't find any events about blog hunt for today.	CALENDAR	delete_calendar_entry	Cancel my <title>blog hunt</title> meeting.	6/30/2020 6:04:55 PM	TeamsVoiceSkill	Speech		ios	<#cortana_teams_clm> !sent_start cancel my blog hunt meeting !sent_end </#cortana_teams_clm>,<#baseModel> !sent_start cancel my bug hunt meeting !sent_end </#baseModel>,<#cortana_teams_clm> !sent_start cancel my bug hunt meeting !sent_end </#cortana_teams_clm>,<#cortana_teams_clm> !sent_start cancel my buck hunter meeting !sent_end </#cortana_teams_clm>,<#cortana_teams_clm> !sent_start cancel my blog hunter meeting !sent_end </#cortana_teams_clm>		[]	1.13	1
00ca7c49-0cc8-4f18-bd40-822429df3375	0	user	Open file Test Processor SDK diagram.	. 	FILES	file_open	Open file <file_keyword>Test Processor SDK diagram</file_keyword>.	6/18/2020 10:02:49 AM	TeamsVoiceSkill	Speech		android-phone			[]	1.13	3
