ConversationId	MessageId	MessageTimestamp	MessageFrom	MessageText	CortanaResponse	JudgedDomain	JudgedIntent	JudgedConstraints	ConversationContext	MetaData	Dataset	SampleType	Frequency	GuidelineVersion
b61827b8-968f-46a7-bc5c-71478110d553	0	3/3/2020 23:42	user	share it		FILES	confirm	share it	{"PreviousTurnDomain":["files"],"TaskFrameStatus":["InProgress"]}	[]	Teams	Speech	1	21.1
55498ac5-002e-497f-8734-1062bd52f41c	0	3/3/2020 20:51	user	share it		FILES	confirm	share it	{"PreviousTurnDomain":["common"],"TaskFrameStatus":["InProgress"]}	[]	Teams	Speech	1	21.1
c2481081-e5e1-4f9e-81a5-3bc598d97c7c	0	3/25/2020 1:53	user	please do		FILES	confirm	please do	{"PreviousTurnDomain":["files"],"TaskFrameStatus":["InProgress"]}	[]	Teams	Speech	1	21.1
1f34a825-ca11-491b-a681-1516d21c88f0	0	3/31/2020 12:18	user	please do		FILES	confirm	please do	{"PreviousTurnDomain":["common"],"TaskFrameStatus":["InProgress"]}	[]	Teams	Speech	1	21.1
6fd89169-e57b-4b34-8496-b8664251c60b	0	3/10/2020 8:43	user	share		FILES	confirm	share	{"PreviousTurnDomain":["files"],"TaskFrameStatus":["PromptedForConfirmation"]}	[]	Teams	Speech	1	21.1
11e33dd9-7901-4324-866a-80989e558a73	0	3/9/2020 13:42	user	share		FILES	confirm	share	{"PreviousTurnDomain":["common"],"TaskFrameStatus":["PromptedForConfirmation"]}	[]	Teams	Speech	1	21.1
94f1db9b-25e2-4f48-9f5a-8c8200f48fb6	0	3/23/2020 23:57	user	share it		FILES	confirm	share it	{"PreviousTurnDomain":["files"],"TaskFrameStatus":["PromptedForConfirmation"]}	[]	Teams	Speech	1	21.1
8c61e7ac-771c-4f13-b91b-0ca6d4f60188	0	3/4/2020 10:07	user	share it		FILES	confirm	share it	{"PreviousTurnDomain":["common"],"TaskFrameStatus":["PromptedForConfirmation"]}	[]	Teams	Speech	1	21.1
42831a15-faa6-42ba-b7a6-aa85307533ec	0	3/1/2020 14:11	user	please do		FILES	confirm	please do	{"PreviousTurnDomain":["files"],"TaskFrameStatus":["PromptedForConfirmation"]}	[]	Teams	Speech	1	21.1
80c1594c-e0be-42d6-9b34-727b936c553b	0	3/2/2020 2:54	user	please do		FILES	confirm	please do	{"PreviousTurnDomain":["common"],"TaskFrameStatus":["PromptedForConfirmation"]}	[]	Teams	Speech	1	21.1
8fca9823-360a-46f1-b34c-b4952ebbafd8	0	3/18/2020 5:57	user	sure		FILES	confirm	sure	{"PreviousTurnDomain":["files"],"TaskFrameStatus":["PromptedForConfirmation"]}	[]	Teams	Speech	1	21.1
c0081b2f-2867-429a-b38e-c82e55971331	0	3/5/2020 9:34	user	sure		FILES	confirm	sure	{"PreviousTurnDomain":["common"],"TaskFrameStatus":["PromptedForConfirmation"]}	[]	Teams	Speech	1	21.1
002406f5-3811-40e3-9235-88cc43783240	0	3/5/2020 17:27	user	yes		FILES	confirm	yes	{"PreviousTurnDomain":["files"],"TaskFrameStatus":["PromptedForConfirmation"]}	[]	Teams	Speech	1	21.1
8abbf768-a30c-44c3-9f71-5c118257e8ba	0	3/31/2020 22:30	user	yes		FILES	confirm	yes	{"PreviousTurnDomain":["common"],"TaskFrameStatus":["PromptedForConfirmation"]}	[]	Teams	Speech	1	21.1
186a7032-e65a-46aa-99ed-68d5d00a9382	0	3/27/2020 14:17	user	none of these, show me more		FILES	select_more	none of these, show me more	{"PreviousTurnDomain":["files"],"TaskFrameStatus":["InProgress"]}	[]	Teams	Speech	1	21.1
d282d7f0-b992-41ab-a04d-6f2e001a631d	0	3/30/2020 11:16	user	none of these, show me more		FILES	select_more	none of these, show me more	{"PreviousTurnDomain":["common"],"TaskFrameStatus":["InProgress"]}	[]	Teams	Speech	1	21.1
0e7eb8cc-9f69-4024-9213-d3a00a817e12	0	3/13/2020 2:43	user	show me more		FILES	select_more	show me more	{"PreviousTurnDomain":["files"],"TaskFrameStatus":["InProgress"]}	[]	Teams	Speech	1	21.1
abd949f1-1c2a-4c4c-9691-0c05130f5378	0	3/18/2020 9:24	user	show me more		FILES	select_more	show me more	{"PreviousTurnDomain":["common"],"TaskFrameStatus":["InProgress"]}	[]	Teams	Speech	1	21.1
43446e42-1a5b-45a2-b15e-42afc295ff4b	0	3/9/2020 8:09	user	no,show me more		FILES	select_more	no,show me more	{"PreviousTurnDomain":["files"],"TaskFrameStatus":["InProgress"]}	[]	Teams	Speech	1	21.1
da61733b-ca6e-4926-be3d-45d211fa208f	0	3/7/2020 0:34	user	no,show me more		FILES	select_more	no,show me more	{"PreviousTurnDomain":["common"],"TaskFrameStatus":["InProgress"]}	[]	Teams	Speech	1	21.1
ed899772-bf8a-4274-b090-28a958d35683	0	3/4/2020 9:49	user	show more files		FILES	select_more	show more files	{"PreviousTurnDomain":["files"],"TaskFrameStatus":["InProgress"]}	[]	Teams	Speech	1	21.1
19caa1ab-27c2-452a-b74a-523e66cbe140	0	3/11/2020 16:26	user	show more files		FILES	select_more	show more files	{"PreviousTurnDomain":["common"],"TaskFrameStatus":["InProgress"]}	[]	Teams	Speech	1	21.1
0255c40c-f372-4ba6-aac7-9bbfaeab43c4	0	3/2/2020 1:27	user	i want a different file		FILES	select_more	i want a different file	{"PreviousTurnDomain":["files"],"TaskFrameStatus":["InProgress"]}	[]	Teams	Speech	1	21.1
038b8776-5e48-4ade-8802-cac3fa1c476f	0	3/13/2020 6:29	user	i want a different file		FILES	select_more	i want a different file	{"PreviousTurnDomain":["common"],"TaskFrameStatus":["InProgress"]}	[]	Teams	Speech	1	21.1
bc041680-134c-459e-85df-7c655b1ac3e6	0	3/25/2020 19:47	user	i want different files		FILES	select_more	i want different files	{"PreviousTurnDomain":["files"],"TaskFrameStatus":["InProgress"]}	[]	Teams	Speech	1	21.1
1af5247c-cff8-46bd-bd40-1543b02d4c43	0	3/3/2020 17:33	user	i want different files		FILES	select_more	i want different files	{"PreviousTurnDomain":["common"],"TaskFrameStatus":["InProgress"]}	[]	Teams	Speech	1	21.1
0c9a066e-8a06-4b5d-b32f-3bc00e85f514	0	3/5/2020 6:02	user	i want a different one		FILES	select_more	i want a different one	{"PreviousTurnDomain":["files"],"TaskFrameStatus":["InProgress"]}	[]	Teams	Speech	1	21.1
a867046e-0703-47b0-8fdf-01600743e461	0	3/3/2020 6:04	user	i want a different one		FILES	select_more	i want a different one	{"PreviousTurnDomain":["common"],"TaskFrameStatus":["InProgress"]}	[]	Teams	Speech	1	21.1
6a02773d-6d46-4ec3-b71e-2f3460dd8d65	0	3/17/2020 11:10	user	i want different ones		FILES	select_more	i want different ones	{"PreviousTurnDomain":["files"],"TaskFrameStatus":["InProgress"]}	[]	Teams	Speech	1	21.1
8f917622-9a64-47cd-af3e-987ae2d29f64	0	3/2/2020 19:59	user	i want different ones		FILES	select_more	i want different ones	{"PreviousTurnDomain":["common"],"TaskFrameStatus":["InProgress"]}	[]	Teams	Speech	1	21.1
4a03b267-6d48-4da6-9266-d25fc3f36617	0	3/27/2020 7:05	user	none of these, i want a different one		FILES	select_more	none of these, i want a different one	{"PreviousTurnDomain":["files"],"TaskFrameStatus":["InProgress"]}	[]	Teams	Speech	1	21.1
d83bffb7-0666-4dcd-af52-199191865a0f	0	3/20/2020 11:18	user	none of these, i want a different one		FILES	select_more	none of these, i want a different one	{"PreviousTurnDomain":["common"],"TaskFrameStatus":["InProgress"]}	[]	Teams	Speech	1	21.1
98496e73-0843-4597-9074-0593cf832a19	0	3/8/2020 3:17	user	none of these, i want different ones		FILES	select_more	none of these, i want different ones	{"PreviousTurnDomain":["files"],"TaskFrameStatus":["InProgress"]}	[]	Teams	Speech	1	21.1
365cdf60-3544-4610-8636-7480b49e8f0a	0	3/26/2020 18:00	user	none of these, i want different ones		FILES	select_more	none of these, i want different ones	{"PreviousTurnDomain":["common"],"TaskFrameStatus":["InProgress"]}	[]	Teams	Speech	1	21.1
