ConversationId	MessageId	MessageTimestamp	MessageFrom	MessageText	CortanaResponse	JudgedDomain	JudgedIntent	JudgedConstraints	MetaData	ConversationContext	Dataset	SampleType	Frequency	GuidelineVersion
5c52d85d-1559-4144-972e-cc397e825749	0	2/12/2020 21:11	user	Hey Cortana cancel that.		COMMON	cancel	Hey Cortana cancel that.	[]		Teams	Speech	369	21.1
7ea574b7-0526-4421-8f6c-7151c7ef49b7	0	2/3/2020 9:31	user	Hello.		NOTSURE	other_domain	Hello.	[]		Teams	Speech	330	21.1
a879a634-023d-4cde-ab3e-1228e7c8d0a3	0	2/27/2020 22:02	user	Join my meeting.		CALENDAR	connect_to_meeting	Join my meeting.	[]		Teams	Speech	243	21.1
8570ce28-40b8-4688-98fb-400959f38adb	0	2/28/2020 5:33	user	Read my messages.		COMMUNICATION	query_message	Read my messages.	[]		Teams	Speech	227	21.1
d7a0ea47-fa01-4245-9584-e094fdba12eb	0	2/20/2020 10:13	user	Help.		COMMON	help	Help.	[]		Teams	Speech	216	21.1
87e3f71d-db30-4766-a044-93f4a379d6cb	0	2/28/2020 7:48	user	Send a message.		COMMUNICATION	send_text	Send a message.	[]		Teams	Speech	204	21.1
0894ee90-eef6-4fe6-9642-34ad6bc66f2f	0	2/9/2020 7:30	user	Present the deck.		INMEETING	start_presenting	Present the deck.	[]		Teams	Speech	189	21.1
d0af5c6e-4dbe-4f2e-9cb3-bbd2e1f205ba	0	2/26/2020 8:00	user	Join my next meeting.		CALENDAR	connect_to_meeting	Join my <start_time>next</start_time> meeting.	[]		Teams	Speech	175	21.1
87c53b73-0a83-489a-9620-796f4a4d9e53	0	2/12/2020 12:47	user	What can you do?		COMMON	help	What can you do?	[]		Teams	Speech	157	21.1
fb20ddf1-7b61-4a26-bec6-99278ea1ca60	0	2/27/2020 13:51	user	When is my next meeting?		CALENDAR	find_calendar_when	When is my <start_time>next</start_time> meeting?	[]		Teams	Speech	153	21.1
5d7129f2-e255-445e-983e-231c12df7dd2	0	2/7/2020 15:17	user	What's my next meeting?		CALENDAR	find_calendar_entry	What&apos;s my <start_time>next</start_time> meeting?	[]		Teams	Speech	137	21.1
547aaa4e-f9ad-429f-83b4-a88483934561	0	2/21/2020 5:33	user	Send a message to Rose.		COMMUNICATION	send_text	Send a message to <contact_name>Rose</contact_name>.	[]		Teams	Speech	120	21.1
f0667d10-d114-4406-9891-65e6cf472331	0	2/10/2020 3:18	user	Cortana.		NOTSURE	other_domain	Cortana.	[]		Teams	Speech	118	21.1
9229cbe2-b3c0-4e63-938d-49f05b297862	0	2/6/2020 14:21	user	What do I have today?		CALENDAR	find_calendar_entry	What do I have <start_date>today</start_date>?	[]		Teams	Speech	106	21.1
997c8e6c-ee44-4d77-859a-c24782cc0095	0	2/20/2020 0:11	user	Call 409-444-6721.		COMMUNICATION	make_call	Call <phone_number>409-444-6721</phone_number>.	[]		Teams	Speech	105	21.1
