ConversationId	MessageId	MessageFrom	MessageText	CortanaResponse	JudgedDomain	JudgedIntent	JudgedConstraints	MessageTimestamp	Dataset	SampleType	ConversationContext	AppFlavor	SelectionIgnore	MetaData	GuidelineVersion	Frequency
000145a0-a405-426d-9c97-ac19ca84c1e3	0	user	When is my review meeting?	I'm finding 1 event that has review in the title.	CALENDAR	find_calendar_when	When is my <title>review</title> meeting?	6/15/2020 11:44:07 PM	TeamsVoiceSkill	Speech	{"SrSentences": ["When is my review meeting?", "When is my review meeting?", "When is my review meeting?", "When it's my review meeting?", "When is my review meaning?"], "SrSentencesScores": ["0.85933834", "0.8464979", "0.8010542", "0.838889", "0.7750812"]}	android-phone		[]	1.13	4
00063063-9650-4ed2-bbde-bdeba55ae7bb	0	user	Go to slide 2.		INMEETING	goto_slide	Go to slide <slide_number>2</slide_number>.	6/3/2020 3:16:46 AM	TeamsVoiceSkill	Speech	{"SrSentences": ["Go to slide 2.", "Go to slide 2.", "Go to slide tool.", "Go to slide 2.", "Go to slide to."], "SrSentencesScores": ["0.89979255", "0.8865847", "0.78683215", "0.716822", "0.82171273"]}	ios		[]	1.13	26
000c2e65-453c-432c-bd65-7ceee1e78b5a	0	user	Hey Cortana hey.	Hi! If you want to see what's on your schedule, just ask me.	NOTSURE	notsure_other	hey cortana hey	6/30/2020 6:38:56 AM	TeamsVoiceSkill	Speech	{"SrSentences": ["Hey Cortana hey.", "Cortana hey.", "Hey Cortana hey.", "Cortana hey.", "Hey Cortana heh."], "SrSentencesScores": ["0.83635324", "0.8188838", "0.7474616", "0.72926354", "0.5831117"], "SrRuleTree": ["<#prefix> !sent_start hey cortana !sent_end </#prefix> <#baseModel> !sent_start hey !sent_end </#baseModel>", "<#prefix> !sent_start cortana !sent_end </#prefix> <#baseModel> !sent_start hey !sent_end </#baseModel>", "<#prefix> !sent_start hey cortana !sent_end </#prefix> <#cortana_teams_clm> !sent_start hey !sent_end </#cortana_teams_clm>", "<#prefix> !sent_start cortana !sent_end </#prefix> <#cortana_teams_clm> !sent_start hey !sent_end </#cortana_teams_clm>", "<#prefix> !sent_start hey cortana !sent_end </#prefix> <#baseModel> !sent_start heh !sent_end </#baseModel>"]}	android-phone		[]	1.13	14
000c58a9-fab9-4aa4-85ec-6684f1148884	0	user	Transfer call to Sha Li.	Alright, Sha Li (Zen3 Infosolutions America Inc), which number?	COMMUNICATION	transfer	Transfer call to <contact_name>Sha Li</contact_name>.	6/26/2020 5:47:00 PM	TeamsVoiceSkill	Speech	{"SrSentences": ["Transfer call to Sha Li.", "Transfer call to Sha Li's.", "Transfer call to Charlie.", "Transfer call to Sha Li home.", "Transfer call to Shirley."], "SrSentencesScores": ["0.91037107", "0.9136707", "0.8216634", "0.91177535", "0.81105024"], "SrRuleTree": ["<#cortana_teams_clm> !sent_start transfer call to <#TEAMSUSER_CONTACTNAME> Sha Li </#TEAMSUSER_CONTACTNAME> !sent_end </#cortana_teams_clm>", "<#cortana_teams_clm> !sent_start transfer call to <#TEAMSUSER_CONTACTNAME> Sha Li </#TEAMSUSER_CONTACTNAME> 's !sent_end </#cortana_teams_clm>", "<#cortana_teams_clm> !sent_start transfer call to <#FIRSTNAME> charlie </#FIRSTNAME> !sent_end </#cortana_teams_clm>", "<#cortana_teams_clm> !sent_start transfer call to <#TEAMSUSER_CONTACTNAME> Sha Li </#TEAMSUSER_CONTACTNAME> home !sent_end </#cortana_teams_clm>", "<#cortana_teams_clm> !sent_start transfer call to <#FIRSTNAME> shirley </#FIRSTNAME> !sent_end </#cortana_teams_clm>"]}	android-phone		[]	1.13	14
001fe93f-4fba-4ff9-8f06-06a733dd50e7	0	user	Start ketchup.	Sorry, I don't know the answer to this one.	NOTSURE	other_domain	Start ketchup.	6/21/2020 10:13:00 AM	TeamsVoiceSkill	Speech	{"SrSentences": ["Start ketchup.", "Start catch up.", "Start catch up.", "Start ketchup.", "Start catching up."], "SrSentencesScores": ["0.6843685", "0.74202555", "0.72414005", "0.5862883", "0.7450187"]}	android-phone		[]	1.13	6
00203304-ba0c-462d-8002-32382d55f354	0	user	Book meeting.	Sorry, I can't put things on your calendar here.	CALENDAR	create_calendar_entry	Book meeting.	6/12/2020 5:13:53 PM	TeamsVoiceSkill	Speech	{"SrSentences": ["Book meeting.", "Book meeting.", "Book a meeting.", "Booked meeting.", "Book meetings."], "SrSentencesScores": ["0.8190715", "0.7569023", "0.7657463", "0.6573188", "0.68214846"]}	android-phone		[]	1.13	20
0022a0e5-8d63-478c-bcde-194c5f55a6cc	0	user	What can you do?	. 	NOTSURE	other_domain	what can you do	6/3/2020 8:20:57 AM	TeamsVoiceSkill	Speech	{"SrSentences": ["What can you do?", "What can you do?", "What do you do?", "Or can you do.", "What do you do?"], "SrSentencesScores": ["0.85538894", "0.83334345", "0.87269413", "0.8010565", "0.8291083"]}	android-phone		[]	1.13	415
0023fbdc-3d1c-4549-bd78-9de9570b6ea3	0	user	Message a contact.	I'm sorry, but I can't help with that.	COMMUNICATION	send_text	Message a contact.	6/22/2020 11:19:41 PM	TeamsVoiceSkill	Speech	{"SrSentences": ["Message a contact.", "Message contact.", "Message contact.", "Message of contact.", "Message to contact."], "SrSentencesScores": ["0.8768045", "0.8146986", "0.81654805", "0.855987", "0.8635618"], "SrRuleTree": ["<#cortana_teams_clm> !sent_start message a contact !sent_end </#cortana_teams_clm>", "<#baseModel> !sent_start message contact !sent_end </#baseModel>", "<#cortana_teams_clm> !sent_start message contact !sent_end </#cortana_teams_clm>", "<#cortana_teams_clm> !sent_start message of contact !sent_end </#cortana_teams_clm>", "<#cortana_teams_clm> !sent_start message to contact !sent_end </#cortana_teams_clm>"]}	ios		[]	1.13	1
0024434f-6e35-4659-8cb2-ea52774efe95	0	user	Message everyone on my next meeting.	Alright, Message everyone... on which meeting?	COMMUNICATION	send_text_meeting	Message everyone on my <order_ref>next</order_ref> meeting.	6/28/2020 7:32:20 AM	TeamsVoiceSkill	Speech	{"SrSentences": ["Message everyone on my next meeting.", "Message ivory one on my next meeting.", "Message of River on my next meeting.", "Message every one on my next meeting.", "Message I've River on my next meeting."], "SrSentencesScores": ["0.6827459", "0.6977375", "0.68956363", "0.6823876", "0.65452665"], "SrRuleTree": ["<#cortana_teams_clm> !sent_start message everyone on my next meeting !sent_end </#cortana_teams_clm>", "<#cortana_teams_clm> !sent_start message <#FIRSTNAME> ivory </#FIRSTNAME> one on my next meeting !sent_end </#cortana_teams_clm>", "<#cortana_teams_clm> !sent_start message of river on my next meeting !sent_end </#cortana_teams_clm>", "<#cortana_teams_clm> !sent_start message every one on my next meeting !sent_end </#cortana_teams_clm>", "<#cortana_teams_clm> !sent_start message i've river on my next meeting !sent_end </#cortana_teams_clm>"]}	android-phone		[]	1.13	12
002c48f0-2c90-4a18-82a7-86103598234b	0	user	Open the Voice Skills channel.	. 	TEAMSACTION	teamspace_navigate	Open the <teamspace_channel>Voice Skills</teamspace_channel> channel.	6/5/2020 5:52:42 AM	TeamsVoiceSkill	Speech	{"SrSentences": ["Open the Voice Skills channel.", "Open the Voice Skills channel.", "Open the Voice Skills schannel.", "Open the Voice Skills schannel.", "Open the Voice Skills channel go."], "SrSentencesScores": ["0.810849", "0.7576475", "0.66362566", "0.6076121", "0.78203344"]}	android-phone		[]	1.13	1
