ConversationId	MessageId	MessageFrom	MessageText	CortanaResponse	JudgedDomain	JudgedIntent	JudgedConstraints	MessageTimestamp	Dataset	SampleType	ConversationContext	AppFlavor	SelectionIgnore	MetaData	GuidelineVersion	Frequency
000ea39a-41ae-41bd-a771-8c7dfa96ab8f	0	user	Cortana is no longer.	Sorry, I'm not able to help with this one.	NOTSURE	other_domain	Cortana is no longer.	6/3/2020 9:15:28 AM	TeamsVoiceSkill	Speech	{"SrSentences": ["Cortana is no longer.", "Hey Cortana is no longer.", "Cortana it is no longer.", "Hey Cortana it is no longer.", "Cortana it is no longer."], "SrSentencesScores": ["0.8134803", "0.81173927", "0.8110178", "0.8089983", "0.82549214"]}	kingston		[]	1.13	1
002da7af-b0a2-436c-ab36-cefcae5005a2	0	user	Cortana or something.	Sorry, I don't know the answer to this one.	NOTSURE	other_domain	Cortana or something.	6/29/2020 1:32:21 PM	TeamsVoiceSkill	Speech	{"SrSentences": ["Cortana or something.", "Hey Cortana or something.", "Cortana Cortana or something.", "Hey Cortana Cortana or something.", "Cortana Cortana or something."], "SrSentencesScores": ["0.8523168", "0.84724224", "0.858666", "0.8626871", "0.8325289"], "SrRuleTree": ["<#prefix> !sent_start cortana !sent_end </#prefix> <#baseModel> !sent_start or something !sent_end </#baseModel>", "<#prefix> !sent_start hey cortana !sent_end </#prefix> <#baseModel> !sent_start or something !sent_end </#baseModel>", "<#prefix> !sent_start cortana !sent_end </#prefix> <#baseModel> !sent_start cortana or something !sent_end </#baseModel>", "<#prefix> !sent_start hey cortana !sent_end </#prefix> <#baseModel> !sent_start cortana or something !sent_end </#baseModel>", "<#prefix> !sent_start cortana !sent_end </#prefix> <#cortana_teams_clm> !sent_start cortana or something !sent_end </#cortana_teams_clm>"]}	kingston		[]	1.13	1
00734061-0d39-4b7d-91a8-7892c1f8c6ff	0	user	Hey Cortana what's on my calendar tomorrow.	I found 7 events for tomorrow.	CALENDAR	find_calendar_entry	Hey Cortana what's on my calendar <start_date>tomorrow</start_date>.	6/30/2020 5:19:05 AM	TeamsVoiceSkill	Speech	{"SrSentences": ["Hey Cortana what's on my calendar tomorrow.", "Cortana what's on my calendar tomorrow.", "Hey Cortana what's on my calendar tomorrow.", "Cortana what's on my calendar tomorrow.", "Hey Cortana what's on my calendar tomorrow."], "SrSentencesScores": ["0.86628187", "0.8545294", "0.832825", "0.82027066", "0.815485"], "SrRuleTree": ["<#prefix> !sent_start hey cortana !sent_end </#prefix> <#baseModel> !sent_start what's on my calendar tomorrow !sent_end </#baseModel>", "<#prefix> !sent_start cortana !sent_end </#prefix> <#baseModel> !sent_start what's on my calendar tomorrow !sent_end </#baseModel>", "<#prefix> !sent_start hey cortana !sent_end </#prefix> <#cortana_teams_clm> !sent_start what's on my calendar tomorrow !sent_end </#cortana_teams_clm>", "<#prefix> !sent_start cortana !sent_end </#prefix> <#cortana_teams_clm> !sent_start what's on my calendar tomorrow !sent_end </#cortana_teams_clm>", "<#prefix> !sent_start hey cortana !sent_end </#prefix> <#cortana_teams_clm> !sent_start what's on /my\\+calendar/my+calendar/ tomorrow !sent_end </#cortana_teams_clm>"]}	kingston		[]	1.13	11
008824b1-6985-4240-92a2-d78f37f0cd1a	0	user	Hey Cortana go to calendar.	. 	CALENDAR	navigate_calendar	Hey Cortana go to calendar.	6/11/2020 9:49:17 PM	TeamsVoiceSkill	Speech	{"SrSentences": ["Hey Cortana go to calendar.", "Cortana go to calendar.", "Hey Cortana go to calendar.", "Cortana go to calendar.", "Hey Cortana move to calendar."], "SrSentencesScores": ["0.8530278", "0.8284623", "0.8572208", "0.8325338", "0.84859425"]}	kingston		[]	1.13	7
0089958e-3377-492c-98ac-7d8cf936a67f	0	user	Cortana Cortana.		NOTSURE	notsure_other	cortana cortana	6/30/2020 10:57:38 AM	TeamsVoiceSkill	Speech	{"SrSentences": ["Cortana Cortana.", "Hey Cortana Cortana.", "Cortana Cortana.", "Hey Cortana Cortana.", "Cortana Cortana."], "SrSentencesScores": ["0.846504", "0.84460914", "0.8132778", "0.8106391", "0.7860881"], "SrRuleTree": ["<#prefix> !sent_start cortana !sent_end </#prefix> <#baseModel> !sent_start cortana !sent_end </#baseModel>", "<#prefix> !sent_start hey cortana !sent_end </#prefix> <#baseModel> !sent_start cortana !sent_end </#baseModel>", "<#prefix> !sent_start cortana !sent_end </#prefix> <#cortana_teams_clm> !sent_start <#TEAMSUSER_CONTACTNAME> Cortana </#TEAMSUSER_CONTACTNAME> !sent_end </#cortana_teams_clm>", "<#prefix> !sent_start hey cortana !sent_end </#prefix> <#cortana_teams_clm> !sent_start <#TEAMSUSER_CONTACTNAME> Cortana </#TEAMSUSER_CONTACTNAME> !sent_end </#cortana_teams_clm>", "<#prefix> !sent_start cortana !sent_end </#prefix> <#cortana_teams_clm> !sent_start cortana !sent_end </#cortana_teams_clm>"]}	kingston		[]	1.13	10
00c19e45-ea5c-4d1d-8db8-ae348c6552a5	0	user	Hey Cortana what time is it in India now I need it.	I'm sorry, but I can't help with that.	NOTSURE	other_domain	Hey Cortana what time is it in India now I need it.	6/18/2020 1:46:33 AM	TeamsVoiceSkill	Speech	{"SrSentences": ["Hey Cortana what time is it in India now I need it.", "Hey Cortana what time is it in India no I need it.", "Hey Cortana what time is it in India know I need it.", "Hey Cortana what time is it India no I need it.", "Hey Cortana what time is it in India no I needed."], "SrSentencesScores": ["0.8783339", "0.8682376", "0.86472476", "0.78902644", "0.84846646"]}	kingston		[]	1.13	1
00d1e1ff-489a-4bd1-bdc3-6c01a38d652a	0	user	Hey Cortana how is 734-709-0260 to this call.	Calling (734) 709-0260	COMMUNICATION	make_call	Hey Cortana how is <phone_number>734-709-0260</phone_number> to this call.	6/16/2020 12:02:52 AM	TeamsVoiceSkill	Speech	{"SrSentences": ["Hey Cortana how is 734-709-0260 to this call.", "Hey Cortana how is 734-709-0260 to this school.", "Hey Cortana how is 7347090260 to the school.", "Hey Cortana had 734-709-0260 to this call.", "Hey Cortana had 734-709-0260 to this school."], "SrSentencesScores": ["0.88962525", "0.88561046", "0.89271307", "0.85302454", "0.84900975"]}	kingston		[]	1.13	1
00eabcfe-461f-4302-ae49-50164dfd9354	0	user	Thank you.	Any time.	NOTSURE	notsure_other	thank you	6/11/2020 2:48:16 PM	TeamsVoiceSkill	Speech	{"SrSentences": ["Thank you.", "Thank you.", "Thank you.", "Thank-you.", "Thank u."], "SrSentencesScores": ["0.92549133", "0.90226877", "0.82915974", "0.39360222", "0.7232727"]}	kingston		[]	1.13	2
01275eff-3b41-43ce-9853-c288c65ca9f8	0	user	Hey Cortana text Shravan it's a testing messages and calls please ignore.	Send it, or change it?	COMMUNICATION	send_text	Hey Cortana text <contact_name>Shravan</contact_name> <message>it's a testing messages and calls please ignore</message>.	6/22/2020 11:26:34 PM	TeamsVoiceSkill	Speech	{"SrSentences": ["Hey Cortana text Shravan it's a testing messages and calls please ignore.", "Hey Cortana text Shravan it's attesting messages and calls please ignore.", "Hey Cortana text Shravan it said testing messages and calls please ignore.", "Hey Cortana text Shravan its attesting messages and calls please ignore.", "Hey Cortana text Shravan its a testing messages and calls please ignore."], "SrSentencesScores": ["0.7848942", "0.7639229", "0.79057586", "0.76304215", "0.7790034"], "SrRuleTree": ["<#prefix> !sent_start hey cortana !sent_end </#prefix> <#cortana_teams_clm> !sent_start text <#TEAMSUSER_CONTACTNAME> Shravan </#TEAMSUSER_CONTACTNAME> it's a testing messages and calls please ignore !sent_end </#cortana_teams_clm>", "<#prefix> !sent_start hey cortana !sent_end </#prefix> <#cortana_teams_clm> !sent_start text <#TEAMSUSER_CONTACTNAME> Shravan </#TEAMSUSER_CONTACTNAME> it's attesting messages and calls please ignore !sent_end </#cortana_teams_clm>", "<#prefix> !sent_start hey cortana !sent_end </#prefix> <#cortana_teams_clm> !sent_start text <#TEAMSUSER_CONTACTNAME> Shravan </#TEAMSUSER_CONTACTNAME> it said testing messages and calls please ignore !sent_end </#cortana_teams_clm>", "<#prefix> !sent_start hey cortana !sent_end </#prefix> <#cortana_teams_clm> !sent_start text <#TEAMSUSER_CONTACTNAME> Shravan </#TEAMSUSER_CONTACTNAME> its attesting messages and calls please ignore !sent_end </#cortana_teams_clm>", "<#prefix> !sent_start hey cortana !sent_end </#prefix> <#cortana_teams_clm> !sent_start text <#TEAMSUSER_CONTACTNAME> Shravan </#TEAMSUSER_CONTACTNAME> its a testing messages and calls please ignore !sent_end </#cortana_teams_clm>"]}	kingston		[]	1.13	9
0145e283-461c-4219-8132-14189c8de9af	0	user	Hey Cortana give me a give me a tongue twister.	I'm sorry, but I can't help with that.	NOTSURE	other_domain	Hey Cortana give me a give me a tongue twister.	6/26/2020 9:28:27 PM	TeamsVoiceSkill	Speech	{"SrSentences": ["Hey Cortana give me a give me a tongue twister.", "Cortana give me a give me a tongue twister.", "Hey Cortana give me a tongue twister.", "Hey Cortana give me give me a tongue twister.", "Hey Cortana give me a tongue twister."], "SrSentencesScores": ["0.84189206", "0.83453155", "0.8538604", "0.8477382", "0.8262824"], "SrRuleTree": ["<#prefix> !sent_start hey cortana !sent_end </#prefix> <#baseModel> !sent_start give me a give me a tongue twister !sent_end </#baseModel>", "<#prefix> !sent_start cortana !sent_end </#prefix> <#baseModel> !sent_start give me a give me a tongue twister !sent_end </#baseModel>", "<#prefix> !sent_start hey cortana !sent_end </#prefix> <#baseModel> !sent_start give me a tongue twister !sent_end </#baseModel>", "<#prefix> !sent_start hey cortana !sent_end </#prefix> <#baseModel> !sent_start give me give me a tongue twister !sent_end </#baseModel>", "<#prefix> !sent_start hey cortana !sent_end </#prefix> <#cortana_teams_clm> !sent_start give me a tongue twister !sent_end </#cortana_teams_clm>"]}	kingston		[]	1.13	1
