ConversationId	MessageId	MessageTimestamp	MessageFrom	MessageText	CortanaResponse	JudgedDomain	JudgedIntent	JudgedConstraints	MetaData	ConversationContext	Dataset	SampleType	Frequency	GuidelineVersion
ad2a8c1a-8425-488d-9415-be4b368cf3ff	0	2/7/2020 23:05	user	find attached files		FILES	file_search	find <attachment>attached</attachment> files	[]		Teams	Speech	1	21.1
40f044cc-ab82-44cb-a610-b52fbec9aa9a	0	2/18/2020 10:23	user	find sent files		FILES	file_search	find <file_action>sent</file_action> files	[]		Teams	Speech	1	21.1
f7fe42fe-e399-4edb-8d41-67b48d66ea32	0	2/13/2020 7:22	user	find emailed files		FILES	file_search	find <file_action>emailed</file_action> files	[]		Teams	Speech	1	21.1
c5e308b5-6a5b-4e48-9b21-ee161e14b26c	0	2/28/2020 3:18	user	find forwarded files		FILES	file_search	find <file_action>forwarded</file_action> files	[]		Teams	Speech	1	21.1
81126627-3af0-4e25-b1b9-0e91578ebae3	0	2/2/2020 10:07	user	emailed files		FILES	file_search	<file_action>emailed</file_action> files	[]		Teams	Speech	1	21.1
06cc05b9-b154-4495-a060-eb453d7dbc70	0	2/20/2020 7:46	user	sent files		FILES	file_search	<file_action>sent</file_action> files	[]		Teams	Speech	1	21.1
0a84e4ed-cfbd-4424-8e64-6549d121fde2	0	2/21/2020 8:40	user	mailed files		FILES	file_search	<file_action>mailed</file_action> files	[]		Teams	Speech	1	21.1
83ec97f3-945a-40e3-9c8e-b6ca0d0b298e	0	2/27/2020 4:18	user	attached files		FILES	file_search	<attachment>attached</attachment> files	[]		Teams	Speech	1	21.1
44d72001-a995-4f33-8786-8a6f4327e302	0	2/20/2020 16:06	user	forwarded files		FILES	file_search	<file_action>forwarded</file_action> files	[]		Teams	Speech	1	21.1
019144be-2d88-4fd7-a8ca-d8d06019fa24	0	2/29/2020 7:18	user	what are the shared files		FILES	file_search	what are the <file_action>shared</file_action> files	[]		Teams	Speech	1	21.1
