0	alexa do i have any new yahoo mail	email_other	email	alexa do i have any new yahoo <message_type>mail</message_type> 						
1	alexa show me ebay emails	email_other	email	alexa show me ebay <message_type> emails </message_type>						
2	archive conversation	email_other	email	 archive <message_type> conversation </message_type>						
3	archive email	email_other	email	 archive <message_type> email </message_type>						
4	archive thread	email_other	email	 archive <message_type> thread </message_type>						
5	flag it	email_other	email	 flag it						
6	flag conversation	email_other	email	 flag <message_type> conversation </message_type>						
7	unflag	email_other	email	 unflag 						
8	flag email	email_other	email	 flag <message_type> email </message_type>						
9	check my gmail	email_other	email	 check my gmail 						
10	check my gmail for this week	email_other	email	 check my gmail for this week 						
11	check my google mail	email_other	email	 check my google <message_type>mail</message_type> 						
12	flag for today	email_other	email	 flag for today 						
13	flag thread	email_other	email	 flag <message_type> thread </message_type>						
14	my email	email_other	email	my <message_type> email </message_type>						
15	next conversation	email_other	email	 next <message_type> conversation </message_type>						
16	next email	email_other	email	 next <message_type> email </message_type>						
17	next thread	email_other	email	 next <message_type> thread </message_type>						
18	previous conversation	email_other	email	 previous <message_type> conversation </message_type>						
19	previous email	email_other	email	 previous <message_type> email </message_type>						
20	previous thread	email_other	email	 previous <message_type> thread </message_type>						
21	send an email to samantha about test account with a message it is ready	send_email	email	 send an <message_type> email </message_type> to <contact_name> samantha </contact_name> about <email_subject> test account </email_subject> with a message <message> it is ready </message>						
22	send draft	send_email	email	 send draft 						
23	skip conversation	email_other	email	 skip <message_type> conversation </message_type>						
24	skip email	email_other	email	 skip <message_type> email </message_type>						
25	skip thread	email_other	email	 skip <message_type> thread </message_type>						
26	tell me a new emails	email_other	email	 tell me a new <message_type> emails </message_type>						
27	tell me my emails	email_other	email	 tell me my <message_type> emails </message_type>						
28	tell me my first email	email_other	email	 tell me my first <message_type> email </message_type>						
29	what ’s in my inbox work	email_other	email	what ’s in my inbox work 						
30	what email did i have yesterday ?	search_email	email	what <message_type> email </message_type> did i have <start_date> yesterday </start_date> ?						
30	what email did i have yesterday ?	email_other	email	what <message_type> email </message_type> did i have yesterday ?						
31	delete all emails from prosberg	email_other	email	 delete all <message_type> emails </message_type> from prosberg 						
32	delete all emails from this sender	email_other	email	 delete all <message_type> emails </message_type> from this sender 						
33	delete all in inbox	email_other	email	 delete all in inbox 						
34	delete all in spam	email_other	email	 delete all in spam 						
35	delete all in trash	email_other	email	 delete all in trash 						
36	delete all mail that isn't marked urgent	email_other	email	 delete all <message_type> mail </message_type> that isn't marked urgent 						
37	delete all mail that isn't marked urgent or from work	email_other	email	 delete all <message_type> mail </message_type> that isn't marked urgent or from work 						
38	delete any emails that are not from work	email_other	email	 delete any <message_type> emails </message_type> that are not from work 						
39	delete draft folder	email_other	email	 delete draft folder						
40	delete email from darian	email_other	email	 delete <message_type> email </message_type> from daryan 						
41	delete old emails	email_other	email	 delete old <message_type> emails </message_type>						
42	delete previous email	email_other	email	 delete  previous <message_type> email </message_type>						
43	delete spam	email_other	email	 delete spam 						
44	delete the attachments	email_other	email	 delete the attachments 						
45	delete the first email	email_other	email	 delete the first <message_type>email</message_type> 						
46	delete the last five emails	email_other	email	 delete the last five <message_type> emails </message_type>						
47	delete this conversation	email_other	email	 delete this <message_type> conversation </message_type>						
48	emails like this have to be deleted	email_other	email	<message_type> emails </message_type> like this have to be deleted 						
49	flag as important	email_other	email	 flag as important 						
50	flag email just read	email_other	email	 flag <message_type> email </message_type> just read						
51	flag for follow up	email_other	email	 flag for follow up						
52	flag the email for importance	email_other	email	 flag the <message_type> email </message_type> for importance 						
53	flag the email from my boss	email_other	email	 flag the <message_type> email </message_type> from my boss 						
54	flag the last email from mom	email_other	email	 flag the last <message_type> email </message_type> from mom 						
55	forward now	email_other	email	 forward 						
56	forward this email	email_other	email	 forward this <message_type> email </message_type>						
57	forward to all	email_other	email	 forward to all 						
58	go ahead and tag this email as unread	email_other	email	Go ahead and tag this <message_type> email </message_type> as unread 						
59	hold on flag that email	email_other	email	hold on flag that <message_type> email </message_type>						
60	mark all as read	email_other	email	 mark all as read 						
61	mark everything as read	email_other	email	 mark everything as read 						
62	move conversation to inbox folder	email_other	email	 move <message_type> conversation </message_type> to inbox folder						
63	move conversation to to do folder	email_other	email	 move <message_type> conversation </message_type> to to do folder						
64	move email back to inbox	email_other	email	 move <message_type> email </message_type> back to inbox 						
65	open drafts	email_other	email	 open drafts 						
66	please jump to the next conversation	email_other	email	please jump to the next <message_type> conversation </message_type>						
67	reply to my last work email	email_other	email	 reply to my last work <message_type> email </message_type>						
68	please respond to the last email	email_other	email	please respond to the last <message_type> email </message_type>						
69	please send a reply to the last work email	email_other	email	please send a reply to the last work <message_type> email </message_type>						
70	please skip this conversation	email_other	email	please skip this <message_type> conversation </message_type>						
71	please tag it as read	email_other	email	please tag it as read 						
72	read next	email_other	email	 read next						
73	read the first one again	email_other	email	 read the first one again						
74	remove from drafts	email_other	email	 remove from drafts 						
75	remove star from this message	email_other	email	 remove star from this <message_type> message </message_type>						
76	repeat that email	email_other	email	 repeat that <message_type> email </message_type>						
77	reply all	email_other	email	 reply all 						
78	reply to all	email_other	email	 reply to all 						
79	return to previous message	email_other	email	 return to previous <message_type> message </message_type>						
80	save this conversation	email_other	email	 save this <message_type> conversation </message_type>						
81	save this draft	email_other	email	 save this <message_type> draft </message_type>						
82	save this email	email_other	email	 save this <message_type> email </message_type>						
83	star this email	email_other	email	 star this <message_type> email </message_type>						
84	tag it as high importance	email_other	email	 tag it as high importance 						
85	archive the new email from best buy	email_other	email	 archive the new <message_type> email </message_type> from best buy 						
86	add sender to my contacts	email_other	email	 add <relationship_name> sender </relationship_name> to my contacts 						
87	alexa can you untag an email	email_other	email	alexa can you untag an <message_type> email </message_type>						
88	alexa please reply to the sender	email_other	email	alexa please reply to the <relationship_name> sender </relationship_name>						
89	answer that message with no thank you	email_other	email	 answer that <message_type> message </message_type> with <message> no thank you </message>						
90	archive all read emails	email_other	email	 archive all read <message_type> emails </message_type>						
91	archive first message	email_other	email	 archive first <message_type> message </message_type>						
92	archive this convo	email_other	email	 archive this <message_type> convo </message_type>						
93	begin replying to this email	email_other	email	begin replying to this <message_type> email </message_type>						
94	can you place this entire conversation in the bin.	email_other	email	can you place this entire <message_type> conversation </message_type> in the bin 						
95	can you start over from the first message of the conversation	email_other	email	can you start over from the first <message_type> message </message_type> of the <message_type> conversation </message_type>						
96	categorize these emails as advertisement	email_other	email	 categorize these <message_type> emails </message_type> as advertisement 						
97	clear drafts	email_other	email	 clear drafts 						
98	delete this sender	email_other	email	 delete this <relationship_name> sender </relationship_name>						
99	Dispose of emails from this sender	email_other	email	 dispose of <message_type> emails </message_type> from this sender 						
100	empty inbox	email_other	email	 empty inbox 						
101	flag as spam	email_other	email	 flag as spam 						
102	flag and save for now	email_other	email	 flag and save for now						
103	flag for next week	email_other	email	 flag for next week 						
104	forward this email to all team members	email_other	email	 forward this <message_type> email </message_type> to all team members 						
105	forward this email to my outlook	email_other	email	 forward this <message_type> email </message_type> to my outlook 						
106	forward this email to my personal account	email_other	email	 forward this <message_type> email </message_type> to my personal account 						
107	forward this email to my work account	email_other	email	 forward this <message_type> email </message_type> to my work account 						
108	go on to the next	email_other	email	 go on to the next 						
109	go to the next email	email_other	email	 go to the next <message_type> email </message_type>						
110	i need to pin this email	email_other	email	i need to pin this <message_type> email </message_type>						
111	just erase them all	email_other	email	just erase them all 						
112	label all conversations read	email_other	email	 label all <message_type> conversations </message_type> read 						
113	never read a mail from this sender again	email_other	email	never read a <message_type> mail </message_type> from this sender again						
114	pass this conversation	email_other	email	pass this <message_type> conversation </message_type>						
115	please remove the read mark on this email	email_other	email	please remove the read mark on this <message_type> email </message_type>						
116	reply with the documents attached	email_other	email	 reply with the documents attached						
117	reread this conversation	email_other	email	 reread this <message_type> conversation </message_type>						
118	save this email to favorites	email_other	email	 save this <message_type> email </message_type> to favorites 						
119	skip all the emails from mom	email_other	email	 skip all the <message_type> emails </message_type> from mom 						
120	skip this writer for now	email_other	email	 skip this <relationship_name> writer </relationship_name> for now						
121	snooze this conversation	email_other	email	 snooze this <message_type> conversation </message_type>						
122	take me to next conversation	email_other	email	 take me to next <message_type> conversation </message_type>						
123	this conversation can be skipped	email_other	email	this <message_type> conversation </message_type> can be skipped 						
