0	send an email to tom about test infra saying discuss later	send_email	email	send an <message_type>email</message_type> to <contact_name>tom</contact_name> about <email_subject>test infra</email_subject> saying <message>discuss later</message>		0	1			PreviousTurnDomain();PreviousTurnIntent();ClientContext_ReferenceTime(1999-02-07T09:27:10-03:00);
1	send an email to ankur about test with message just saying hello	send_email	email	send an <message_type>email</message_type> to <contact_name>ankur</contact_name> about <email_subject>test</email_subject> with message <message>discuss later</message>		0	1			PreviousTurnDomain();PreviousTurnIntent();ClientContext_ReferenceTime(1999-02-07T09:27:10-03:00);
2	send mail to chris about coffee chat saying downstairs	send_email	email	send <message_type>mail</message_type> to <contact_name>chris</contact_name> about <email_subject>coffee chat</email_subject> saying <message>downstairs</message>		0	1			PreviousTurnDomain();PreviousTurnIntent();ClientContext_ReferenceTime(1999-02-07T09:27:10-03:00);
3	send a mail to pigeon about cool nickname with message hey	send_email	email	send a <message_type>mail</message_type> to <contact_name>pigeon</contact_name> about <email_subject>cool nickname</email_subject> with message <message>hey</message>		0	1			PreviousTurnDomain();PreviousTurnIntent();ClientContext_ReferenceTime(1999-02-07T09:27:10-03:00);
4	Send an email to Samantha about test account with message it is ready	send_email	email	Send an <message_type>email</message_type> to <contact_name>Samantha</contact_name> about <email_subject>test account</email_subject> with message <message>it is ready</message>		0	1			PreviousTurnDomain();PreviousTurnIntent();ClientContext_ReferenceTime(1999-02-07T09:27:10-03:00);
5	send a reply	email_other	email	send a reply		0	1			PreviousTurnDomain();PreviousTurnIntent();ClientContext_ReferenceTime(1999-02-07T09:27:10-03:00);
6	send a reply to tom saying discuss later	email_other	email	send a reply to <contact_name>tom</contact_name> saying <message>discuss later</message>		0	1			PreviousTurnDomain();PreviousTurnIntent();ClientContext_ReferenceTime(1999-02-07T09:27:10-03:00);
7	send a reply to ankur with message just saying hello	email_other	email	send a reply to <contact_name>ankur</contact_name> with message <message>discuss later</message>		0	1			PreviousTurnDomain();PreviousTurnIntent();ClientContext_ReferenceTime(1999-02-07T09:27:10-03:00);
8	send reply to chris saying downstairs	email_other	email	send reply to <contact_name>chris</contact_name> saying <message>downstairs</message>		0	1			PreviousTurnDomain();PreviousTurnIntent();ClientContext_ReferenceTime(1999-02-07T09:27:10-03:00);
9	send a reply to pigeon with message hey	email_other	email	send a reply to <contact_name>pigeon</contact_name> with message <message>hey</message>		0	1			PreviousTurnDomain();PreviousTurnIntent();ClientContext_ReferenceTime(1999-02-07T09:27:10-03:00);
10	Send a reply to Samantha with message it is ready	email_other	email	Send a reply to <contact_name>Samantha</contact_name> with message <message>it is ready</message>		0	1			PreviousTurnDomain();PreviousTurnIntent();ClientContext_ReferenceTime(1999-02-07T09:27:10-03:00);
11	Send myself a note	send_email	email	Send <relationship_name>myself</relationship_name> a <message_type>note</message_type>		0	1			PreviousTurnDomain();PreviousTurnIntent();ClientContext_ReferenceTime(1999-02-07T09:27:10-03:00);
12	Send me a note	send_email	email	Send <relationship_name>me</relationship_name> a <message_type>note</message_type>		0	1			PreviousTurnDomain();PreviousTurnIntent();ClientContext_ReferenceTime(1999-02-07T09:27:10-03:00);
13	Send myself a note saying that it will be done	send_email	email	Send <relationship_name>myself</relationship_name> a <message_type>note</message_type> saying that <message>it will be done</message>		0	1			PreviousTurnDomain();PreviousTurnIntent();ClientContext_ReferenceTime(1999-02-07T09:27:10-03:00);
14	Send me a note saying all is good	send_email	email	Send <relationship_name>me</relationship_name> a <message_type>note</message_type> saying <message>all is good</message>		0	1			PreviousTurnDomain();PreviousTurnIntent();ClientContext_ReferenceTime(1999-02-07T09:27:10-03:00);
