TurnNumber	PreviousTurnIntent	query	intent
0		show me good stuff meeting file	file_open
0		show me get donuts file	file_open
0		show me meeting ali file	file_open
0		show me pain care file	file_open
0		show me dr brown file	file_open
0		show me louis install doors at nickerson file	file_open
0		show me intern interview 4 file	file_open
0		show me eyeglasses file	file_open
0		show me lock replacement file	file_open
0		show me be chirpy file	file_open
0		show me washing file	file_open
0		show me lunch with my parents file	file_open
0		show me computer science exam file	file_open
0		show me minutes from the meeting file	file_open
0		show me date nite file	file_open
0		show me party guest file	file_open
0		show me scan results file	file_open
0		show me expenditure.xls file	file_open
0		show me singh file	file_open
0		show me field file	file_open
0		show the good stuff meeting file	file_open
0		show the get donuts file	file_open
0		show the meeting ali file	file_open
0		show the pain care file	file_open
0		show the dr brown file	file_open
0		show the louis install doors at nickerson file	file_open
0		show the intern interview 4 file	file_open
0		show the eyeglasses file	file_open
0		show the lock replacement file	file_open
0		show the be chirpy file	file_open
0		show the washing file	file_open
0		show the lunch with my parents file	file_open
0		show the computer science exam file	file_open
0		show the minutes from the meeting file	file_open
0		show the date nite file	file_open
0		show the party guest file	file_open
0		show the scan results file	file_open
0		show the expenditure.xls file	file_open
0		show the singh file	file_open
0		show the field file	file_open
0		show good stuff meeting file	file_open
0		show get donuts file	file_open
0		show meeting ali file	file_open
0		show pain care file	file_open
0		show dr brown file	file_open
0		show louis install doors at nickerson file	file_open
0		show intern interview 4 file	file_open
0		show eyeglasses file	file_open
0		show lock replacement file	file_open
0		Open the size ship file.	file_open
0		Present the deck.	start_presenting
0		Open teams file search spec.	file_open
0		Send the document.	file_share
0		Open ship room PowerPoint.	file_open
0		End presentation.	stop_presenting
0		Share the file.	file_share
0		What can you do?	teamspace_help
0		Open my excel.	file_open
0		Go to FedEx automation.	teamspace_navigate
0		Show me my recent PowerPoint files.	file_navigate
0		Go to saved items.	teamsuser_showactivity
0		Open teams substrate PowerPoint.	file_open
0		open file specs	file_open
0		Open search story deck.	file_open
0		Show PowerPoint files.	file_navigate
0		Present the deck.	start_presenting
0		Present the deck.	start_presenting
0		Next slide.	next_slide
0		Favorite voice kill channel.	teamspace_favorite
0		Show me at mentions.	teamsuser_showactivity
0		Go to the team intelligent communications.	teamspace_navigate
0		Go to next slide.	next_slide
0		Show me my files.	file_navigate
0		Share the LT review deck with ramps.	file_share
0		Can you send me the document?	file_share
0		Open sales team road map file.	file_open
0		Present the offsite deck.	start_presenting
0		Go to FedEx organization.	teamsuser_checkorg
0		Navigate the file.	file_navigate
0		Set my status.	teamsuser_setstatus
0		Send a document.	file_share
0		Open chess Brown bag PowerPoint.	file_open
0		Open signs ship room.	file_open
0		Open proactive slimer document.	file_open
0		Go to Leo Liu open edition.	teamspace_navigate
0		Show me at mentions.	teamsuser_showactivity
0		Find my recent fires.	file_navigate
0		Open PRFAQ search document.	file_open
0		Open the bikey spreadsheet.	file_open
0		Open file specs.	file_open
0		Go to language factory channel.	teamspace_navigate
0		Show me at mentions.	teamsuser_showactivity
0		Go to OneNote files.	file_navigate
0		open file specs	file_open
0		Show me my activity.	teamsuser_showactivity
0		Open file.	file_open
0		Open file skills test.	file_open
0		Open Cortana experiences and devices file.	file_open
0		Present the deck.	start_presenting
0		Search for communication.	teamspace_search
0		Show me PowerPoint files that I recently morning.	file_navigate
0		Navigate to voice skills channel.	teamspace_navigate
0		Present the deck.	start_presenting
0		Go to Leon a nation.	teamspace_navigate
0		Open file.	file_open
0		Present the deck.	start_presenting
0		Go to Leo organization.	teamsuser_checkorg
0		Go to team intelligent communication.	teamspace_navigate
0		Open file specs.	file_open
0		Set my status.	teamsuser_setstatus
0		Open file.	file_open
0		Download file instance answers.	file_download
0		Show me my at mentions.	teamsuser_showactivity
0		Search for scale.	teamspace_search
0		Xent the PowerPoint that I was working on.	file_share
0		Search MS AI conversation platform.	teamspace_search
0		Go to Roger activity.	teamsuser_showactivity
0		Open our work in Sunnyvale PowerPoint.	file_open
0		Show me at mentions.	teamsuser_showactivity
0		Open file search document.	file_open
0		Follow my recent channel.	teamspace_follow
0		Go to the team in 10 ginger communications.	teamspace_navigate
0		Go to team Cortana developer experience communication.	teamspace_navigate
0		Go to FedEx organization.	teamsuser_checkorg
0		Open file specs.	file_open
0		Search for files.	file_navigate
0		Go to slide 20.	goto_slide
0		Open science ship room ppt.	file_open
0		Go to Leo organizacion.	teamsuser_checkorg
0		Show me at mentions.	teamsuser_showactivity
0		Open ship room duck.	file_open
0		Go to J activity.	teamsuser_showactivity
0		Present the deck.	start_presenting
0		Go to saved items.	teamsuser_showactivity
0		Present the deck.	start_presenting
0		Open teams file search spec document.	file_open
0		Open team file search spec.	file_open
0		Present the deck.	start_presenting
0		Go to China while scale.	teamspace_navigate
0		Open this file.	file_open
0		Open the file that shared with me.	file_open
0		Show my OneNote.	file_open
0		Last presentation I was working on.	start_presenting
0		Go to Jason organizacion.	teamsuser_checkorg
0		Open file.	file_open
0		Open offline metrics review deck.	file_open
0		Find my recent documents.	file_navigate
0		Present the deck.	start_presenting
0		Go to language factory.	teamspace_navigate
0		Open LT review deck.	file_open
0		Bring up the war doc I worked on last night.	file_navigate
0		Open shared launch back ppt.	file_open
0		Open file modern rolls.	file_open
0		Open file modern rolls.	file_open
0		Download file skills list.	file_download
0		Open files I was working on yesterday.	file_open
0		Open the file.	file_open
0		Present the deck.	start_presenting
0		Follow this channel.	teamspace_follow
0		open file specs	file_open
0		End presentation.	stop_presenting
0		Go to Roger activity.	teamsuser_showactivity
0		Go to downloads.	file_navigate
0		Go to MS AI conversation platform.	teamspace_navigate
0		Show me at mentions.	teamsuser_showactivity
0		Go to first slide.	goto_slide
0		Show me at mentions.	teamsuser_showactivity
0		Go to Leo organization.	teamsuser_checkorg
0		Show my compliant Cortana meeting minutes OneNote.	file_navigate
0		Go to the team intelligent communications.	teamspace_navigate
0		Share the LT review deck with Graham.	file_share
0		Open file search document.	file_open
0		Open Max file.	file_open
0		Go to saved items.	teamsuser_showactivity
0		Ascended document.	file_navigate
0		Go to saved items.	teamsuser_showactivity
0		Latest science shiproom PPT.	file_navigate
0		My status.	teamsuser_setstatus
0		Search for hackers on teen.	teamspace_search
0		Open this file.	file_open
0		Go to channel voice skills.	teamspace_navigate
0		Change my status to be right back.	teamsuser_setstatus
0		Follow this channel.	teamspace_follow
0		Present the ABC presentation.	start_presenting
0		Present the deck.	start_presenting
0		Go to Leo organization.	teamsuser_checkorg
0		Go to at mentions.	teamsuser_showactivity
0		Show the files that I have recently worked on.	file_navigate
0		Open Cortana deck file.	file_open
0		Go to slide zero.	goto_slide
0		Previous slide.	previous_slide
0		Present the deck.	start_presenting
0		Share Cortana deck tablet.	file_share
0		Create a team.	teamspace_createteam
0		Open file specs.	file_open
0		Change my status to be right back.	teamsuser_setstatus
0		End presentation.	stop_presenting
0		Show me the files.	file_navigate
0		Present the deck.	start_presenting
0		Open the PowerPoint I was working.	file_open
0		Go to channel.	teamspace_navigate
0		Share Cortana deck template.	file_share
0		open file specs	file_open
0		Go to team.	teamspace_navigate
0		Go to speech.	teamspace_navigate
0		Show me my excel.	file_navigate
0		Change my status to be right back.	teamsuser_setstatus
0		Show me my mentions.	teamsuser_showactivity
