TurnNumber	PreviousTurnIntent	query	intent	PreviousTurnDomain	TaskFrameStatus	TaskFrameEntityStates	TaskFrameGUID	SpeechPeopleDisambiguationGrammarMatches	ConversationalContext
0		I would like to see in my recent files please.	file_navigate						
0		share workplace files with Jacob	file_share						
0		Launch lt review document I worked on	file_open						
0		Share that I created paper the last used with the meeting attendees	file_share						
0		Open file.	file_open						
0		reopening the last document most recent.	file_open						
0		Open signs ship room.	file_open						
0		Open that I created powerpoint deck	file_open						
0		Body painting art.	file_other						
0		Download fire instance answers.	file_download						
0		Share the document recent using the chat	file_share						
0		please go to my I was working on files.	file_navigate						
0		Open the last document in I was working on recently	file_open						
0		Share the file I worked on with Arnita.	file_share						
0		go back to previous document	file_navigate						
0		Share deployment timeline document I was editing to the conversation	file_share						
0		Hey can you resume the document I previously worked at?	file_open						
0		I had up before a document , please open your document.	file_open						
0		Share the document I used most recently to the meeting	file_share						
0		Open word docx.	file_open						
0		can you see my I have recently opened files.	file_navigate						
0		Open monkey monkey monkey file.	file_open						
0		Open insurance document I was editing	file_open						
0		share workplace files with Jacob	file_share						
0		Share LT review discussion downloaded files I was composing of the meeting attendees	file_share						
0		sure	confirm						
0		list my I updated open documents	file_navigate						
0		open file specs	file_open						
0		I will send you the document	file_share						
0		keep brownbag file	file_download						
0		Browse my files of today	file_navigate						
0		Share the file on this chat	file_share						
0		How do I take	file_other						
0		upload workplace file	file_download						
0		share file with my meeting participants at 10 pm on Wednesday	file_share						
0		I would like to see my I was working on recently files please.	file_navigate						
0		Can you open the last paper I have recently opened	file_open						
0		Mileage from stevensville Texas to	file_other						
0		go to recent files	file_navigate						
0		Please open my LT review discussion docx	file_open						
0		Can you please open document that was closed?	file_open						
0		share a file with my next meeting participants	file_share						
0		open the document I is working on today on page one.	file_open						
0		Hey can you resume the document I previously worked at?	file_open						
0		open document I was just working on last weeks.	file_open						
0		Take me to msn.com	file_other						
0		Go with spreadsheet	file_navigate						
0		Share the file on this meeting	file_share						
0		Navigate of deck	file_navigate						
0		Open that I created excel	file_open						
0		Share that I created pictures with the 11AM chat	file_share						
0		Go in PPT	file_navigate						
0		Share the word the last used of the chat	file_share						
0		go to recent files	file_navigate						
0		Launch that document I compose	file_open						
0		Show optometrist appointment for jordan with gül?ah	file_share						
0		Hey Cortana I need to continue the document I just edited.	file_open						
0		100%.	file_other						
0		share file with my chat at tomorrow	file_share						
0		share preview test plan document file using jay	file_share						
0		Share LT review discussion document newest in the conversation	file_share						
0		Please open my the document	file_open						
0		save planning document	file_download						
0		Open 'voice skills' PowerPoint 	file_open						
0		Can to open the last docx most recent	file_open						
0		download the file	file_download						
0		Jason Gould how deep is the ocean.	file_other						
0		I would like to see my I had up before files please.	file_navigate						
0		Show this file with moumini	file_share						
0		Open payroll docx I was using	file_open						
0		I want to see the most recent files I have made	file_navigate						
0		saving workplace excel	file_download						
0		ohh ok and save that as a separate document	file_download						
0		Share preview test plan document document I was using using the meeting	file_share						
0		Can you please open the document recently?	file_open						
0		hey cortana, share the tax memos of this conversation	file_share						
0		open the worksheet I was just working on	file_open						
0		upload voice skills file	file_download						
0		Open our work in Sunnyvale docx.	file_open						
0		Hey can you reopen the docx I previously worked on?	file_open						
0		Open the file I was working on.	file_open						
0		please open the document I was composing.	file_open						
0		Open files.	file_open						
0		Share the document I was writing using the conversation	file_share						
0		Share planning deck	file_share						
0		download that downloaded files	file_download						
0		Share this file on this meeting attendees	file_share						
0		Open this file	file_open						
0		Go for files	file_navigate						
0		share the workplace deck in this meeting attendees	file_share						
0		list my I last edited open documents	file_navigate						
0		Open the paper the last used	file_open						
0		Hey can you please direct me to my last files recently?	file_navigate						
0		opening the last document I have recently opened.	file_open						
1		cancel it	cancel						
0		I would like to see in my I've recently used files please.	file_navigate						
0		Open XLT review PowerPoint.	file_open						
0		Open the docx I uploaded	file_open						
0		Open the file size ship room.	file_open						
0		Recliner covers	file_other						
0		Go to a file	file_navigate						
0		hotmail sign in	file_other						
1		nothing cancel i made a mistake	cancel						
0		Share file that I created in voice skills stand up meeting	file_share						
0		Share the downloads newest using the meeting participants	file_share						
0		Hey can you resume the document I previously worked at?	file_open						
0		I would love to see my I worked on files please.	file_navigate						
0		Go in spreadsheet	file_navigate						
0		cortana share the powerpoint deck I was working on with the conversation	file_share						
0		The PowerPoint I was working on last	file_navigate						
0		recent a document , please open your document.	file_open						
0		send a file to mary	file_share						
0		Cortana open payroll docx.	file_open						
0		Open Cortana core science document.	file_open						
0		Open my last active I just edited project last active I just edited	file_open						
0		Can you open the my I last edited file for me	file_open						
0		Stop.	file_other						
0		Launch that document I was compose	file_open						
0		share that I created files with my next design sync meeting attendees	file_share						
0		Cortana opening the memos document newest	file_open						
0		share voice skills file	file_share						
0		I need a document to be opened that the last used.	file_open						
0		Go to my spreadsheet	file_navigate						
0		I will send you the document	file_share						
0		re-open the last docx I was creating.	file_open						
0		what do i have going on august 11th?	file_navigate						
0		re-open the last docx I was creating.	file_open						
0		showing me my I was creating powerpoint deck	file_navigate						
0		Open up last active I was working on recently document last active I was working on recently	file_open						
0		open moth spreadsheet by jochen	file_open						
0		Hey could you please direct me in my last files last active?	file_navigate						
0		open the paper recent this week.	file_open						
0		Open a docx I was composing	file_open						
0		opening the document newest last weeks.	file_open						
0		Open file.	file_open						
0		Browse my files from this week	file_navigate						
0		Send the document.	file_share						
0		Cortana open my invoice doucments again	file_open						
0		Round table pizza.	file_other						
0		Open ship room powerpoint	file_open						
0		I want a document to be opened which I had up before.	file_open						
0		Open the downloads I was creating	file_open						
0		Please opened my workplace document	file_open						
0		share LT review discussion files with my 10 pm on Wednesday this chat	file_share						
0		Can you opened my I worked on file for me	file_open						
0		Cheap like your getting bigger.	file_other						
0		This evening city Oregon.	file_other						
0		Open the docx that I was using	file_open						
0		Navigate of image	file_navigate						
0		share the files Jacob	file_share						
0		show with my meeting attendees at 11AM	file_share						
0		Show this file with gu-ja	file_share						
0		Open the Cortana architecture file.	file_open						
0		share the files with jay	file_share						
0		open with conversation tomorrow	file_share						
0		Share insurance Excel newest of the meeting	file_share						
0		when does winter end?	file_other						
0		newest a docx , please open your docx.	file_open						
0		Open paper I uploaded	file_open						
0		open with meeting 11AM	file_share						
0		Launch that document I was compose	file_open						
0		Reopen last document is opened	file_open						
0		Share deployment timeline document I uploaded to the conversation	file_share						
0		Go for PowerPoint	file_navigate						
0		Cortana open I last edited documents.	file_open						
0		Can you please open a docx I was just working on?	file_open						
0		list my I uploaded open documents	file_navigate						
0		Reopen last document is opened	file_open						
0		I need you to reopen the docx I had been working on	file_open						
0		ADD WEATHER CHANNELS	file_other						
0		Share the document I have recently opened with the conversation	file_share						
0		share that I created file with my next design sync meeting attendees	file_share						
0		Launch that document I to compose	file_open						
0		My leg and why would I shows like people things that just mine and I was like that's true I'm just not trying to be exposed	file_other						
0		open the language factory presentation	file_open						
0		Open the document I used most recently	file_open						
0		Open for paper I just edited	file_open						
0		Open the paper which I have recently opened	file_open						
0		Open the PowerPoint I was working on yesterday.	file_open						
0		Open 'voice skills' spreadsheet	file_open						
0		send you the document	file_share						
0		personal tab	file_download						
0		Who won the gold medal in women's bobsled	file_other						
1		forget it	reject						
0		Can you open my I worked on file for me	file_open						
0		I want the document to be opened which I updated.	file_open						
0		Show the day i lost my mum with tourte	file_share						
0		share file with my chat at tomorrow	file_share						
0		Open file.	file_open						
0		Reopen last docx opened	file_open						
0		please go to my I just edited file.	file_navigate						
0		I worked on a document , please , open the document.	file_open						
0		opened file most recently used	file_open						
