TurnNumber	PreviousTurnIntent	query	intent	PreviousTurnDomain	TaskFrameStatus	TaskFrameEntityStates	TaskFrameGUID	SpeechPeopleDisambiguationGrammarMatches	ConversationalContext
0		I would like to see in my recent files please.	file_navigate						
0		share workplace files with Jacob	file_share						
0		Launch lt review document I worked on	file_open						
0		Share that I created paper the last used with the meeting attendees	file_share						
0		can you find the laura lunch and kittens by tširkova-lozovaja elce kreicmanis sarkic	file_search						
0		Open file.	file_open						
0		reopening the last document most recent.	file_open						
0		Open signs ship room.	file_open						
0		Open that I created powerpoint deck	file_open						
0		can you find the madeleine ' s orthodontist appointment by franier charitos charyyarov mockerman	file_search						
0		Download fire instance answers.	file_download						
0		Share the document recent using the chat	file_share						
0		please go to my I was working on files.	file_navigate						
0		Open the last document in I was working on recently	file_open						
0		Show me my recent files.	file_search						
0		Share the file I worked on with Arnita.	file_share						
0		show me photos february twenty fifteen	file_search						
0		go back to previous document	file_navigate						
0		file with the name of do the motorcycle to lightning services of type Docx	file_search						
0		Please show me my I had up before file , Cortana	file_search						
0		show my photos from April 2015	file_search						
0		Share deployment timeline document I was editing to the conversation	file_share						
0		Hey can you resume the document I previously worked at?	file_open						
0		Hey show me my I last edited edits	file_search						
0		show me my file from this week.	file_search						
0		I had up before a document , please open your document.	file_open						
0		Share the document I used most recently to the meeting	file_share						
0		Open word docx.	file_open						
0		scarangello tegfors luder idleman's msg files shared with lozinski tinus setencic ivljanjin	file_search						
0		can you see my I have recently opened files.	file_navigate						
0		Open monkey monkey monkey file.	file_open						
0		Open insurance document I was editing	file_open						
0		share workplace files with Jacob	file_share						
0		Share LT review discussion downloaded files I was composing of the meeting attendees	file_share						
0		sure	confirm						
0		list my I updated open documents	file_navigate						
0		What were the files I was last working on	file_search						
0		got up file of type notebook	file_search						
0		open file specs	file_open						
0		could you show my I was working on recently files.	file_search						
0		do list	file_search						
0		I will send you the document	file_share						
0		Find and paper I was just working on and open it please.	file_search						
0		keep brownbag file	file_download						
0		Hey show me my I was working on changes	file_search						
0		vsd titled by go to the zoo	file_search						
0		Browse my files of today	file_navigate						
0		Share the file on this chat	file_share						
0		upload workplace file	file_download						
0		find document pdf	file_search						
0		Hey show me my that was closed changes	file_search						
0		share file with my meeting participants at 10 pm on Wednesday	file_share						
0		I would like to see my I was working on recently files please.	file_navigate						
0		Cortana bringing up my LT review discussion word.	file_search						
0		Can you open the last paper I have recently opened	file_open						
0		show my I was composing files	file_search						
0		go to recent files	file_navigate						
0		Please open my LT review discussion docx	file_open						
0		Can you please open document that was closed?	file_open						
0		share a file with my next meeting participants	file_share						
0		spreadsheet created by band practice	file_search						
0		open the document I is working on today on page one.	file_open						
0		find my party note	file_search						
0		Hey can you resume the document I previously worked at?	file_open						
0		open document I was just working on last weeks.	file_open						
0		Go with spreadsheet	file_navigate						
0		Share the file on this meeting	file_share						
0		Navigate of deck	file_navigate						
0		Please pulling my I was using document	file_search						
0		Open that I created excel	file_open						
0		Bring up the document file in I was working on recently	file_search						
0		Share that I created pictures with the 11AM chat	file_share						
0		Go in PPT	file_navigate						
0		Share the word the last used of the chat	file_share						
0		madeleine ' s orthodontist appointment csv by kushnirski gilitzer	file_search						
0		find my resume I was editing between 1 am and 4am this morning 	file_search						
0		go to recent files	file_navigate						
0		Launch that document I compose	file_open						
0		slides on the budget proposal	file_search						
0		Show optometrist appointment for jordan with gül?ah	file_share						
0		show me my last active archives	file_search						
0		Hey Cortana I need to continue the document I just edited.	file_open						
0		Locate newpresentation2	file_search						
0		Find a document that I was creating	file_search						
0		Doc mentula created	file_search						
0		show my files from today.	file_search						
0		share file with my chat at tomorrow	file_share						
0		file titled vacation shopping of type notes	file_search						
0		show me my I updated memos files.	file_search						
0		share preview test plan document file using jay	file_share						
0		Share LT review discussion document newest in the conversation	file_share						
0		Please open my the document	file_open						
0		save planning document	file_download						
0		Open 'voice skills' PowerPoint 	file_open						
0		Find and paper I was just working on and open it please.	file_search						
0		booklet in documents	file_search						
0		Can to open the last docx most recent	file_open						
0		download the file	file_download						
0		screen sketch files	file_search						
0		show my I was just working on download	file_search						
0		Find the paper I was writing	file_search						
0		I would like to see my I had up before files please.	file_navigate						
0		Please bring back up the last document I are open	file_search						
0		File Answers shared by JGeorge 	file_search						
0		Find document I was just working on and open it please.	file_search						
0		Show this file with moumini	file_share						
0		Open payroll docx I was using	file_open						
0		I want to see the most recent files I have made	file_navigate						
0		saving workplace excel	file_download						
0		ohh ok and save that as a separate document	file_download						
0		Share preview test plan document document I was using using the meeting	file_share						
0		file with the title of redgrave	file_search						
0		Can you please open the document recently?	file_open						
0		take me to file recently.	file_search						
0		hey cortana, share the tax memos of this conversation	file_share						
0		open the worksheet I was just working on	file_open						
0		upload voice skills file	file_download						
0		file with the name of night out with elaine of type vsd edited by elpidy mockerman karahoda semberova	file_search						
0		Cortana bring up the document I was working on before the telephone interrupted me.	file_search						
0		Pull up deployment timeline doc	file_search						
0		Open our work in Sunnyvale docx.	file_open						
0		took me to the file I've recently used.	file_search						
0		show my photos from April 2015	file_search						
0		Hey can you reopen the docx I previously worked on?	file_open						
0		Please pull up my I was just working on document	file_search						
0		Open the file I was working on.	file_open						
0		I need to display my I used most recently files.	file_search						
0		can you find the send off party for greg by daizee botterweck	file_search						
0		please open the document I was composing.	file_open						
0		Open files.	file_open						
0		Share the document I was writing using the conversation	file_share						
0		Share planning deck	file_share						
0		Pull up lt review doc	file_search						
0		download that downloaded files	file_download						
0		Share this file on this meeting attendees	file_share						
0		Open this file	file_open						
0		pull up powerpoint	file_search						
0		Go for files	file_navigate						
0		share the workplace deck in this meeting attendees	file_share						
0		list my I last edited open documents	file_navigate						
0		My Files 	file_search						
0		Open the paper the last used	file_open						
0		lisdero leinbach lezza's xlsx files shared with me	file_search						
0		Hey can you please direct me to my last files recently?	file_navigate						
0		show my photos from April 2015	file_search						
0		opening the last document I have recently opened.	file_open						
1		cancel it	cancel						
0		I would like to see in my I've recently used files please.	file_navigate						
0		Open XLT review PowerPoint.	file_open						
0		my notes	file_search						
0		Open the docx I uploaded	file_open						
0		Open the file size ship room.	file_open						
0		excels by lekapenos iwazaki about medco	file_search						
0		Go to a file	file_navigate						
0		find my pictures of Bob Marley	file_search						
0		show my photos from April 2015	file_search						
0		What are the files I was last working in	file_search						
1		nothing cancel i made a mistake	cancel						
0		Share file that I created in voice skills stand up meeting	file_share						
0		Share the downloads newest using the meeting participants	file_share						
0		Hey can you resume the document I previously worked at?	file_open						
0		vsdm created by appointment for easter	file_search						
0		I would love to see my I worked on files please.	file_navigate						
0		satloff herzenfis's image file shared with me	file_search						
0		Cortana display my last active file.	file_search						
0		Go in spreadsheet	file_navigate						
0		cortana share the powerpoint deck I was working on with the conversation	file_share						
0		The PowerPoint I was working on last	file_navigate						
0		recent a document , please open your document.	file_open						
0		send a file to mary	file_share						
0		d:\users\elliot chester\documents\ts3_clientui-win64-1407159763-2015-01-24 14_03_47.141875.dmp	file_search						
0		Cortana open payroll docx.	file_open						
0		display my the excel I was working on recently	file_search						
0		show my photos from April 2015	file_search						
0		Open Cortana core science document.	file_open						
0		can you find the mario kart doc by triviere prabhunath	file_search						
0		Open my last active I just edited project last active I just edited	file_open						
0		show me the powerpoint for the photos.	file_search						
0		Can you open the my I last edited file for me	file_open						
0		Launch that document I was compose	file_open						
0		show my photos from April 2015	file_search						
0		share that I created files with my next design sync meeting attendees	file_share						
0		Cortana opening the memos document newest	file_open						
0		file titled swag of type vssx	file_search						
0		show me my I uploaded spreadsheet	file_search						
