TurnNumber	PreviousTurnIntent	query	domain	PreviousTurnDomain	TaskFrameStatus	TaskFrameEntityStates	TaskFrameGUID	SpeechPeopleDisambiguationGrammarMatches	ConversationalContext	Source
0		debut invitation with attachments from march to april	files							AttachmentData_modifiy.tsv
0		file from fred to barney with attachments re rocks	files							AttachmentData_modifiy.tsv
0		document with attachment from august	files							AttachmentData_modifiy.tsv
0		document from bob with an attachment	files							AttachmentData_modifiy.tsv
0		file from mom with attachments	files							AttachmentData_modifiy.tsv
0		ppt attachment from dad	files							AttachmentData_modifiy.tsv
0		document with attachment from december about tigers	files							AttachmentData_modifiy.tsv
0		i want to see documents on txy project with attachments	files							AttachmentData_modifiy.tsv
0		file with attachments last week on hiking	files							AttachmentData_modifiy.tsv
0		documents to dave with attachment	files							AttachmentData_modifiy.tsv
0		documents with attachment from ryan	files							AttachmentData_modifiy.tsv
0		what is last attachment that jose gomezangulo sent me	files							AttachmentData_modifiy.tsv
0		what was document from hank with attachment	files							AttachmentData_modifiy.tsv
0		large attachment	files							AttachmentData_modifiy.tsv
0		i want to see files on txy project with attachments	files							AttachmentData_modifiy.tsv
0		find williams documents with attachment	files							AttachmentData_modifiy.tsv
0		doc attachment from han zhang	files							AttachmentData_modifiy.tsv
0		files about zoning law attachment	files							AttachmentData_modifiy.tsv
0		documents with attachments from lia	files							AttachmentData_modifiy.tsv
0		file messages that have attachments	files							AttachmentData_modifiy.tsv
0		attachment excels document	files							AttachmentData_modifiy.tsv
0		document from december through today with attachments in them	files							AttachmentData_modifiy.tsv
0		doctors document with xray attachment	files							AttachmentData_modifiy.tsv
0		files about big dig with attachment	files							AttachmentData_modifiy.tsv
0		file with attachments re conference sent from march 2019 to july 2019	files							AttachmentData_modifiy.tsv
0		received file with attachment from jamie	files							AttachmentData_modifiy.tsv
0		docx was included on attachment	files							AttachmentData_modifiy.tsv
0		open file on visiting hospital with vcs attachment	files							AttachmentData_modifiy.tsv
0		documents that has spec attachments	files							AttachmentData_modifiy.tsv
0		document from jane to jon with attachment for new parking garage	files							AttachmentData_modifiy.tsv
0		halloween file with attachment from sydney to luke	files							AttachmentData_modifiy.tsv
0		interesting show me documents from malik with attachments	files							AttachmentData_modifiy.tsv
0		open documents with attachments from mary	files							AttachmentData_modifiy.tsv
0		file from gilligan to skipper with attachment about repairing minnow from july	files							AttachmentData_modifiy.tsv
0		find files from malik with attachments in december	files							AttachmentData_modifiy.tsv
0		file from professor with attachment	files							AttachmentData_modifiy.tsv
0		ryan work pdfs attachment	files							AttachmentData_modifiy.tsv
0		supply requests with attachments sent from may to june	files							AttachmentData_modifiy.tsv
0		recent files with attachments	files							AttachmentData_modifiy.tsv
0		file in july with fireworks attachment	files							AttachmentData_modifiy.tsv
0		search for an documents with an attachment sent by barb	files							AttachmentData_modifiy.tsv
0		document from christian and june with attachment	files							AttachmentData_modifiy.tsv
0		file received with attachments from january 7th through january 26th	files							AttachmentData_modifiy.tsv
0		from helen files with attachment about christmas party	files							AttachmentData_modifiy.tsv
0		documents received with attachments from jan 1 to jan 7 2020	files							AttachmentData_modifiy.tsv
0		document attachment from ashley	files							AttachmentData_modifiy.tsv
0		file with workbook attachment from last two months	files							AttachmentData_modifiy.tsv
0		presentation attachments in files from january	files							AttachmentData_modifiy.tsv
0		document received from dana with attachments	files							AttachmentData_modifiy.tsv
0		show me recent slides attachments	files							AttachmentData_modifiy.tsv
0		files attachment from mom	files							AttachmentData_modifiy.tsv
0		files with onenote attachment from jack	files							AttachmentData_modifiy.tsv
0		documents from colton with an attachment	files							AttachmentData_modifiy.tsv
0		recent file with attachments	files							AttachmentData_modifiy.tsv
0		file from january 4 to february 4 with bill attachment	files							AttachmentData_modifiy.tsv
0		mpp attachments from lia	files							AttachmentData_modifiy.tsv
0		file with attachment about rb singers	files							AttachmentData_modifiy.tsv
0		documents from donny with accounting attachment	files							AttachmentData_modifiy.tsv
0		file from roger to cindy between may 7th and june 3rd about birthday with attachment	files							AttachmentData_modifiy.tsv
0		poker files attachment	files							AttachmentData_modifiy.tsv
0		documents with attachment on singing	files							AttachmentData_modifiy.tsv
0		office document with attachment	files							AttachmentData_modifiy.tsv
0		files from john with attachment about dogs from june	files							AttachmentData_modifiy.tsv
0		which documents do i have that have attachments	files							AttachmentData_modifiy.tsv
0		documents from john to jane sent between march 1 and march 15 about birthday with attachment	files							AttachmentData_modifiy.tsv
0		documents from jake to martha with portfolio attachment	files							AttachmentData_modifiy.tsv
0		files from january with attachments	files							AttachmentData_modifiy.tsv
0		attachments that are in my file messages	files							AttachmentData_modifiy.tsv
0		file sent from ana mendes with attachments from three weeks ago	files							AttachmentData_modifiy.tsv
0		documents from susanne to nancy with attachment	files							AttachmentData_modifiy.tsv
0		which document do i have that have attachments	files							AttachmentData_modifiy.tsv
0		document from jon hamaker with deck attachments	files							AttachmentData_modifiy.tsv
0		files with attachment from rick about furniture delivery	files							AttachmentData_modifiy.tsv
0		from cindy attachment presentations	files							AttachmentData_modifiy.tsv
0		birthday files with attachment from andrea	files							AttachmentData_modifiy.tsv
0		show me documents from sonia with sheets attachments	files							AttachmentData_modifiy.tsv
0		pull up file sent to robert with attachments	files							AttachmentData_modifiy.tsv
0		documents with attachment from lazlo	files							AttachmentData_modifiy.tsv
0		documents with attachment was incomplete	files							AttachmentData_modifiy.tsv
0		show me file from chad with attachments	files							AttachmentData_modifiy.tsv
0		get all file i have with attachments	files							AttachmentData_modifiy.tsv
0		attachments opened with received file	files							AttachmentData_modifiy.tsv
0		show document with vst attachment	files							AttachmentData_modifiy.tsv
0		files with tsv attachment in september	files							AttachmentData_modifiy.tsv
0		show me files from saku with attachments	files							AttachmentData_modifiy.tsv
0		document with attachments from august 1st to september 1st	files							AttachmentData_modifiy.tsv
0		mias files with vcs attachments	files							AttachmentData_modifiy.tsv
0		february 16th document with attachment	files							AttachmentData_modifiy.tsv
0		find sheets budget review attachment sent to liam jones	files							AttachmentData_modifiy.tsv
0		september file attachments	files							AttachmentData_modifiy.tsv
0		document from january through march that have attachments	files							AttachmentData_modifiy.tsv
0		document sent in august that contained attachment	files							AttachmentData_modifiy.tsv
0		show me documents from ashok with attachments	files							AttachmentData_modifiy.tsv
0		attachment pizza from ina	files							AttachmentData_modifiy.tsv
0		attachments was sent my director though files	files							AttachmentData_modifiy.tsv
0		document from penny with attachments	files							AttachmentData_modifiy.tsv
0		unread file from ashok with attachments	files							AttachmentData_modifiy.tsv
0		what files do i have that contain attachments	files							AttachmentData_modifiy.tsv
0		to jim attachment pdf	files							AttachmentData_modifiy.tsv
0		file from ellen with attachments about birthday party	files							AttachmentData_modifiy.tsv
0		document from may with music work attachment	files							AttachmentData_modifiy.tsv
0		documents from jose gomezangulo with attachments	files							AttachmentData_modifiy.tsv
0		documents from lizzie to sally re resignation with msg attachment	files							AttachmentData_modifiy.tsv
0		from nandu with attachment	files							AttachmentData_modifiy.tsv
0		documents about office work attachment	files							AttachmentData_modifiy.tsv
0		pdf attachments from lia	files							AttachmentData_modifiy.tsv
0		from john slide attachments	files							AttachmentData_modifiy.tsv
0		files from yesterday with attachments	files							AttachmentData_modifiy.tsv
0		view files with onenote attachments sent to amanda	files							AttachmentData_modifiy.tsv
0		look for document with attachments sent last week	files							AttachmentData_modifiy.tsv
0		documents from last month that have an attachment	files							AttachmentData_modifiy.tsv
0		files with attachments about christmas	files							AttachmentData_modifiy.tsv
0		document with attachment from ryan	files							AttachmentData_modifiy.tsv
0		documents from mark with attachment from last month	files							AttachmentData_modifiy.tsv
0		show me document from malik with attachments	files							AttachmentData_modifiy.tsv
0		documents with attachment between september and november about business	files							AttachmentData_modifiy.tsv
0		attachments in document work xls	files							AttachmentData_modifiy.tsv
0		i need to see my document with attachments	files							AttachmentData_modifiy.tsv
0		csv attachments from joshua	files							AttachmentData_modifiy.tsv
0		find all files from reggie with an attachment	files							AttachmentData_modifiy.tsv
0		documents from lou to claudia about orchestra concert with attachment	files							AttachmentData_modifiy.tsv
0		pull up documents with attachment	files							AttachmentData_modifiy.tsv
0		document that has vcs attachments	files							AttachmentData_modifiy.tsv
0		graduation files with attachment	files							AttachmentData_modifiy.tsv
0		document from september 1st with amazon shopping link attachments	files							AttachmentData_modifiy.tsv
0		office party files with attachment	files							AttachmentData_modifiy.tsv
