TurnNumber	PreviousTurnIntent	query	domain	PreviousTurnDomain	TaskFrameStatus	TaskFrameEntityStates	TaskFrameGUID	SpeechPeopleDisambiguationGrammarMatches	ConversationalContext	Source
0		search for file from last may that included attachments	files							AttachmentData_modifiy.tsv
0		yesterday he sent me an files about png attachments on dogs	files							AttachmentData_modifiy.tsv
0		i want to see file on txy project with attachments	files							AttachmentData_modifiy.tsv
0		file that has slide attachments	files							AttachmentData_modifiy.tsv
0		attachments from christmas to new years	files							AttachmentData_modifiy.tsv
0		files from greg to vanessa about teaching with attachment	files							AttachmentData_modifiy.tsv
0		files from sally to kenisha with attachment	files							AttachmentData_modifiy.tsv
0		search for files sent to todd that contain onenotes attachments	files							AttachmentData_modifiy.tsv
0		peter with attachment vsdm	files							AttachmentData_modifiy.tsv
0		file from bob to jack last week with attachments	files							AttachmentData_modifiy.tsv
0		find new file from steven with attachments	files							AttachmentData_modifiy.tsv
0		file with attachment about hip hop	files							AttachmentData_modifiy.tsv
0		file from tim with an attachment about weater	files							AttachmentData_modifiy.tsv
0		from liza attachment sheet	files							AttachmentData_modifiy.tsv
0		files from john with mpp attachments	files							AttachmentData_modifiy.tsv
0		file attachments about pizza recipes	files							AttachmentData_modifiy.tsv
0		last weeks file from jamison with attachments	files							AttachmentData_modifiy.tsv
0		new work schedules file from management with attachments	files							AttachmentData_modifiy.tsv
0		file from eka sofia with attachment	files							AttachmentData_modifiy.tsv
0		files with ppts as attachment	files							AttachmentData_modifiy.tsv
0		vcs attachments file	files							AttachmentData_modifiy.tsv
0		essay file with draft attachment from january 5th to march 10th	files							AttachmentData_modifiy.tsv
0		file that have credit card expense attachments	files							AttachmentData_modifiy.tsv
0		file with attachment from cindy from last week	files							AttachmentData_modifiy.tsv
0		files attachment from chris	files							AttachmentData_modifiy.tsv
0		files with attachment from june about teaching	files							AttachmentData_modifiy.tsv
0		attachment to mark	files							AttachmentData_modifiy.tsv
0		files from bob with an attachment	files							AttachmentData_modifiy.tsv
0		pdf sent attachments	files							AttachmentData_modifiy.tsv
0		find file with attachments for today	files							AttachmentData_modifiy.tsv
0		show me attachment xlsx with tim	files							AttachmentData_modifiy.tsv
0		file with onenotes attachments re bills from june 2016 to july 2017	files							AttachmentData_modifiy.tsv
0		file to burnhai quarma but only if they have attachments and are from june 1 through june 9	files							AttachmentData_modifiy.tsv
0		file attachment from mom	files							AttachmentData_modifiy.tsv
0		file sent from alan from april 2019 with attachment about anniversary party	files							AttachmentData_modifiy.tsv
0		messages from dave with vsd attachments	files							AttachmentData_modifiy.tsv
0		file with attachment from kelly about surgery	files							AttachmentData_modifiy.tsv
0		files sent from anna three weeks ago with attachment	files							AttachmentData_modifiy.tsv
