TurnNumber	PreviousTurnIntent	query	domain	PreviousTurnDomain	TaskFrameStatus	TaskFrameEntityStates	TaskFrameGUID	SpeechPeopleDisambiguationGrammarMatches	ConversationalContext	Source
0		download day off deck	files							domain_extract_from_slot_query.tsv
0		download britney ' s dentist appointment deck	files							domain_extract_from_slot_query.tsv
0		download doctor visit deck	files							domain_extract_from_slot_query.tsv
0		download date with rhonda deck	files							domain_extract_from_slot_query.tsv
0		download appointment with adam deck	files							domain_extract_from_slot_query.tsv
0		download seven and ten deck	files							domain_extract_from_slot_query.tsv
0		download presentation I was just working on.	files							domain_extract_from_slot_query.tsv
0		download parents are arriving deck	files							domain_extract_from_slot_query.tsv
0		download I was working on document.	files							domain_extract_from_slot_query.tsv
0		download I was working on recently document.	files							domain_extract_from_slot_query.tsv
0		download tottenham ' s fixtures deck	files							domain_extract_from_slot_query.tsv
0		download family date deck	files							domain_extract_from_slot_query.tsv
0		download LT review discussion file	files							domain_extract_from_slot_query.tsv
0		download go to deck	files							domain_extract_from_slot_query.tsv
0		download two hundred two hundred deck	files							domain_extract_from_slot_query.tsv
0		download most recently used PPT	files							domain_extract_from_slot_query.tsv
0		download commotion deck	files							domain_extract_from_slot_query.tsv
0		download document I had been working on.	files							domain_extract_from_slot_query.tsv
0		download phone call david finn deck	files							domain_extract_from_slot_query.tsv
0		download people to slap deck	files							domain_extract_from_slot_query.tsv
0		download running club quiz deck	files							domain_extract_from_slot_query.tsv
0		download deployment timeline downloaded files	files							domain_extract_from_slot_query.tsv
0		download exam for gannet deck	files							domain_extract_from_slot_query.tsv
0		download tax PowerPoint	files							domain_extract_from_slot_query.tsv
0		download projected revenues for king deck	files							domain_extract_from_slot_query.tsv
0		download battle deck	files							domain_extract_from_slot_query.tsv
0		download dinner with kyle deck	files							domain_extract_from_slot_query.tsv
0		download colleagues meeting deck	files							domain_extract_from_slot_query.tsv
0		download dave's birthday deck	files							domain_extract_from_slot_query.tsv
0		download freecell deck	files							domain_extract_from_slot_query.tsv
0		download lt review file	files							domain_extract_from_slot_query.tsv
0		download interview at texas roadhouse deck	files							domain_extract_from_slot_query.tsv
0		download meet tom deck	files							domain_extract_from_slot_query.tsv
0		download interview with mary clark deck	files							domain_extract_from_slot_query.tsv
0		download spreadsheet	files							domain_extract_from_slot_query.tsv
0		download put cat out deck	files							domain_extract_from_slot_query.tsv
0		download hotel reservation deck	files							domain_extract_from_slot_query.tsv
0		download lily no lobo deck	files							domain_extract_from_slot_query.tsv
0		download assessment marketing deck	files							domain_extract_from_slot_query.tsv
0		download oscar deck	files							domain_extract_from_slot_query.tsv
0		download eat italian food deck	files							domain_extract_from_slot_query.tsv
0		download business 2 deck	files							domain_extract_from_slot_query.tsv
0		download most recently used downloaded files	files							domain_extract_from_slot_query.tsv
0		download tax Word	files							domain_extract_from_slot_query.tsv
0		download preview test plan document Word	files							domain_extract_from_slot_query.tsv
0		download nature of computing deck	files							domain_extract_from_slot_query.tsv
0		Download file instance answers.	files							domain_extract_from_slot_query.tsv
0		download green city deck	files							domain_extract_from_slot_query.tsv
0		download baby show list deck	files							domain_extract_from_slot_query.tsv
0		download bffs birthday deck	files							domain_extract_from_slot_query.tsv
0		download most recently used file	files							domain_extract_from_slot_query.tsv
0		download cake recipe deck	files							domain_extract_from_slot_query.tsv
0		download ball game deck	files							domain_extract_from_slot_query.tsv
0		download ball state college visit deck	files							domain_extract_from_slot_query.tsv
0		download power point deck	files							domain_extract_from_slot_query.tsv
0		download that I created OneNote	files							domain_extract_from_slot_query.tsv
0		download tangerine deck	files							domain_extract_from_slot_query.tsv
0		download eat at ruby tuesdays deck	files							domain_extract_from_slot_query.tsv
0		download play klein meeting deck	files							domain_extract_from_slot_query.tsv
0		download prescott street deck	files							domain_extract_from_slot_query.tsv
0		download walmart list deck	files							domain_extract_from_slot_query.tsv
0		download sylvia is leaving deck	files							domain_extract_from_slot_query.tsv
0		Download file skills list.	files							domain_extract_from_slot_query.tsv
0		download grocery shopping trip deck	files							domain_extract_from_slot_query.tsv
0		download working on school work deck	files							domain_extract_from_slot_query.tsv
0		download insurance Word	files							domain_extract_from_slot_query.tsv
0		download mass. deck	files							domain_extract_from_slot_query.tsv
0		download i don't this is an a****** deck	files							domain_extract_from_slot_query.tsv
0		download watch a movie deck	files							domain_extract_from_slot_query.tsv
0		download excel	files							domain_extract_from_slot_query.tsv
0		download festival file of type slide	files							domain_extract_from_slot_query.tsv
0		download rant deck	files							domain_extract_from_slot_query.tsv
0		download fifteen to ten deck	files							domain_extract_from_slot_query.tsv
0		download potomac nationals game deck	files							domain_extract_from_slot_query.tsv
0		download numbers deck	files							domain_extract_from_slot_query.tsv
0		download voice skills file	files							domain_extract_from_slot_query.tsv
0		download pdf	files							domain_extract_from_slot_query.tsv
0		download i like windows 10 deck	files							domain_extract_from_slot_query.tsv
0		download preview test plan document downloaded files	files							domain_extract_from_slot_query.tsv
0		download buy one for maticks deck	files							domain_extract_from_slot_query.tsv
0		download colleague ' s get together party deck	files							domain_extract_from_slot_query.tsv
