patterns	source 
<file_keyword> <file_boost>	kan_shan_analysis
<file_keyword> <file_boost>	kan_shan_analysis
<file_keyword> <file_type> 	kan_shan_analysis
<file_keyword> <file_type> with <contact_name>	kan_shan_analysis
<file_keyword> <file_boost>	kan_shan_analysis
<file_keyword> <file_boost>  with <contact_name>	kan_shan_analysis
<file_keyword> <file_type>  to <contact_name>	kan_shan_analysis
<file_keyword> <file_type>  to <contact_name>	kan_shan_analysis
<file_keyword> <file_boost>	kan_shan_analysis
<file_keyword> <file_boost>  with <contact_name>	kan_shan_analysis
<file_keyword> <file_boost>  with <contact_name>	kan_shan_analysis
<file_keyword> <file_boost>  with <contact_name>	kan_shan_analysis
<file_keyword> <file_boost>	kan_shan_analysis
<file_keyword> <file_type> 	kan_shan_analysis
<file_keyword> <file_type> 	kan_shan_analysis
<file_keyword> <file_type>  with <contact_name>	kan_shan_analysis
<file_keyword> <file_type> 	kan_shan_analysis
<file_keyword> <file_type> 	kan_shan_analysis
<file_keyword> <file_type>  with <contact_name>	kan_shan_analysis
<file_keyword> <file_type> 	kan_shan_analysis
<file_recency> <file_type> <file_boost>	kan_shan_analysis
<file_type> in <file_boost>	kan_shan_analysis
bring up <file_keyword> <file_boost>	kan_shan_analysis
bring up <file_keyword> <file_type>	kan_shan_analysis
bring up my <file_keyword> <file_type> from <date>	kan_shan_analysis
can you find <contact_name> <order_ref> <file_type>	kan_shan_analysis
can you open <file_keyword> <file_boost>	kan_shan_analysis
download <file_keyword> <file_type> 	kan_shan_analysis
download <file_keyword> <file_type> 	kan_shan_analysis
download <file_keyword> <file_boost>	kan_shan_analysis
download <file_keyword> <file_type>	kan_shan_analysis
download  <file_type> 	kan_shan_analysis
download  <file_type> <file_boost>	kan_shan_analysis
download  a <file_boost>	kan_shan_analysis
download  <file_boost>	kan_shan_analysis
download  <file_boost> <file_keyword>	kan_shan_analysis
download  <file_boost>	kan_shan_analysis
download  <file_type> 	kan_shan_analysis
<file_boost> <contact_name> was <file_action> on	kan_shan_analysis
<file_boost> <file_type> 	kan_shan_analysis
find <contact_name> <file_action>  <file_boost>	kan_shan_analysis
find <contact_name> <file_boost>	kan_shan_analysis
find <file_keyword> <file_type> 	kan_shan_analysis
find <file_keyword> <file_boost>	kan_shan_analysis
find <file_keyword> <file_boost>	kan_shan_analysis
find <file_keyword> <file_type> 	kan_shan_analysis
find <file_keyword> <file_type> 	kan_shan_analysis
find <file_recency> <file_boost>	kan_shan_analysis
find  a <file_boost>	kan_shan_analysis
find <file_boost>	kan_shan_analysis
find  <file_boost> <file_keyword>	kan_shan_analysis
find <file_boost>	kan_shan_analysis
find <file_boost> from <contact_name>	kan_shan_analysis
find me <file_keyword> <file_boost>	kan_shan_analysis
find my <file_keyword> <file_boost>	kan_shan_analysis
find <file_type>  from <contact_name>	kan_shan_analysis
go to downloads	kan_shan_analysis
go to <file_recency> files	kan_shan_analysis
go to files	kan_shan_analysis
go to  files	kan_shan_analysis
go to my <file_recency> files	kan_shan_analysis
my <file_recency> <file_boost> 	kan_shan_analysis
navigate to <file_boost> 	kan_shan_analysis
navigate to <file_boost> 	kan_shan_analysis
open <contact_name> <file_type>	kan_shan_analysis
open <contact_name> <file_boost>	kan_shan_analysis
open <contact_name> <file_boost>	kan_shan_analysis
open <contact_name> <file_boost>	kan_shan_analysis
open <file_keyword>	kan_shan_analysis
open <file_keyword> <file_type>	kan_shan_analysis
open <file_keyword> <file_boost>	kan_shan_analysis
open <file_keyword> <file_boost> named <file_boost> 	kan_shan_analysis
open <file_keyword> <file_type> <file_boost>  	kan_shan_analysis
open <file_recency> <file_type> 	kan_shan_analysis
open <file_recency> <file_boost> I was <file_action> on 	kan_shan_analysis
open <file_recency> <file_boost> 	kan_shan_analysis
open <file_type> <file_boost>  	kan_shan_analysis
open a <file_boost>	kan_shan_analysis
open a <file_boost> named <file_keyword>	kan_shan_analysis
open <file_type> <file_keyword>  	kan_shan_analysis
open <file_type> from <contact_name>	kan_shan_analysis
open <file_boost>	kan_shan_analysis
open <file_boost> <contact_name> <file_action> me	kan_shan_analysis
open <file_boost> <file_keyword>	kan_shan_analysis
open <file_type> by <contact_name>	kan_shan_analysis
open <file_boost> for <file_keyword>	kan_shan_analysis
open <file_type> <contact_name> was <file_action> on	kan_shan_analysis
open <file_type>  <file_boost> <contact_name> was <file_action> on	kan_shan_analysis
open <file_boost>	kan_shan_analysis
open <file_boost> <file_keyword>	kan_shan_analysis
open <file_boost> <file_keyword> <file_type>	kan_shan_analysis
open <file_boost> <file_keyword> <file_boost>	kan_shan_analysis
open <file_boost> <file_keyword> <file_boost>	kan_shan_analysis
open <file_boost> <file_keyword> <file_type>	kan_shan_analysis
open <file_boost> <file_boost>	kan_shan_analysis
open <file_boost> <file_boost>	kan_shan_analysis
open <file_boost> <file_boost> <file_keyword>	kan_shan_analysis
open <file_boost> for <file_keyword>	kan_shan_analysis
open <file_boost> from <contact_name>	kan_shan_analysis
open <file_boost>	kan_shan_analysis
open <file_boost> <contact_name> <file_action>	kan_shan_analysis
open <file_boost> <contact_name> was <file_action> on	kan_shan_analysis
open <file_boost> <file_keyword>	kan_shan_analysis
open <file_boost> from <contact_name>	kan_shan_analysis
open <order_ref> <file_keyword>	kan_shan_analysis
open <order_ref> <file_boost> <contact_name> was <file_action> on	kan_shan_analysis
open <order_ref> <file_boost> from <contact_name>	kan_shan_analysis
open <order_ref> <file_type> <contact_name> was <file_action> on	kan_shan_analysis
open <order_ref> <file_type> that <contact_name> was <file_action> on	kan_shan_analysis
open <file_keyword> dot <file_type> with <to_contact_name>	kan_shan_analysis
open  my <file_recency> <file_type> 	kan_shan_analysis
open  my <file_recency> <file_boost> 	kan_shan_analysis
open <file_type> that <contact_name> was <file_action> on	kan_shan_analysis
