ConversationId	MessageId	MessageTimestamp	MessageFrom	MessageText	JudgedDomain	JudgedIntent	JudgedConstraints	MetaData	ConversationContext	Frequency	CortanaResponse
177873293	0		user	serial.txt	FILES	file_search	<file_name> serial </file_name> .<file_type> txt </file_type>	[]		1	
177873294	0		user	schedule.xlsx	FILES	file_search	<file_name> schedule </file_name> .<file_type> xlsx </file_type>	[]		1	
177873295	0		user	pw.txt	FILES	file_search	<file_name> pw </file_name> .<file_type> txt </file_type>	[]		1	
177873296	0		user	Tina.jpeg 2012	FILES	file_search	<file_name> Tina </file_name> .<file_type> jpeg </file_type>  <date> 2012 </date>	[]		1	
177873297	0		user	wsfs.txt	FILES	file_search	<file_name> wsfs </file_name> .<file_type> txt </file_type>	[]		1	
177873298	0		user	file.txt	FILES	file_search	<file_name> file </file_name> .<file_type> txt </file_type>	[]		1	
177873299	0		user	2015_expenses.xlsx	FILES	file_search	<file_name> 2015_expenses </file_name> .<file_type> xlsx </file_type>	[]		1	
177873300	0		user	msinfo.txt	FILES	file_search	<file_name> msinfo </file_name> .<file_type> txt </file_type>	[]		1	
177873301	0		user	shark.jpg	FILES	file_search	<file_name> shark </file_name> .<file_type> jpg </file_type>	[]		1	
177873302	0		user	resume.doc	FILES	file_search	<file_name> resume </file_name> .<file_type> doc </file_type>	[]		1	
177873303	0		user	altchivala.txt	FILES	file_search	<file_name> altchivala </file_name> .<file_type> txt </file_type>	[]		1	
177873304	0		user	tod.xls	FILES	file_search	<file_name> tod </file_name> .<file_type> xls </file_type>	[]		1	
177873305	0		user	cv.docx	FILES	file_search	<file_name> cv </file_name> .<file_type> docx </file_type>	[]		1	
177873306	0		user	c:\passwords.txt	FILES	file_search	<file_name> c:\passwords </file_name> .<file_type> txt </file_type>	[]		1	
177873307	0		user	shark.jpg	FILES	file_search	<file_name> shark </file_name> .<file_type> jpg </file_type>	[]		1	
177873308	0		user	cc.txt	FILES	file_search	<file_name> cc </file_name> .<file_type> txt </file_type>	[]		1	
177873309	0		user	readme.doc	FILES	file_search	<file_name> readme </file_name> .<file_type> doc </file_type>	[]		1	
177873310	0		user	csharp.docx	FILES	file_search	<file_name> csharp </file_name> .<file_type> docx </file_type>	[]		1	
177873311	0		user	dokuwiki.txt mortgage amortization calculator excel extra payment	FILES	file_search	<file_name> dokuwiki </file_name> .<file_type> txt </file_type>  <file_keyword> mortgage amortization calculator </file_keyword> <file_type> excel </file_type> <file_keyword> extra payment </file_keyword>	[]		1	
177873312	0		user	schedulign.xlsx	FILES	file_search	<file_name> schedulign </file_name> .<file_type> xlsx </file_type>	[]		1	
177873313	0		user	angeloni.txt	FILES	file_search	<file_name> angeloni </file_name> .<file_type> txt </file_type>	[]		1	
177873314	0		user	log.txt	FILES	file_search	<file_name> log </file_name> .<file_type> txt </file_type>	[]		1	
177873315	0		user	76.jpg	FILES	file_search	<file_name> 76 </file_name> .<file_type> jpg </file_type>	[]		1	
177873316	0		user	2015.jpg	FILES	file_search	<file_name> 2015 </file_name> .<file_type> jpg </file_type>	[]		1	
177873317	0		user	id.txt file	FILES	file_search	<file_name> id </file_name> .<file_type> txt </file_type>  file	[]		1	
177873318	0		user	passwords.txt	FILES	file_search	<file_name> passwords </file_name> .<file_type> txt </file_type>	[]		1	
177873319	0		user	weather.txt	FILES	file_search	<file_name> weather </file_name> .<file_type> txt </file_type>	[]		1	
177873320	0		user	76.jpg	FILES	file_search	<file_name> 76 </file_name> .<file_type> jpg </file_type>	[]		1	
177873321	0		user	plan.ppt	FILES	file_search	<file_name> plan </file_name> .<file_type> ppt </file_type>	[]		1	
177873322	0		user	c:\babs\immersion\mihr\pwd.txt	FILES	file_search	<file_name> c:\babs\immersion\mihr\pwd </file_name> .<file_type> txt </file_type>	[]		1	
177873323	0		user	xdp critical issues-vikas.docx	FILES	file_search	<file_name> xdp critical issues-vikas </file_name> .<file_type> docx </file_type>	[]		1	
177873324	0		user	todo.txt	FILES	file_search	<file_name> todo </file_name> .<file_type> txt </file_type>	[]		1	
177873325	0		user	build.txt	FILES	file_search	<file_name> build </file_name> .<file_type> txt </file_type>	[]		1	
177873326	0		user	whatsnew.txt	FILES	file_search	<file_name> whatsnew </file_name> .<file_type> txt </file_type>	[]		1	
177873327	0		user	table.jpg	FILES	file_search	<file_name> table </file_name> .<file_type> jpg </file_type>	[]		1	
177873328	0		user	sa.txt	FILES	file_search	<file_name> sa </file_name> .<file_type> txt </file_type>	[]		1	
177873329	0		user	schedule.xls	FILES	file_search	<file_name> schedule </file_name> .<file_type> xls </file_type>	[]		1	
