MessageText	JudgedDomain	JudgedConstraints	JudgedIntent
add to do task	NOTE	add <title> to do </title> <note_category> task </note_category>	create_note
document titled	FILES	document titled	file_search
what do i have tomorrow morning	CALENDAR	what do i have <start_date> tomorrow </start_date> <start_time> morning </start_time>	find_calendar_entry
how many meetings do i have today	CALENDAR	how many meetings do i have <start_date> today </start_date>	find_calendar_entry
Highlights extraction from meeting transcript - Jan 2020 word	FILES	<file_keyword> Highlights extraction from meeting transcript - Jan 2020 </file_keyword> <file_type> word </file_type>	file_search
he remind me to LUFY20WorkingSession on sunday	REMINDER	he remind me to <reminder_text> LUFY20WorkingSession </reminder_text> on <start_date> sunday </start_date>	create_single_reminder
Jan2020Status	CALENDAR	<title> Jan2020Status </title>	find_calendar_entry
word by yaram called Present the deck and Smart Navigation spec review	FILES	<file_type> word </file_type> by <contact_name> yaram </contact_name> called <file_name> Present the deck and Smart Navigation spec review </file_name>	file_search
xlsx ashuthosh shared about AI 365 30 January 2020	FILES	<file_type> xlsx </file_type> <contact_name> ashuthosh </contact_name> <file_action> shared </file_action> about <file_keyword> AI 365 30 January 2020 </file_keyword>	file_search
cancel my 01-30-2020 Knowledge Bot - Full with ron tomorrow	CALENDAR	cancel my <title> 01-30-2020 Knowledge Bot - Full </title> with <contact_name> ron </contact_name> <start_date> tomorrow </start_date>	delete_calendar_entry
jose information	PEOPLE	<contact_name> jose </contact_name> information	search_org_chart
what is danielles Healthcare - FY20 Launch Deck	PEOPLE	what is <contact_name> danielle </contact_name> s <people_attribute> Healthcare - FY20 Launch Deck </people_attribute>	search_people_attribute
show Cortana UWP app - skill readiness word	FILES	show <file_keyword> Cortana UWP app - skill readiness </file_keyword> <file_type> word </file_type>	file_search
yvonnes work Cortana on Windows December Update	PEOPLE	<contact_name> yvonne </contact_name> s <attribute_type> work </attribute_type> <people_attribute> Cortana on Windows December Update </people_attribute>	search_people_attribute
remind me to Set Up Cortana for Commute for Microsoft account tomorrow at 730 pm	REMINDER	remind me to <reminder_text> Set Up Cortana for Commute for Microsoft account </reminder_text> <start_date> tomorrow </start_date> at <start_time> 730 pm </start_time>	create_single_reminder
remind me to Meetings AI Summary2 in an hour	REMINDER	remind me to <reminder_text> Meetings AI Summary2 </reminder_text> <start_time> in an hour </start_time>	create_single_reminder
anujas GRC Review Office Hours Sign-Up Sheet	PEOPLE	<contact_name> anuja </contact_name> s <people_attribute> GRC Review Office Hours Sign-Up Sheet </people_attribute>	search_people_attribute
docx by yaram venkata named סיפתח	FILES	<file_type> docx </file_type> by <contact_name> yaram venkata </contact_name> named <file_name> סיפתח </file_name>	file_search
when is TestCasesReport Jan13-Jan17 JLGA meeting	CALENDAR	when is <title> TestCasesReport Jan13-Jan17 JLGA </title> meeting	find_calendar_when
spreadsheet by ashuthosh upadhyaya called Alternates Support for Dictation (Confusion Networks)	FILES	<file_type> spreadsheet </file_type> by <contact_name> ashuthosh upadhyaya </contact_name> called <file_name> Alternates Support for Dictation (Confusion Networks) </file_name>	file_search
find Voice Skills Manual Test Plan spreadsheet	FILES	find <file_keyword> Voice Skills Manual Test Plan </file_keyword> <file_type> spreadsheet </file_type>	file_search
QuestionsPerCategory	CALENDAR	<title> QuestionsPerCategory </title>	find_calendar_entry
find me 01-30-2020 RealTime Flight Updates on TxP Cards in Outlook - Full document by suman venkata	FILES	find me <file_keyword> 01-30-2020 RealTime Flight Updates on TxP Cards in Outlook - Full </file_keyword> document by <contact_name> suman venkata </contact_name>	file_search
xlsx by ashuthosh upadhyaya about Management	FILES	<file_type> xlsx </file_type> by <contact_name> ashuthosh upadhyaya </contact_name> about <file_keyword> Management </file_keyword>	file_search
