ConversationId	MessageId	MessageTimestamp	MessageFrom	MessageText	JudgedIntent	JudgedDomain	JudgedConstraints	ConversationContext	MetaData	Frequency	Cat
filesearch_fileType_1	0		user	add to do task	create_note	NOTE	add <title> to do </title> <note_category> task </note_category>	{}	[]	1	PositiveFullMatch
filesearch_fileType_2	0		user	document titled	file_search	FILES	document titled	{}	[]	1	PositiveFullMatch
filesearch_fileType_3	0		user	what do i have tomorrow morning	find_calendar_entry	CALENDAR	what do i have <start_date> tomorrow </start_date> <start_time> morning </start_time>	{}	[]	1	PositiveFullMatch
filesearch_fileType_4	0		user	how many meetings do i have today	find_calendar_entry	CALENDAR	how many meetings do i have <start_date> today </start_date>	{}	[]	1	PositiveFullMatch
filesearch_fileType_5	0		user	Highlights extraction from meeting transcript - Jan 2020 word	file_search	FILES	<file_keyword> Highlights extraction from meeting transcript - Jan 2020 </file_keyword> <file_type> word </file_type>	{}	[]	1	PositiveFullMatch
filesearch_fileType_6	0		user	he remind me to LUFY20WorkingSession on sunday	create_single_reminder	REMINDER	he remind me to <reminder_text> LUFY20WorkingSession </reminder_text> on <start_date> sunday </start_date>	{}	[]	1	PositiveFullMatch
filesearch_fileType_7	0		user	Jan2020Status	find_calendar_entry	CALENDAR	<title> Jan2020Status </title>	{}	[]	1	PositiveFullMatch
filesearch_fileType_8	0		user	word by yaram called Present the deck and Smart Navigation spec review	file_search	FILES	<file_type> word </file_type> by <contact_name> yaram </contact_name> called <file_name> Present the deck and Smart Navigation spec review </file_name>	{}	[]	1	PositiveFullMatch
filesearch_fileType_9	0		user	xlsx ashuthosh shared about AI 365 30 January 2020	file_search	FILES	<file_type> xlsx </file_type> <contact_name> ashuthosh </contact_name> <file_action> shared </file_action> about <file_keyword> AI 365 30 January 2020 </file_keyword>	{}	[]	1	PositiveFullMatch
filesearch_fileType_10	0		user	cancel my 01-30-2020 Knowledge Bot - Full with ron tomorrow	delete_calendar_entry	CALENDAR	cancel my <title> 01-30-2020 Knowledge Bot - Full </title> with <contact_name> ron </contact_name> <start_date> tomorrow </start_date>	{}	[]	1	PositiveFullMatch
filesearch_fileType_11	0		user	jose information	search_org_chart	PEOPLE	<contact_name> jose </contact_name> information	{}	[]	1	PositiveFullMatch
filesearch_fileType_12	0		user	what is danielles Healthcare - FY20 Launch Deck	search_people_attribute	PEOPLE	what is <contact_name> danielle </contact_name> s <people_attribute> Healthcare - FY20 Launch Deck </people_attribute>	{}	[]	1	PositiveFullMatch
filesearch_fileType_13	0		user	show Cortana UWP app - skill readiness word	file_search	FILES	show <file_keyword> Cortana UWP app - skill readiness </file_keyword> <file_type> word </file_type>	{}	[]	1	PositiveFullMatch
filesearch_fileType_14	0		user	yvonnes work Cortana on Windows December Update	search_people_attribute	PEOPLE	<contact_name> yvonne </contact_name> s <attribute_type> work </attribute_type> <people_attribute> Cortana on Windows December Update </people_attribute>	{}	[]	1	PositiveFullMatch
filesearch_fileType_15	0		user	remind me to Set Up Cortana for Commute for Microsoft account tomorrow at 730 pm	create_single_reminder	REMINDER	remind me to <reminder_text> Set Up Cortana for Commute for Microsoft account </reminder_text> <start_date> tomorrow </start_date> at <start_time> 730 pm </start_time>	{}	[]	1	PositiveFullMatch
filesearch_fileType_16	0		user	remind me to Meetings AI Summary2 in an hour	create_single_reminder	REMINDER	remind me to <reminder_text> Meetings AI Summary2 </reminder_text> <start_time> in an hour </start_time>	{}	[]	1	PositiveFullMatch
filesearch_fileType_17	0		user	anujas GRC Review Office Hours Sign-Up Sheet	search_people_attribute	PEOPLE	<contact_name> anuja </contact_name> s <people_attribute> GRC Review Office Hours Sign-Up Sheet </people_attribute>	{}	[]	1	PositiveFullMatch
filesearch_fileType_18	0		user	docx by yaram venkata named סיפתח	file_search	FILES	<file_type> docx </file_type> by <contact_name> yaram venkata </contact_name> named <file_name> סיפתח </file_name>	{}	[]	1	PositiveFullMatch
filesearch_fileType_19	0		user	when is TestCasesReport Jan13-Jan17 JLGA meeting	find_calendar_when	CALENDAR	when is <title> TestCasesReport Jan13-Jan17 JLGA </title> meeting	{}	[]	1	PositiveFullMatch
