ConversationId	MessageId	MessageTimestamp	MessageFrom	MessageText	JudgedDomain	JudgedIntent	JudgedConstraints	MetaData	ConversationContext	Frequency	ImplicitConstraints
16	0		user	am i free	CALENDAR	check_availability	am <relationship_name>i</relationship_name> <availability>free</availability>	[{"slot_name":"relationship_name","slot_value":"i","meta_data":{"CanonicalEntity":"myself"}},{"slot_name":"availability","slot_value":"free","meta_data":{"CanonicalEntity":"free"}}]	{"ClientContext_ReferenceTime":["2018-01-01T10:20:30"]}	1	
17	0		user	am i free at 7 pm	CALENDAR	check_availability	am <relationship_name>i</relationship_name> <availability>free</availability> at <start_time>7 pm</start_time>	[{"slot_name":"start_time","slot_value":"7 pm","meta_data":{"Timex":"<TIMEX3 tid=\"0\" type=\"Time\" value=\"T19\">7 pm</TIMEX3>"}},{"slot_name":"relationship_name","slot_value":"i","meta_data":{"CanonicalEntity":"myself"}},{"slot_name":"availability","slot_value":"free","meta_data":{"CanonicalEntity":"free"}}]	{"ClientContext_ReferenceTime":["2018-01-01T10:20:30"]}	1	
19	0		user	am i free on friday	CALENDAR	check_availability	am <relationship_name>i</relationship_name> <availability>free</availability> on <start_date>friday</start_date>	[{"slot_name":"start_date","slot_value":"friday","meta_data":{"Timex":"<TIMEX3 tid=\"0\" type=\"Date\" value=\"XXXX-WXX-5\">friday</TIMEX3>"}},{"slot_name":"relationship_name","slot_value":"i","meta_data":{"CanonicalEntity":"myself"}},{"slot_name":"availability","slot_value":"free","meta_data":{"CanonicalEntity":"free"}}]	{"ClientContext_ReferenceTime":["2018-01-01T10:20:30"]}	1	
20	0		user	am i free on monday september 9th	CALENDAR	check_availability	am <relationship_name>i</relationship_name> <availability>free</availability> on <start_date>monday september 9th</start_date>	[{"slot_name":"start_date","slot_value":"monday september 9th","meta_data":{"Timex":"<TIMEX3 tid=\"0\" type=\"Date\" value=\"XXXX-09-09\">monday september 9th</TIMEX3>"}},{"slot_name":"relationship_name","slot_value":"i","meta_data":{"CanonicalEntity":"myself"}},{"slot_name":"availability","slot_value":"free","meta_data":{"CanonicalEntity":"free"}}]	{"ClientContext_ReferenceTime":["2018-01-01T10:20:30"]}	1	
21	0		user	am i free on saturday	CALENDAR	check_availability	am <relationship_name>i</relationship_name> <availability>free</availability> on <start_date>saturday</start_date>	[{"slot_name":"start_date","slot_value":"saturday","meta_data":{"Timex":"<TIMEX3 tid=\"0\" type=\"Date\" value=\"XXXX-WXX-6\">saturday</TIMEX3>"}},{"slot_name":"relationship_name","slot_value":"i","meta_data":{"CanonicalEntity":"myself"}},{"slot_name":"availability","slot_value":"free","meta_data":{"CanonicalEntity":"free"}}]	{"ClientContext_ReferenceTime":["2018-01-01T10:20:30"]}	1	
31	0		user	do i have anything from 6 pm to 10 pm	CALENDAR	find_calendar_entry	do i have anything from <start_time>6 pm</start_time> to <end_time>10 pm</end_time>	[{"slot_name":"start_time","slot_value":"6 pm","meta_data":{"Timex":"<TIMEX3 tid=\"0\" type=\"Time\" value=\"T18\">6 pm</TIMEX3>"}},{"slot_name":"end_time","slot_value":"10 pm","meta_data":{"Timex":"<TIMEX3 tid=\"0\" type=\"Time\" value=\"T22\">10 pm</TIMEX3>"}}]	{"ClientContext_ReferenceTime":["2018-01-01T10:20:30"]}	1	
32	0		user	do i have anything on saturday	CALENDAR	find_calendar_entry	do i have anything on <start_date>saturday</start_date>	[{"slot_name":"start_date","slot_value":"saturday","meta_data":{"Timex":"<TIMEX3 tid=\"0\" type=\"Date\" value=\"XXXX-WXX-6\">saturday</TIMEX3>"}}]	{"ClientContext_ReferenceTime":["2018-01-01T10:20:30"]}	1	
33	0		user	do i have anything scheduled on saturday	CALENDAR	find_calendar_entry	do i have anything scheduled on <start_date>saturday</start_date>	[{"slot_name":"start_date","slot_value":"saturday","meta_data":{"Timex":"<TIMEX3 tid=\"0\" type=\"Date\" value=\"XXXX-WXX-6\">saturday</TIMEX3>"}}]	{"ClientContext_ReferenceTime":["2018-01-01T10:20:30"]}	1	
46	0		user	what do i have at 7 pm	CALENDAR	find_calendar_entry	what do i have at <start_time>7 pm</start_time>	[{"slot_name":"start_time","slot_value":"7 pm","meta_data":{"Timex":"<TIMEX3 tid=\"0\" type=\"Time\" value=\"T19\">7 pm</TIMEX3>"}}]	{"ClientContext_ReferenceTime":["2018-01-01T10:20:30"]}	1	
47	0		user	what do i have from 2 to 4 on saturday	CALENDAR	find_calendar_entry	what do i have from <start_time>2</start_time> to <end_time>4</end_time> on <end_date>saturday</end_date>	[{"slot_name":"start_time","slot_value":"2","meta_data":{"Timex":"<TIMEX3 tid=\"0\" type=\"Time\" value=\"T02\" comment=\"ampm\">2</TIMEX3>"}},{"slot_name":"end_time","slot_value":"4","meta_data":{"Timex":"<TIMEX3 tid=\"0\" type=\"Time\" value=\"T04\" comment=\"ampm\">4</TIMEX3>"}},{"slot_name":"end_date","slot_value":"saturday","meta_data":{"Timex":"<TIMEX3 tid=\"0\" type=\"Date\" value=\"XXXX-WXX-6\">saturday</TIMEX3>"}}]	{"ClientContext_ReferenceTime":["2018-01-01T10:20:30"]}	1	
