ConversationId	MessageId	MessageTimestamp	MessageFrom	MessageText	JudgedDomain	JudgedIntent	JudgedConstraints	MetaData	ConversationContext	Frequency	ImplicitConstraints
16	0		user	am i free	CALENDAR	check_availability	am <relationship_name> i </relationship_name> <availability> free </availability>	[{"slot_name":"relationship_name","slot_value":"i","meta_data":{"CanonicalEntity":"myself"}},{"slot_name":"availability","slot_value":"free","meta_data":{"CanonicalEntity":"free"}}]	{"ClientContext_ReferenceTime":["2018-01-01T10:20:30"]}	1	
17	0		user	am i free at 7 pm	CALENDAR	check_availability	am <relationship_name> i </relationship_name> <availability> free </availability> at <start_time> 7 pm </start_time>	[{"slot_name":"start_time","slot_value":"7 pm","meta_data":{"Timex":"<TIMEX3 tid=\"0\" type=\"Time\" value=\"T19\">7 pm</TIMEX3>"}},{"slot_name":"relationship_name","slot_value":"i","meta_data":{"CanonicalEntity":"myself"}},{"slot_name":"availability","slot_value":"free","meta_data":{"CanonicalEntity":"free"}}]	{"ClientContext_ReferenceTime":["2018-01-01T10:20:30"]}	1	
18	0		user	am i free next friday	CALENDAR	check_availability	am <relationship_name> i </relationship_name> <availability> free </availability> <start_date> next friday </start_date>	[{"slot_name":"start_date","slot_value":"next friday","meta_data":{"Timex":"<TIMEX3 tid=\"0\" type=\"Date\" value=\"2018-01-12\">next friday</TIMEX3>"}},{"slot_name":"relationship_name","slot_value":"i","meta_data":{"CanonicalEntity":"myself"}},{"slot_name":"availability","slot_value":"free","meta_data":{"CanonicalEntity":"free"}}]	{"ClientContext_ReferenceTime":["2018-01-01T10:20:30"]}	1	
19	0		user	am i free on friday	CALENDAR	check_availability	am <relationship_name> i </relationship_name> <availability> free </availability> on <start_date> friday </start_date>	[{"slot_name":"start_date","slot_value":"friday","meta_data":{"Timex":"<TIMEX3 tid=\"0\" type=\"Date\" value=\"XXXX-WXX-5\">friday</TIMEX3>"}},{"slot_name":"relationship_name","slot_value":"i","meta_data":{"CanonicalEntity":"myself"}},{"slot_name":"availability","slot_value":"free","meta_data":{"CanonicalEntity":"free"}}]	{"ClientContext_ReferenceTime":["2018-01-01T10:20:30"]}	1	
20	0		user	am i free on monday september 9th	CALENDAR	check_availability	am <relationship_name> i </relationship_name> <availability> free </availability> on <start_date> monday september 9th </start_date>	[{"slot_name":"start_date","slot_value":"monday september 9th","meta_data":{"Timex":"<TIMEX3 tid=\"0\" type=\"Date\" value=\"XXXX-09-09\">monday september 9th</TIMEX3>"}},{"slot_name":"relationship_name","slot_value":"i","meta_data":{"CanonicalEntity":"myself"}},{"slot_name":"availability","slot_value":"free","meta_data":{"CanonicalEntity":"free"}}]	{"ClientContext_ReferenceTime":["2018-01-01T10:20:30"]}	1	
21	0		user	am i free on saturday	CALENDAR	check_availability	am <relationship_name> i </relationship_name> <availability> free </availability> on <start_date> saturday </start_date>	[{"slot_name":"start_date","slot_value":"saturday","meta_data":{"Timex":"<TIMEX3 tid=\"0\" type=\"Date\" value=\"XXXX-WXX-6\">saturday</TIMEX3>"}},{"slot_name":"relationship_name","slot_value":"i","meta_data":{"CanonicalEntity":"myself"}},{"slot_name":"availability","slot_value":"free","meta_data":{"CanonicalEntity":"free"}}]	{"ClientContext_ReferenceTime":["2018-01-01T10:20:30"]}	1	
31	0		user	do i have anything from 6 pm to 10 pm	CALENDAR	find_calendar_entry	do i have anything from <start_time> 6 pm </start_time> to <end_time> 10 pm </end_time>	[{"slot_name":"start_time","slot_value":"6 pm","meta_data":{"Timex":"<TIMEX3 tid=\"0\" type=\"Time\" value=\"T18\">6 pm</TIMEX3>"}},{"slot_name":"end_time","slot_value":"10 pm","meta_data":{"Timex":"<TIMEX3 tid=\"0\" type=\"Time\" value=\"T22\">10 pm</TIMEX3>"}}]	{"ClientContext_ReferenceTime":["2018-01-01T10:20:30"]}	1	
32	0		user	do i have anything on saturday	CALENDAR	find_calendar_entry	do i have anything on <start_date> saturday </start_date>	[{"slot_name":"start_date","slot_value":"saturday","meta_data":{"Timex":"<TIMEX3 tid=\"0\" type=\"Date\" value=\"XXXX-WXX-6\">saturday</TIMEX3>"}}]	{"ClientContext_ReferenceTime":["2018-01-01T10:20:30"]}	1	
33	0		user	do i have anything scheduled on saturday	CALENDAR	find_calendar_entry	do i have anything scheduled on <start_date> saturday </start_date>	[{"slot_name":"start_date","slot_value":"saturday","meta_data":{"Timex":"<TIMEX3 tid=\"0\" type=\"Date\" value=\"XXXX-WXX-6\">saturday</TIMEX3>"}}]	{"ClientContext_ReferenceTime":["2018-01-01T10:20:30"]}	1	
34	0		user	do i have anything this weekend	CALENDAR	find_calendar_entry	do i have anything <start_date> this weekend </start_date>	[{"slot_name":"start_date","slot_value":"this weekend","meta_data":{"Timex":"<TIMEX3 tid=\"0\" type=\"Date\" value=\"2018-W01-WE\">this weekend</TIMEX3>"}}]	{"ClientContext_ReferenceTime":["2018-01-01T10:20:30"]}	1	
