ConversationId	MessageId	MessageTimestamp	MessageFrom	MessageText	JudgedDomain	JudgedIntent	JudgedConstraints	MetaData	ConversationContext	Frequency	ImplicitConstraints
TeamsMessage-1	0		user	messages from Soumya	TEAMSMESSAGE	search_message	messages from <contact_name_from>Soumya</contact_name_from>	[]		1	
TeamsMessage-2	0		user	messages from Soumya last week	TEAMSMESSAGE	search_message	messages from <contact_name_from>Soumya</contact_name_from> <start_date>last week</start_date>	[]		1	
TeamsMessage-3	0		user	messages from last week	TEAMSMESSAGE	search_message	messages from <start_date>last week</start_date>	[]		1	
TeamsMessage-4	0		user	messages from Ignite channel	TEAMSMESSAGE	search_message	messages from <channel>Ignite</channel> channel	[]		1	
TeamsMessage-5	0		user	messages from Ignite channel about planning	TEAMSMESSAGE	search_message	messages from <channel>Ignite</channel> channel about <keyword>planning</keyword>	[]		1	
TeamsMessage-6	0		user	messages from Soumya in Ignite channel about planning last week	TEAMSMESSAGE	search_message	messages from <contact_name_from>Soumya</contact_name_from> in <channel>Ignite</channel> channel about <keyword>planning</keyword> <start_date>last week</start_date>	[]		1	
TeamsMessage-7	0		user	find messages from Soumya	TEAMSMESSAGE	search_message	find messages from <contact_name_from>Soumya</contact_name_from>	[]		1	
TeamsMessage-8	0		user	Messages from Shuyin last week on OKR2	TEAMSMESSAGE	search_message	Messages from <contact_name_from>Shuyin</contact_name_from> <start_date>last week</start_date> on <keyword>OKR2</keyword>	[]		1	
TeamsMessage-9	0		user	Messages from NL Search channel last week on scope	TEAMSMESSAGE	search_message	Messages from <channel>NL Search</channel> channel <start_date>last week</start_date> on <keyword>scope</keyword>	[]		1	
TeamsMessage-10	0		user	Messages on Transfer learning between Sep 26 and Oct 1	TEAMSMESSAGE	search_message	Messages on <keyword>Transfer learning</keyword> between <start_date>Sep 26</start_date> and <end_date>Oct 1</end_date>	[]		1	
TeamsMessage-11	0		user	Messages about ignite planning in LUKAS Channel	TEAMSMESSAGE	search_message	Messages about <keyword>ignite planning</keyword> in <channel>LUKAS</channel> channel	[]		1	
TeamsMessage-12	0		user	Messages about LT review deck between Oct 1 and Oct 10	TEAMSMESSAGE	search_message	Messages about <keyword>LT review deck</keyword> between <start_date>Oct 1</start_date> and <end_date>Oct 10</end_date>	[]		1	
TeamsMessage-13	0		user	Messages from Ling in NL Search channel	TEAMSMESSAGE	search_message	Messages from <contact_name_from>Ling</contact_name_from> in <channel>NL Search</channel> channel	[]		1	
TeamsMessage-14	0		user	Messages from last week of sep	TEAMSMESSAGE	search_message	Messages from <start_date>last week of sep</start_date>	[]		1	
TeamsMessage-15	0		user	Messages from Shuyin	TEAMSMESSAGE	search_message	Messages from <contact_name_from>Shuyin</contact_name_from>	[]		1	
TeamsMessage-16	0		user	Messages to Shuyin	TEAMSMESSAGE	search_message	Messages to <contact_name_to>Shuyin</contact_name_to>	[]		1	
TeamsMessage-17	0		user	Messages with Shuyin	TEAMSMESSAGE	search_message	Messages with <contact_name>Shuyin</contact_name>	[]		1	
TeamsMessage-18	0		user	Messages from last week	TEAMSMESSAGE	search_message	Messages from <start_date>last week</start_date>	[]		1	
TeamsMessage-19	0		user	Messages from Monday to Wednesday	TEAMSMESSAGE	search_message	Messages from <start_date>Monday</start_date> to <end_date>Wednesday</end_date>	[]		1	
TeamsMessage-20	0		user	Messages from last night	TEAMSMESSAGE	search_message	Messages from <start_time>last night</start_time>	[]		1	
TeamsMessage-21	0		user	Messages from last night to this morning	TEAMSMESSAGE	search_message	Messages from <start_time>last night</start_time> to <end_time>this morning</end_time>	[]		1	
TeamsMessage-22	0		user	Messages about Q2 planning	TEAMSMESSAGE	search_message	Messages about <keyword>Q2 planning</keyword>	[]		1	
TeamsMessage-23	0		user	Messages in the LUKAS channel 	TEAMSMESSAGE	search_message	Messages in the <channel>LUKAS</channel> channel 	[]		1	
TeamsMessage-24	0		user	Messages from the lunch reading group chat 	TEAMSMESSAGE	search_message	Messages from the <chat_name>lunch reading group</chat_name> chat 	[]		1	
TeamsMessage-25	0		user	Messages with attachments	TEAMSMESSAGE	search_message	Messages with <has_attachment>attachments</has_attachment>	[]		1	
TeamsMessage-26	0		user	Messages from Bob	TEAMSMESSAGE	search_message	Messages from <contact_name_from>Bob</contact_name_from>	[]		1	
TeamsMessage-27	0		user	Find messages last week about planning	TEAMSMESSAGE	search_message	Find messages <start_date>last week</start_date> about <keyword>planning</keyword>	[]		1	
TeamsMessage-28	0		user	Search my messages	TEAMSMESSAGE	search_message	Search my messages	[]		1	
TeamsMessage-29	0		user	Messages from Bob about planning	TEAMSMESSAGE	search_message	Messages from <contact_name_from>Bob</contact_name_from> about <keyword>planning</keyword>	[]		1	
TeamsMessage-30	0		user	Find Messages from last week	TEAMSMESSAGE	search_message	Find Messages from <start_date>last week</start_date>	[]		1	
TeamsMessage-31	0		user	Chats from planning channel	TEAMSMESSAGE	search_message	Chats from <channel>planning</channel> channel	[]		1	
TeamsMessage-32	0		user	From Bob about planning	TEAMSMESSAGE	search_message	From <contact_name_from>Bob</contact_name_from> about <keyword>planning</keyword>	[]		1	
TeamsMessage-33	0		user	Chats from Jane	TEAMSMESSAGE	search_message	Chats from <contact_name_from>Jane</contact_name_from>	[]		1	
TeamsMessage-34	0		user	Find what Joe said about Windows	TEAMSMESSAGE	search_message	Find what <contact_name_from>Joe</contact_name_from> said about <keyword>Windows</keyword>	[]		1	
TeamsMessage-35	0		user	Messages from Mary Johnson	TEAMSMESSAGE	search_message	Messages from <contact_name_from>Mary Johnson</contact_name_from>	[]		1	
TeamsMessage-36	0		user	Messages by Mary in the planning channel	TEAMSMESSAGE	search_message	Messages by <contact_name_from>Mary</contact_name_from> in the <channel>planning</channel> channel	[]		1	
TeamsMessage-37	0		user	To Bob about planning	TEAMSMESSAGE	search_message	To <contact_name_to>Bob</contact_name_to> about <keyword>planning</keyword>	[]		1	
TeamsMessage-38	0		user	Chats to Jane	TEAMSMESSAGE	search_message	Chats to <contact_name_to>Jane</contact_name_to>	[]		1	
TeamsMessage-39	0		user	Find what I said to Joe about Windows	TEAMSMESSAGE	search_message	Find what <contact_name_from>I</contact_name_from> said to <contact_name_to>Joe</contact_name_to> about <keyword>Windows</keyword>	[]		1	
TeamsMessage-40	0		user	Messages to Mary Johnson	TEAMSMESSAGE	search_message	Messages to <contact_name_to>Mary Johnson</contact_name_to>	[]		1	
TeamsMessage-41	0		user	Find my message to Bob about the demo	TEAMSMESSAGE	search_message	Find my message to <contact_name_to>Bob</contact_name_to> about the <keyword>demo</keyword>	[]		1	
TeamsMessage-42	0		user	Messages with Bob	TEAMSMESSAGE	search_message	Messages with <contact_name>Bob</contact_name>	[]		1	
TeamsMessage-43	0		user	Messages with Bob about planning	TEAMSMESSAGE	search_message	Messages with <contact_name>Bob</contact_name> about <keyword>planning</keyword>	[]		1	
TeamsMessage-44	0		user	Find chat with Bob last Tuesday	TEAMSMESSAGE	search_message	Find chat with <contact_name>Bob</contact_name> <start_date>last Tuesday</start_date>	[]		1	
TeamsMessage-45	0		user	Find messages with Bob	TEAMSMESSAGE	search_message	Find messages with <contact_name>Bob</contact_name>	[]		1	
TeamsMessage-46	0		user	Conversations with Bob in planning channel	TEAMSMESSAGE	search_message	Conversations with <contact_name>Bob</contact_name> in <channel>planning</channel> channel	[]		1	
TeamsMessage-47	0		user	Messages from last Wednesday	TEAMSMESSAGE	search_message	Messages from <start_date>last Wednesday</start_date>	[]		1	
TeamsMessage-48	0		user	Find last weeks chat with John	TEAMSMESSAGE	search_message	Find <start_date>last weeks</start_date> chat with <contact_name>John</contact_name>	[]		1	
TeamsMessage-49	0		user	Messages from Shuyin in November	TEAMSMESSAGE	search_message	Messages from <contact_name_from>Shuyin</contact_name_from> in <start_date>November</start_date>	[]		1	
TeamsMessage-50	0		user	August 30 chats	TEAMSMESSAGE	search_message	<start_date>August 30</start_date> chats	[]		1	
TeamsMessage-51	0		user	Yesterdays messages from Jane	TEAMSMESSAGE	search_message	<start_date>Yesterdays</start_date> messages from <contact_name_from>Jane</contact_name_from>	[]		1	
TeamsMessage-52	0		user	Messages from before last Wednesday	TEAMSMESSAGE	search_message	Messages from before <end_date>last Wednesday</end_date>	[]		1	
