ConversationId	MessageId	MessageTimestamp	MessageFrom	MessageText	CortanaResponse	JudgedDomain	JudgedIntent	JudgedConstraints	MetaData	ConversationContext	Dataset	SampleType	Frequency	GuidelineVersion	NotCallingLU	AppFlavor	SelectionIgnore
0003b2e5-d883-4cba-9e0c-f4cbbc592d1a	0	5/26/2020 6:26:23 PM	user	Hey Cortana where is my next meeting.	I don't see a location for Suggestion list at 12:30 PM.	CALENDAR	find_calendar_where	Hey Cortana where is my <start_time>next</start_time> meeting.	[]		CoW	Speech	2	1.13		uwp	
0009c4e4-7f48-4e1c-a592-fdd589aa84bc	0	5/14/2020 11:08:01 AM	user	Tell me a joke.	The barman says, "We don't serve time travelers in here." A time traveler walks into the bar.	WEB	web_other	tell me a joke	[]		CoW	Speech	41	1.13		uwp	
0014ab24-d4d4-4dbf-b059-391440a8fa02	0	5/15/2020 4:45:25 PM	user	Hey Cortana cancel that.		COMMON	cancel	Hey Cortana cancel that.	[]		CoW	Speech	489	1.13		uwp	
002b0bc9-5dbb-4104-87ee-bcf4433e298a	0	5/20/2020 9:26:56 PM	user	What year did World War Two start?	World War II started on 9/1/1939	NOTSURE	other_domain	What year did World War Two start?	[]		CoW	Speech	1	1.13		uwp	
004be4a1-8908-4b79-9d88-788cc0492ae4	0	5/12/2020 10:32:12 PM	user	Set a reminder.	Sorry, I couldn't find reminder settings for you.	REMINDER	create_single_reminder	set a reminder	[]		CoW	Speech	2	1.13		uwp	
005248ae-12a6-4356-86ba-0736ac3c4dc9	0	5/1/2020 2:02:49 PM	user	Create a meeting for me.	Sorry I don't know the answer to this one, but I'm learning.	CALENDAR	create_calendar_entry	Create a meeting for <relationship_name>me</relationship_name>.	[]		CoW	Speech	1	1.13		uwp	
005c877d-c9b3-4308-a41f-8f63acdd898c	0	5/19/2020 3:35:01 PM	user	Open Microsoft.	OK.	ONDEVICE	open_application	open <app_name>microsoft</app_name>	[]		CoW	Speech	6	1.13		uwp	
005c877d-c9b3-4308-a41f-8f63acdd898c	1	5/19/2020 3:35:07 PM	user_other		Which Microsoft do you want?				[]		CoW	Speech	6	1.13		uwp	
006f1394-50a4-4e23-b233-ecaf06d9788e	0	5/20/2020 8:28:50 AM	user	Recent files.		FILES	file_search	<file_recency>Recent</file_recency> files.	[]		CoW	Speech	1	1.13		uwp	
007127e9-ab66-4be5-bb6b-3c29becdece2	0	5/11/2020 10:13:12 PM	user	How many days until Independence Day?	According to wikipedia.org, Independence Day is a federal holiday in the United States commemorating the Declaration of Independence of the United States, on July 4, 1776.	NOTSURE	other_domain	How many days until Independence Day?	[]		CoW	Speech	2	1.13		uwp	
0086b340-017c-46eb-ae44-bd7117fd29b5	0	5/8/2020 7:10:27 AM	user	What's on my To Do List?	You've got 21 items on your Tasks list.	MYSTUFF	find_my_stuff	What's on my <keyword>To Do</keyword> <data_type>List</data_type>?	[]		CoW	Speech	5	1.13		uwp	
008efe6d-540b-416b-8f1c-83f09342f9f5	0	5/8/2020 10:29:41 PM	user	Delete hybrid list.	To delete your lists, you’ll need to edit in Microsoft To Do	NOTE	delete_note	Delete <title>hybrid</title> <data_type>list</data_type>.	[]		CoW	Speech	1	1.13		uwp	
00b05b33-4801-4dc3-b328-dbc8958583a7	0	5/22/2020 9:45:09 PM	user	Is Costco issaquah open at 7:00 PM today?	Costco Wholesale  is open today from  10:00 AM  to  8:30 PM .	NOTSURE	other_domain	Is Costco issaquah open at 7:00 PM today?	[]		CoW	Speech	7	1.13		uwp	
00c35542-fc3a-4c61-ad07-392c62cfab5b	0	5/12/2020 4:30:48 PM	user	How far is Delhi?	I'm sorry, but I can't help with that yet.	NOTSURE	other_domain	How far is Delhi?	[]		CoW	Speech	1	1.13		uwp	
