TurnNumber	PreviousTurnIntent	query	intent
0		Open this paper	file_open
0		Please open the last document I updated	file_open
0		share my recent file	file_share
0		sharing files with conversation 10 pm on Wednesday	file_share
0		hey cortana. share voice skills pictures I just edited using the meeting	file_share
0		Share the deck I was recently working on.	file_share
0		share voice skills files with jay	file_share
0		hey cortana show me pictures taken in the last month	file_search
0		Navigate in word	file_navigate
0		Open deployment timeline downloaded files	file_open
0		Retrieve what I was only working on and open it up.	file_open
0		Open a OneNote.	file_open
0		Elton john's I need a	file_other
0		Open offline metrics review deck.	file_open
0		ppt called by shower	file_search
0		what happened to the music i downloaded	file_search
0		Navigate to a file	file_navigate
0		hi Cortana, search for my work flow visio document	file_search
0		Take me to where I can see all my recent files	file_navigate
0		Open the document that I was using	file_open
0		temporary files	file_search
0		Cortana, find all the text files I made since Friday.	file_search
0		open a file LT review discussion	file_open
0		Go in OneNote	file_navigate
0		Retrieve what I is just working on and open it up.	file_open
0		Share lt review paper recent using this meeting participants	file_share
0		reopening the last document I used most recently.	file_open
0		Share lt review memos	file_share
0		One pager shared in email 	file_search
0		I want to see the most recent files I have done	file_navigate
0		can you show me that was closed files.	file_search
0		presentation named by meet a client	file_search
0		show errand with holmoy	file_share
0		Cortana brought up the document I was working on before the telephone interrupted me.	file_navigate
0		please put up the I uploaded document	file_navigate
0		return to previous document	file_navigate
0		Please open my workplace paper	file_open
0		I you need to reopen the document most recent	file_open
0		sharing files with Anna Green	file_share
0		Share the deck	file_share
0		Cortana open my bills doucments again	file_open
0		Open sales team road map file.	file_open
0		open the document last active last weeks.	file_open
0		show me photos february twenty fifteen	file_search
0		what spreadsheets do i have from after august 4th?	file_search
0		sharefile with my next meeting	file_share
0		Bring up the paper I've recently used.	file_navigate
0		Find the document I was just working on and open it please.	file_open
0		Show me of my last active files	file_search
0		download workplace file	file_download
0		please bring up the I updated document	file_navigate
0		Share workplace ppt	file_share
0		Open ship room powerpoint	file_open
0		I will send you the document	file_share
0		Share the paper last active with the conversation	file_share
0		Open SQI metrics 2018-2019 file.	file_open
0		Open lt review article recently	file_open
0		cortana Show with next meeting.	file_share
0		share lt review file using Jacob	file_share
0		Can you please open your document I've recently used?	file_open
0		Navigate to excel	file_navigate
0		Show me my I used most recently files	file_search
0		save voice skills book	file_download
0		Share brownbag document I was last working on to the conversation	file_share
0		Share the paper recently to voice skills stand up chat	file_share
0		what is my newly opened files	file_navigate
0		Pull up deployment timeline doc	file_open
0		my photo file	file_search
0		share my recent file	file_share
0		hey cortana. share that files with my tomorrow design sync conversation	file_share
0		find my files	file_search
0		can you find the amber ' s haircut spec by sarantsev faione khakhar plachetsky	file_search
0		Share insurance spreadsheet recently using 11AM meeting attendees	file_share
0		open the document I was working on today to page one.	file_open
0		download most recently used file	file_download
