TurnNumber	PreviousTurnIntent	query	intent	PreviousTurnDomain
0		cortana sharefile with roger	file_share	
0		cortana Sharefile lt review with this meeting attendees	file_share	
0		cortana Sharefile voice skills of this meeting	file_share	
0		cortana sharefile with my 10 pm on Wednesday meeting	file_share	
0		cortana sharefile with my next meeting participants	file_share	
0		cortana sharefile with my chat at tomorrow	file_share	
0		cortana sharefile with my 11AM meeting attendees	file_share	
0		cortana Sharefile most recently used using shiproom meeting participants	file_share	
0		cortana sharefile with my meeting attendees at tomorrow	file_share	
0		cortana sharefile specs with mohit	file_share	
0		cortana sharefile with conversation 11AM	file_share	
0		cortana Sharefile insurance of shiproom meeting participants	file_share	
0		cortana Sharefile specs with addictive.	file_share	
0		cortana Sharefile with next meeting.	file_share	
0		cortana sharefile with this chat	file_share	
0		cortana sharefile with my chat in 11AM	file_share	
0		cortana sharefile skills with mohit	file_share	
0		cortana Sharefile brownbag of this conversation	file_share	
0		cortana sharefile with conversation 10 pm on Wednesday	file_share	
0		cortana sharefile with jay ongg	file_share	
0		cortana sharefile with my tomorrow meeting attendees	file_share	
0		cortana sharefile skills with mohit	file_share	
0		cortana sharefile with roger	file_share	
0		cortana sharefile with my meeting participants in 10 pm on Wednesday	file_share	
0		cortana sharefile with my 10 pm on Wednesday meeting	file_share	
0		cortana Sharefile lt review with this meeting attendees	file_share	
0		cortana sharefile skills with mohit	file_share	
0		cortana sharefile with my meeting participants in tomorrow	file_share	
0		cortana sharefile with roger	file_share	
0		cortana sharefile with my next meeting	file_share	
0		cortana sharefile with my 11AM meeting participants	file_share	
0		cortana sharefile with my meeting participants at 10 pm on Wednesday	file_share	
0		cortana sharefile with my 10 pm on Wednesday meeting	file_share	
0		cortana sharefile with conversation 10 pm on Wednesday	file_share	
0		cortana sharefile with jay	file_share	
0		cortana sharefile with conversation 10 pm on Wednesday	file_share	
0		cortana Sharefile brownbag of design sync meeting attendees	file_share	
0		cortana sharefile with John	file_share	
0		cortana sharefile with meeting attendees 11AM	file_share	
0		cortana Sharefile most recently used in shiproom meeting	file_share	
0		cortana sharefile with my next meeting	file_share	
0		cortana Sharefile this in shiproom chat	file_share	
0		cortana sharefile with my conversation at next	file_share	
0		cortana sharefile specs with mohit	file_share	
0		cortana sharefile with jay	file_share	
0		cortana Sharefile voice skills of this conversation	file_share	
0		cortana sharefile with my conversation at tomorrow	file_share	
0		cortana sharefile with conversation 10 pm on Wednesday	file_share	
0		cortana Sharefile sex with this chat.	file_share	
0		cortana sharefile with my 11AM chat	file_share	
0		cortana Sharefile LT review discussion in design sync meeting	file_share	
0		cortana sharefile with meeting tomorrow	file_share	
0		cortana Sharefile sex with this chat.	file_share	
0		cortana sharefile with conversation 10 pm on Wednesday	file_share	
0		cortana Sharefile this in shiproom chat	file_share	
0		cortana Sharefile the in shiproom meeting attendees	file_share	
0		cortana Sharefile LT review discussion in voice skills stand up meeting attendees	file_share	
0		cortana sharefile skills with mohit	file_share	
0		cortana Sharefile with next meeting.	file_share	
0		cortana sharefile with my conversation at 11AM	file_share	
0		cortana sharefile skills with mohit	file_share	
0		cortana sharefile with my chat in 11AM	file_share	
0		cortana sharefile with John	file_share	
0		cortana sharefile with conversation tomorrow	file_share	
0		cortana Sharefile that of design sync meeting participants	file_share	
0		cortana Sharefile LT review discussion in voice skills stand up meeting attendees	file_share	
0		cortana sharefile with meeting attendees next	file_share	
0		cortana Sharefile payroll with shiproom meeting attendees	file_share	
0		cortana sharefile with Jacob	file_share	
0		cortana sharefile with my conversation at 10 pm on Wednesday	file_share	
0		cortana sharefile with jay ongg	file_share	
0		cortana sharefile with jay ongg	file_share	
0		cortana sharefile with meeting tomorrow	file_share	
0		cortana Sharefile LT review discussion with this meeting	file_share	
0		cortana sharefile with my meeting participants in 10 pm on Wednesday	file_share	
0		cortana sharefile with meeting tomorrow	file_share	
0		cortana Sharefile the to voice skills stand up meeting	file_share	
0		cortana Sharefile voice skills of this conversation	file_share	
0		cortana sharefile with my chat at tomorrow	file_share	
0		cortana sharefile with John	file_share	
0		cortana sharefile with Jacob	file_share	
0		cortana sharefile with my meeting in 11AM	file_share	
0		cortana Sharefile specs with next meeting.	file_share	
0		cortana sharefile with my meeting participants in tomorrow	file_share	
0		cortana Sharefile that I created to voice skills stand up chat	file_share	
0		cortana Sharefile most recently used using design sync chat	file_share	
0		cortana Sharefile lt review with this meeting attendees	file_share	
0		cortana sharefile with my meeting at tomorrow	file_share	
0		cortana sharefile with my next meeting	file_share	
0		cortana sharefile with my chat at tomorrow	file_share	
0		cortana sharefile with conversation 10 pm on Wednesday	file_share	
0		cortana Sharefile voice skills of this meeting	file_share	
0		cortana Sharefile that I created with this chat	file_share	
0		cortana sharefile with meeting participants tomorrow	file_share	
0		cortana Sharefile specs with addictive.	file_share	
0		cortana sharefile with my tomorrow meeting participants	file_share	
0		cortana Sharefile with next meeting.	file_share	
0		cortana Sharefile specs with Jay.	file_share	
0		cortana sharefile with John	file_share	
0		cortana sharefile specs with mohit	file_share	
