MessageText	JudgedDomain	JudgedConstraints	JudgedIntent
debut invitation with attachments from march to april	EMAILSEARCH	<keyword> debut invitation </keyword> with <attachment> attachments </attachment> from <start_date> march </start_date> to <end_date> april </end_date>	search_email
file from fred to barney with attachments re rocks	EMAILSEARCH	 file  from <contact_name_from> fred </contact_name_from> to <contact_name_to> barney </contact_name_to> with <attachment> attachments </attachment> re <keyword> rocks </keyword>	search_email
document with attachment from august	EMAILSEARCH	 document  with <attachment> attachment </attachment> from <start_date> august </start_date>	search_email
document from bob with an attachment	EMAILSEARCH	 document  from <contact_name_from> bob </contact_name_from> with an <attachment> attachment </attachment>	search_email
file from mom with attachments	EMAILSEARCH	 file  from <relationship_name_from> mom </relationship_name_from> with <attachment> attachments </attachment>	search_email
ppt attachment from dad	EMAILSEARCH	<attachment_type> ppt </attachment_type> <attachment> attachment </attachment> from <relationship_name_from> dad </relationship_name_from>	search_email
document with attachment from december about tigers	EMAILSEARCH	 document  with <attachment> attachment </attachment> from <start_date> december </start_date> about <keyword> tigers </keyword>	search_email
i want to see documents on txy project with attachments	EMAILSEARCH	i want to see  documents  on <keyword> txy project </keyword> with <attachment> attachments </attachment>	search_email
file with attachments last week on hiking	EMAILSEARCH	 file  with <attachment> attachments </attachment> <start_date> last week </start_date> on <keyword> hiking </keyword>	search_email
documents to dave with attachment	EMAILSEARCH	 documents  to <contact_name_to> dave </contact_name_to> with <attachment> attachment </attachment>	search_email
documents with attachment from ryan	EMAILSEARCH	 documents  with <attachment> attachment </attachment> from <contact_name_from> ryan </contact_name_from>	search_email
what is last attachment that jose gomezangulo sent me	EMAILSEARCH	what is <order_ref> last </order_ref> <attachment> attachment </attachment> that <contact_name_from> jose gomezangulo </contact_name_from> sent me	search_email
what was document from hank with attachment	EMAILSEARCH	what was  document  from <contact_name_from> hank </contact_name_from> with <attachment> attachment </attachment>	search_email
large attachment	EMAILSEARCH	<emailsearch_other> large </emailsearch_other> <attachment> attachment </attachment>	search_email
i want to see files on txy project with attachments	EMAILSEARCH	i want to see  files  on <keyword> txy project </keyword> with <attachment> attachments </attachment>	search_email
find williams documents with attachment	EMAILSEARCH	find <contact_name> william </contact_name> s  documents  with <attachment> attachment </attachment>	search_email
doc attachment from han zhang	EMAILSEARCH	<attachment_type> doc </attachment_type> <attachment> attachment </attachment> from <contact_name_from> han zhang </contact_name_from>	search_email
files about zoning law attachment	EMAILSEARCH	 files  about <keyword> zoning law </keyword> <attachment> attachment </attachment>	search_email
documents with attachments from lia	EMAILSEARCH	 documents  with <attachment> attachments </attachment> from <contact_name_from> lia </contact_name_from>	search_email
file messages that have attachments	EMAILSEARCH	 file  messages that have <attachment> attachments </attachment>	search_email
attachment excels document	EMAILSEARCH	<attachment> attachment </attachment> <attachment_type> excels </attachment_type>  document 	search_email
document from december through today with attachments in them	EMAILSEARCH	 document  from <start_date> december </start_date> through <end_date> today </end_date> with <attachment> attachments </attachment> in them	search_email
doctors document with xray attachment	EMAILSEARCH	<relationship_name_from> doctor </relationship_name_from> s  document  with <keyword> xray </keyword> <attachment> attachment </attachment>	search_email
files about big dig with attachment	EMAILSEARCH	 files  about <keyword> big dig </keyword> with <attachment> attachment </attachment>	search_email
file with attachments re conference sent from march 2019 to july 2019	EMAILSEARCH	 file  with <attachment> attachments </attachment> re <keyword> conference </keyword> sent from <start_date> march 2019 </start_date> to <end_date> july 2019 </end_date>	search_email
received file with attachment from jamie	EMAILSEARCH	received  file  with <attachment> attachment </attachment> from <contact_name_from> jamie </contact_name_from>	search_email
docx was included on attachment	EMAILSEARCH	<attachment_type> docx </attachment_type> was included on <attachment> attachment </attachment>	search_email
open file on visiting hospital with vcs attachment	EMAILSEARCH	open  file  on <keyword> visiting hospital </keyword> with <attachment_type> vcs </attachment_type> <attachment> attachment </attachment>	search_email
documents that has spec attachments	EMAILSEARCH	 documents  that has <attachment_type> spec </attachment_type> <attachment> attachments </attachment>	search_email
document from jane to jon with attachment for new parking garage	EMAILSEARCH	 document  from <contact_name_from> jane </contact_name_from> to <contact_name_to> jon </contact_name_to> with <attachment> attachment </attachment> for <keyword> new parking garage </keyword>	search_email
halloween file with attachment from sydney to luke	EMAILSEARCH	<keyword> halloween </keyword>  file  with <attachment> attachment </attachment> from <contact_name_from> sydney </contact_name_from> to <contact_name_to> luke </contact_name_to>	search_email
interesting show me documents from malik with attachments	EMAILSEARCH	interesting show me  documents  from <contact_name_from> malik </contact_name_from> with <attachment> attachments </attachment>	search_email
open documents with attachments from mary	EMAILSEARCH	open  documents  with <attachment> attachments </attachment> from <contact_name_from> mary </contact_name_from>	search_email
file from gilligan to skipper with attachment about repairing minnow from july	EMAILSEARCH	 file  from <contact_name_from> gilligan </contact_name_from> to <contact_name_to> skipper </contact_name_to> with <attachment> attachment </attachment> about <keyword> repairing minnow </keyword> from <start_date> july </start_date>	search_email
find files from malik with attachments in december	EMAILSEARCH	find  files  from <contact_name_from> malik </contact_name_from> with <attachment> attachments </attachment> in <start_date> december </start_date>	search_email
file from professor with attachment	EMAILSEARCH	 file  from <contact_name_from> professor </contact_name_from> with <attachment> attachment </attachment>	search_email
ryan work pdfs attachment	EMAILSEARCH	<contact_name> ryan </contact_name> <keyword> work </keyword> <attachment_type> pdfs </attachment_type> <attachment> attachment </attachment>	search_email
supply requests with attachments sent from may to june	EMAILSEARCH	<keyword> supply requests </keyword> with <attachment> attachments </attachment> sent from <start_date> may </start_date> to <end_date> june </end_date>	search_email
recent files with attachments	EMAILSEARCH	<order_ref> recent </order_ref>  files  with <attachment> attachments </attachment>	search_email
file in july with fireworks attachment	EMAILSEARCH	 file  in <start_date> july </start_date> with <keyword> fireworks </keyword> <attachment> attachment </attachment>	search_email
search for an documents with an attachment sent by barb	EMAILSEARCH	search for an  documents  with an <attachment> attachment </attachment> sent by <contact_name_from> barb </contact_name_from>	search_email
document from christian and june with attachment	EMAILSEARCH	 document  from <contact_name_from> christian </contact_name_from> and <contact_name_from> june </contact_name_from> with <attachment> attachment </attachment>	search_email
