MessageText	JudgedDomain	JudgedConstraints	JudgedIntent
search for file from last may that included attachments	EMAILSEARCH	search for  file  from <start_date> last may </start_date> that included <attachment> attachments </attachment>	search_email
yesterday he sent me an files about png attachments on dogs	EMAILSEARCH	<start_date> yesterday </start_date> he sent <relationship_name_to> me </relationship_name_to> an  files  about <attachment_type> png </attachment_type> <attachment> attachments </attachment> on <keyword> dogs </keyword>	search_email
i want to see file on txy project with attachments	EMAILSEARCH	i want to see  file  on <keyword> txy project </keyword> with <attachment> attachments </attachment>	search_email
file that has slide attachments	EMAILSEARCH	 file  that has <attachment_type> slide </attachment_type> <attachment> attachments </attachment>	search_email
attachments from christmas to new years	EMAILSEARCH	<attachment> attachments </attachment> from <start_date> christmas </start_date> to <end_date> new years </end_date>	search_email
files from greg to vanessa about teaching with attachment	EMAILSEARCH	 files  from <contact_name_from> greg </contact_name_from> to <contact_name_to> vanessa </contact_name_to> about <keyword> teaching </keyword> with <attachment> attachment </attachment>	search_email
files from sally to kenisha with attachment	EMAILSEARCH	 files  from <contact_name_from> sally </contact_name_from> to <contact_name_to> kenisha </contact_name_to> with <attachment> attachment </attachment>	search_email
search for files sent to todd that contain onenotes attachments	EMAILSEARCH	search for  files  sent to <contact_name_to> todd </contact_name_to> that contain <attachment_type> onenotes </attachment_type> <attachment> attachments </attachment>	search_email
peter with attachment vsdm	EMAILSEARCH	<contact_name> peter </contact_name> with <attachment> attachment </attachment> <attachment_type> vsdm </attachment_type>	search_email
file from bob to jack last week with attachments	EMAILSEARCH	 file  from <contact_name_from> bob </contact_name_from> to <contact_name_to> jack </contact_name_to> <start_date> last week </start_date> with <attachment> attachments </attachment>	search_email
find new file from steven with attachments	EMAILSEARCH	find <message_category> new </message_category>  file  from <contact_name_from> steven </contact_name_from> with <attachment> attachments </attachment>	search_email
file with attachment about hip hop	EMAILSEARCH	 file  with <attachment> attachment </attachment> about <keyword> hip hop </keyword>	search_email
file from tim with an attachment about weater	EMAILSEARCH	 file  from <contact_name_from> tim </contact_name_from> with an <attachment> attachment </attachment> about <keyword> weater </keyword>	search_email
from liza attachment sheet	EMAILSEARCH	from <contact_name_from> liza </contact_name_from> <attachment> attachment </attachment> <attachment_type> sheet </attachment_type>	search_email
files from john with mpp attachments	EMAILSEARCH	 files  from <contact_name_from> john </contact_name_from> with <attachment_type> mpp </attachment_type> <attachment> attachments </attachment>	search_email
file attachments about pizza recipes	EMAILSEARCH	 file  <attachment> attachments </attachment> about <keyword> pizza recipes </keyword>	search_email
last weeks file from jamison with attachments	EMAILSEARCH	<start_date> last week </start_date> s  file  from <contact_name_from> jamison </contact_name_from> with <attachment> attachments </attachment>	search_email
new work schedules file from management with attachments	EMAILSEARCH	<keyword> new work schedules </keyword>  file  from <contact_name_from> management </contact_name_from> with <attachment> attachments </attachment>	search_email
file from eka sofia with attachment	EMAILSEARCH	 file  from <contact_name_from> eka sofia </contact_name_from> with <attachment> attachment </attachment>	search_email
files with ppts as attachment	EMAILSEARCH	 files  with <attachment_type> ppts </attachment_type> as <attachment> attachment </attachment>	search_email
vcs attachments file	EMAILSEARCH	<attachment_type> vcs </attachment_type> <attachment> attachments </attachment>  file 	search_email
essay file with draft attachment from january 5th to march 10th	EMAILSEARCH	<keyword> essay </keyword>  file  with <keyword> draft </keyword> <attachment> attachment </attachment> from <start_date> january 5th </start_date> to <end_date> march 10th </end_date>	search_email
file that have credit card expense attachments	EMAILSEARCH	 file  that have <keyword> credit card expense </keyword> <attachment> attachments </attachment>	search_email
file with attachment from cindy from last week	EMAILSEARCH	 file  with <attachment> attachment </attachment> from <contact_name_from> cindy </contact_name_from> from <start_date> last week </start_date>	search_email
files attachment from chris	EMAILSEARCH	 files  <attachment> attachment </attachment> from <contact_name_from> chris </contact_name_from>	search_email
files with attachment from june about teaching	EMAILSEARCH	 files  with <attachment> attachment </attachment> from <start_date> june </start_date> about <keyword> teaching </keyword>	search_email
attachment to mark	EMAILSEARCH	<attachment> attachment </attachment> to <contact_name_to> mark </contact_name_to>	search_email
files from bob with an attachment	EMAILSEARCH	 files  from <contact_name_from> bob </contact_name_from> with an <attachment> attachment </attachment>	search_email
pdf sent attachments	EMAILSEARCH	<attachment_type> pdf </attachment_type> sent <attachment> attachments </attachment>	search_email
find file with attachments for today	EMAILSEARCH	find  file  with <attachment> attachments </attachment> for <start_date> today </start_date>	search_email
show me attachment xlsx with tim	EMAILSEARCH	show me <attachment> attachment </attachment> <attachment_type> xlsx </attachment_type> with <contact_name> tim </contact_name>	search_email
file with onenotes attachments re bills from june 2016 to july 2017	EMAILSEARCH	 file  with <attachment_type> onenotes </attachment_type> <attachment> attachments </attachment> re <keyword> bills </keyword> from <start_date> june 2016 </start_date> to <end_date> july 2017 </end_date>	search_email
file to burnhai quarma but only if they have attachments and are from june 1 through june 9	EMAILSEARCH	 file  to <contact_name_to> burnhai quarma </contact_name_to> but only if they have <attachment> attachments </attachment> and are from <start_date> june 1 </start_date> through <end_date> june 9 </end_date>	search_email
file attachment from mom	EMAILSEARCH	 file  <attachment> attachment </attachment> from <relationship_name_from> mom </relationship_name_from>	search_email
file sent from alan from april 2019 with attachment about anniversary party	EMAILSEARCH	 file  sent from <contact_name_from> alan </contact_name_from> from <start_date> april 2019 </start_date> with <attachment> attachment </attachment> about <keyword> anniversary party </keyword>	search_email
messages from dave with vsd attachments	EMAILSEARCH	messages from <contact_name_from> dave </contact_name_from> with <attachment_type> vsd </attachment_type> <attachment> attachments </attachment>	search_email
file with attachment from kelly about surgery	EMAILSEARCH	 file  with <attachment> attachment </attachment> from <contact_name_from> kelly </contact_name_from> about <keyword> surgery </keyword>	search_email
files sent from anna three weeks ago with attachment	EMAILSEARCH	 files  sent from <contact_name_from> anna </contact_name_from> <start_date> three weeks ago </start_date> with <attachment> attachment </attachment>	search_email
files from colton with an attachment	EMAILSEARCH	 files  from <contact_name_from> colton </contact_name_from> with an <attachment> attachment </attachment>	search_email
attachment file from goku mpt	EMAILSEARCH	<attachment> attachment </attachment>  file  from <contact_name_from> goku </contact_name_from> <attachment_type> mpt </attachment_type>	search_email
files sent to john with docs attachment	EMAILSEARCH	 files  sent to <contact_name_to> john </contact_name_to> with <attachment_type> docs </attachment_type> <attachment> attachment </attachment>	search_email
show me all of my file with attachments from december	EMAILSEARCH	show me all of my  file  with <attachment> attachments </attachment> from <start_date> december </start_date>	search_email
attachments for trader joes in file	EMAILSEARCH	<attachment> attachments </attachment> for <keyword> trader joeaposs </keyword> in  file 	search_email
retirement party files with attachment	EMAILSEARCH	<keyword> retirement party </keyword>  files  with <attachment> attachment </attachment>	search_email
message about headphones including attachment	EMAILSEARCH	message about <keyword> headphones </keyword> including <attachment> attachment </attachment>	search_email
business files with attachment from sydney to luke	EMAILSEARCH	<keyword> business </keyword>  files  with <attachment> attachment </attachment> from <contact_name_from> sydney </contact_name_from> to <contact_name_to> luke </contact_name_to>	search_email
files with october attachment	EMAILSEARCH	 files  with <start_date> october </start_date> <attachment> attachment </attachment>	search_email
from cindy attachment ppt	EMAILSEARCH	from <contact_name_from> cindy </contact_name_from> <attachment> attachment </attachment> <attachment_type> ppt </attachment_type>	search_email
with attachments on monday	EMAILSEARCH	with <attachment> attachments </attachment> on <start_date> monday </start_date>	search_email
file about zoning law attachment	EMAILSEARCH	 file  about <keyword> zoning law </keyword> <attachment> attachment </attachment>	search_email
ryan work vst attachment	EMAILSEARCH	<contact_name> ryan </contact_name> <keyword> work </keyword> <attachment_type> vst </attachment_type> <attachment> attachment </attachment>	search_email
attachment vcs angelina	EMAILSEARCH	<attachment> attachment </attachment> <attachment_type> vcs </attachment_type> <contact_name> angelina </contact_name>	search_email
download attachment	EMAILSEARCH	download <attachment> attachment </attachment>	search_email
look for pdfs attachments	EMAILSEARCH	look for <attachment_type> pdfs </attachment_type> <attachment> attachments </attachment>	search_email
files about bears with attachment	EMAILSEARCH	 files  about <keyword> bears </keyword> with <attachment> attachment </attachment>	search_email
toothpaste ad attachment in files	EMAILSEARCH	<keyword> toothpaste ad </keyword> <attachment> attachment </attachment> in  files 	search_email
files with ics attachment	EMAILSEARCH	 files  with <attachment_type> ics </attachment_type> <attachment> attachment </attachment>	search_email
attachments from jason	EMAILSEARCH	<attachment> attachments </attachment> from <contact_name_from> jason </contact_name_from>	search_email
file in july with fireworks attachment	EMAILSEARCH	 file  in <start_date> july </start_date> with <keyword> fireworks </keyword> <attachment> attachment </attachment>	search_email
work files with guidelines attachment	EMAILSEARCH	<user_defined_category> work </user_defined_category>  files  with <keyword> guidelines </keyword> <attachment> attachment </attachment>	search_email
mikes file from december with attachment	EMAILSEARCH	<contact_name> mikes </contact_name>  file  from <start_date> december </start_date> with <attachment> attachment </attachment>	search_email
files with attachment about music	EMAILSEARCH	 files  with <attachment> attachment </attachment> about <keyword> music </keyword>	search_email
what file do i have that contain attachments	EMAILSEARCH	what  file  do i have that contain <attachment> attachments </attachment>	search_email
file from bill with attachment	EMAILSEARCH	 file  from <contact_name_from> bill </contact_name_from> with <attachment> attachment </attachment>	search_email
view files from jerry with powerpoint attachment	EMAILSEARCH	view  files  from <contact_name_from> jerry </contact_name_from> with <attachment_type> powerpoint </attachment_type> <attachment> attachment </attachment>	search_email
attachment files from jake from last month	EMAILSEARCH	<attachment> attachment </attachment>  files  from <contact_name_from> jake </contact_name_from> from <start_date> last month </start_date>	search_email
file sent from ana to rigel 7005 booking group with attachments	EMAILSEARCH	 file  sent from <contact_name_from> ana </contact_name_from> to <contact_name_to> rigel 7005 booking group </contact_name_to> with <attachment> attachments </attachment>	search_email
which files do i have that have attachments	EMAILSEARCH	which  files  do i have that have <attachment> attachments </attachment>	search_email
files with attachment from may 6th to may 8th	EMAILSEARCH	 files  with <attachment> attachment </attachment> from <start_date> may 6th </start_date> to <end_date> may 8th </end_date>	search_email
files featuring attachments	EMAILSEARCH	 files  featuring <attachment> attachments </attachment>	search_email
file with attachments dated november 2019	EMAILSEARCH	 file  with <attachment> attachments </attachment> dated <start_date> november 2019 </start_date>	search_email
file sent from a long march 18th with attachment	EMAILSEARCH	 file  sent from <contact_name_from> a long </contact_name_from> <start_date> march 18th </start_date> with <attachment> attachment </attachment>	search_email
goku attachments school	EMAILSEARCH	<contact_name> goku </contact_name> <attachment> attachments </attachment> <keyword> school </keyword>	search_email
file from trisha with attachment from last week	EMAILSEARCH	 file  from <contact_name_from> trisha </contact_name_from> with <attachment> attachment </attachment> from <start_date> last week </start_date>	search_email
view file from jerry with words attachment	EMAILSEARCH	view  file  from <contact_name_from> jerry </contact_name_from> with <attachment_type> words </attachment_type> <attachment> attachment </attachment>	search_email
i need files with attachments received last week	EMAILSEARCH	i need  files  with <attachment> attachments </attachment> received <start_date> last week </start_date>	search_email
find any file from may with attachments	EMAILSEARCH	find any  file  from <start_date> may </start_date> with <attachment> attachments </attachment>	search_email
file on vacation with attachment	EMAILSEARCH	 file  on <keyword> vacation </keyword> with <attachment> attachment </attachment>	search_email
find vivs files with slides attachment	EMAILSEARCH	find <contact_name> viv </contact_name> s  files  with <attachment_type> slides </attachment_type> <attachment> attachment </attachment>	search_email
attachment files from goku excel	EMAILSEARCH	<attachment> attachment </attachment>  files  from <contact_name_from> goku </contact_name_from> <attachment_type> excel </attachment_type>	search_email
from trevor with attachment	EMAILSEARCH	from <contact_name_from> trevor </contact_name_from> with <attachment> attachment </attachment>	search_email
show files from andrew with vdw attachments	EMAILSEARCH	show  files  from <contact_name_from> andrew </contact_name_from> with <attachment_type> vdw </attachment_type> <attachment> attachments </attachment>	search_email
file to reginald with attachment from last month	EMAILSEARCH	 file  to <contact_name_to> reginald </contact_name_to> with <attachment> attachment </attachment> from <start_date> last month </start_date>	search_email
files including football attachments	EMAILSEARCH	 files  including <keyword> football </keyword> <attachment> attachments </attachment>	search_email
decks attachments from lia	EMAILSEARCH	<attachment_type> decks </attachment_type> <attachment> attachments </attachment> from <contact_name_from> lia </contact_name_from>	search_email
files with frog ics attachment	EMAILSEARCH	 files  with <keyword> frog </keyword> <attachment_type> ics </attachment_type> <attachment> attachment </attachment>	search_email
files with ics attachments	EMAILSEARCH	 files  with <attachment_type> ics </attachment_type> <attachment> attachments </attachment>	search_email
files about renovation project from michael with attachment	EMAILSEARCH	 files  about <keyword> renovation project </keyword> from <contact_name_from> michael </contact_name_from> with <attachment> attachment </attachment>	search_email
view june files with attachments	EMAILSEARCH	view <start_date> june </start_date>  files  with <attachment> attachments </attachment>	search_email
file that has six attachments	EMAILSEARCH	 file  that has six <attachment> attachments </attachment>	search_email
stacey hot chocolate pastry sent to files powerpoints attachment	EMAILSEARCH	<keyword> stacey hot chocolate pastry </keyword> sent to  files  <attachment_type> powerpoints </attachment_type> <attachment> attachment </attachment>	search_email
files sent to john with vsdm attachment	EMAILSEARCH	 files  sent to <contact_name_to> john </contact_name_to> with <attachment_type> vsdm </attachment_type> <attachment> attachment </attachment>	search_email
file from saurabh with attachments	EMAILSEARCH	 file  from <contact_name_from> saurabh </contact_name_from> with <attachment> attachments </attachment>	search_email
my recent file with attachments	EMAILSEARCH	my <order_ref> recent </order_ref>  file  with <attachment> attachments </attachment>	search_email
file with surgeon update mpp attachment	EMAILSEARCH	 file  with <keyword> surgeon update </keyword> <attachment_type> mpp </attachment_type> <attachment> attachment </attachment>	search_email
attachments in file vst	EMAILSEARCH	<attachment> attachments </attachment> in  file  <attachment_type> vst </attachment_type>	search_email
file from january with attachments	EMAILSEARCH	 file  from <start_date> january </start_date> with <attachment> attachments </attachment>	search_email
attachments opened with received file	EMAILSEARCH	<attachment> attachments </attachment> opened with received  file 	search_email
files from mark to ned with attachments	EMAILSEARCH	 files  from <contact_name_from> mark </contact_name_from> to <contact_name_to> ned </contact_name_to> with <attachment> attachments </attachment>	search_email
files with vsdm attachment from last two months	EMAILSEARCH	 files  with <attachment_type> vsdm </attachment_type> <attachment> attachment </attachment> from <start_date> last two months </start_date>	search_email
waynes files from october with attachments	EMAILSEARCH	<contact_name> wayne </contact_name> s  files  from <start_date> october </start_date> with <attachment> attachments </attachment>	search_email
tim with decks attachments	EMAILSEARCH	<contact_name> tim </contact_name> with <attachment_type> decks </attachment_type> <attachment> attachments </attachment>	search_email
