ConversationId	MessageId	MessageTimestamp	MessageFrom	MessageText	JudgedDomain	JudgedIntent	JudgedConstraints	MetaData	ConversationContext	Frequency	CortanaResponse
180007001			user	mail i sent to vanessa with attachment	EMAILSEARCH	search_email	<message_type>mail</message_type> <contact_name_from>i</contact_name_from> sent to <contact_name_to>vanessa</contact_name_to> with <attachment>attachment</attachment>	[]		1	
180007002			user	have i received any new emails in the last 2 hours ?	EMAILSEARCH	search_email	have i received any <message_category>new</message_category> emails in the <start_date>last 2 hours</start_date> ?	[]		1	
180007003			user	from byungki last march	EMAILSEARCH	search_email	from <contact_name_from>byungki</contact_name_from> <start_date>last march</start_date>	[]		1	
180007004			user	from ramesh on okr	EMAILSEARCH	search_email	from <contact_name_from>ramesh</contact_name_from> on <keyword>okr</keyword>	[]		1	
180007005			user	to vanessa with attachment	EMAILSEARCH	search_email	to <contact_name_to>vanessa</contact_name_to> with <attachment>attachment</attachment>	[]		1	
180007006			user	lynn robin rajesh deck 2015	EMAILSEARCH	search_email	<contact_name>lynn robin rajesh</contact_name> <attachment_type>deck</attachment_type> <start_date>2015</start_date>	[]		1	
180007007			user	scorecard attachment from august 2017	EMAILSEARCH	search_email	<keyword>scorecard</keyword> <attachment>attachment</attachment> from <start_date>august 2017</start_date>	[]		1	
180007008			user	from shuyin about planning with attachment last week	EMAILSEARCH	search_email	from <contact_name_from>shuyin</contact_name_from> about <keyword>planning</keyword> with <attachment>attachment</attachment> <start_date>last week</start_date>	[]		1	
180007009			user	show me emails from jordan with powerpoint attachments	EMAILSEARCH	search_email	show me <message_type>emails</message_type> from <contact_name_from>jordan</contact_name_from> with <attachment_type>powerpoint</attachment_type> attachments	[]		1	
180007010			user	from mark with attachment	EMAILSEARCH	search_email	from <contact_name_from>mark</contact_name_from> with <attachment>attachment</attachment>	[]		1	
