ConversationId	MessageId	MessageTimestamp	MessageFrom	MessageText	JudgedDomain	JudgedIntent	JudgedConstraints	MetaData	ConversationContext	Frequency
178914312			user	from ming in my inbox	EMAILSEARCH	search_email	from <contact_name_from>ming</contact_name_from> in my <destination_folder>inbox</destination_folder>	[]		1
178914311			user	shaquille o'neal on bcc	EMAILSEARCH	search_email	<contact_name_bcc>shaquille o'neal</contact_name_bcc> on bcc	[]		1
178914310			user	before 04/01/2019	EMAILSEARCH	search_email	before <end_date>04/01/2019</end_date>	[]		1
178914309			user	emails marked important	EMAILSEARCH	search_email	<message_type>emails</message_type> marked <message_category>important</message_category>	[]		1
178914308			user	email with a flag 	EMAILSEARCH	search_email	email with a <message_category>flag</message_category> 	[]		1
178914307			user	emails that are categorized as work	EMAILSEARCH	search_email	<message_type>emails</message_type> that are categorized as <user_defined_category>work</user_defined_category>	[]		1
178914306			user	archived emails	EMAILSEARCH	search_email	<email_state>archived</email_state> <message_type>emails</message_type>	[]		1
178914305			user	from james franco after 07/04/2019 9:47 PM	EMAILSEARCH	search_email	from <contact_name_from>james franco</contact_name_from> after <start_date>07/04/2019</start_date> <start_time>9:47 PM</start_time>	[]		1
178914304			user	after April 1, 2019 cc mj@nba.com            	EMAILSEARCH	search_email	after <start_date>April 1, 2019</start_date> cc <contact_name_cc>mj@nba.com</contact_name_cc>            	[]		1
178914303			user	excel shared by ming 	EMAILSEARCH	search_email	<attachment_type>excel</attachment_type> shared by <contact_name_from>ming</contact_name_from> 	[]		1
178914302			user	between last thursday and last friday from frank underhill	EMAILSEARCH	search_email	between <start_date>last thursday</start_date> and <end_date>last friday</end_date> from <contact_name_from>frank underhill</contact_name_from>	[]		1
178914301			user	video shared by rajkiran	EMAILSEARCH	search_email	<attachment_type>video</attachment_type> shared by <contact_name_from>rajkiran</contact_name_from>	[]		1
178914300			user	emails with my peers 	EMAILSEARCH	search_email	<message_type>emails</message_type> with <relationship_name>my peers</relationship_name> 	[]		1
178914299			user	from ming before noon         	EMAILSEARCH	search_email	from <contact_name_from>ming</contact_name_from> before <end_time>noon</end_time>         	[]		1
178914298			user	emails sent to freddy diaz    	EMAILSEARCH	search_email	<message_type>emails</message_type> sent to <contact_name_to>freddy diaz</contact_name_to>    	[]		1
178914297			user	purple category emails	EMAILSEARCH	search_email	<user_defined_category>purple</user_defined_category> category <message_type>emails</message_type>	[]		1
178914296			user	email marked as red	EMAILSEARCH	search_email	<message_type>email</message_type> marked as <user_defined_category>red</user_defined_category>	[]		1
178914295			user	emails with Q4 OKR in the subject 	EMAILSEARCH	search_email	<message_type>emails</message_type> with <email_subject>Q4 OKR</email_subject> in the subject 	[]		1
178914294			user	Phil Boyle         	EMAILSEARCH	search_email	<contact_name>Phil Boyle</contact_name>         	[]		1
178914293			user	between 10 AM and 11 AM cc josh rosen     	EMAILSEARCH	search_email	between <start_time>10 AM</start_time> and <end_time>11 AM</end_time> cc <contact_name_cc>josh rosen</contact_name_cc>     	[]		1
178914292			user	New email marked for follow up	EMAILSEARCH	search_email	<message_category>New</message_category> <message_type>email</message_type> marked for <message_category>follow up</message_category>	[]		1
178914291			user	show me unread emails	EMAILSEARCH	search_email	show me <message_category>unread</message_category> <message_type>emails</message_type>	[]		1
178914290			user	between 10 AM and 11 AM cc josh rosen	EMAILSEARCH	search_email	between <start_time>10 AM</start_time> and <end_time>11 AM</end_time> cc <contact_name_cc>josh rosen</contact_name_cc>	[]		1
178914289			user	mails with images	EMAILSEARCH	search_email	<message_category>mails</message_category> with <attachment_type>images</attachment_type>	[]		1
178914288			user	emails with a bang	EMAILSEARCH	search_email	<message_type>emails</message_type> with a <message_category>bang</message_category>	[]		1
178914287			user	from nandu with attachment	EMAILSEARCH	search_email	from <contact_name_from>nandu</contact_name_from> with <attachment>attachment</attachment>	[]		1
178914286			user	from james franco after 07/04/2019 9:47 PM       	EMAILSEARCH	search_email	from <contact_name_from>james franco</contact_name_from> after <start_date>07/04/2019</start_date> <start_time>9:47 PM</start_time>       	[]		1
178914285			user	mp4 cc wsmith@microsoft.com	EMAILSEARCH	search_email	<attachment_type>mp4</attachment_type> cc <contact_name_cc>wsmith@microsoft.com</contact_name_cc>	[]		1
178914252			user	attachments from mike	EMAILSEARCH	search_email	<attachment>attachments</attachment> from <contact_name_from>mike</contact_name_from>	[]		1
178914253			user	recent emails from John    	EMAILSEARCH	search_email	<order_ref>recent</order_ref> <message_type>emails</message_type> from <contact_name_from>John</contact_name_from>    	[]		1
178914254			user	9/10 to 9/11   	EMAILSEARCH	search_email	<start_date>9/10</start_date> to <end_date>9/11</end_date>   	[]		1
178914255			user	to freddy diaz    	EMAILSEARCH	search_email	to <contact_name_to>freddy diaz</contact_name_to>    	[]		1
178914256			user	the thread about Q4 ETAs 	EMAILSEARCH	search_email	the <message_type>thread</message_type> about <keyword>Q4 ETAs</keyword> 	[]		1
178914257			user	jay r	EMAILSEARCH	search_email	<contact_name>jay r</contact_name>	[]		1
178914258			user	rajkiran Q4 OKR         	EMAILSEARCH	search_email	<contact_name>rajkiran</contact_name> <keyword>Q4 OKR</keyword>         	[]		1
178914259			user	emails with Q4 OKR in the body 	EMAILSEARCH	search_email	<message_type>emails</message_type> with <email_body>Q4 OKR</email_body> in the body 	[]		1
178914260			user	orange emails	EMAILSEARCH	search_email	<user_defined_category>orange</user_defined_category> <message_type>emails</message_type>	[]		1
