ConversationId	MessageId	MessageTimestamp	MessageFrom	MessageText	JudgedDomain	JudgedIntent	JudgedConstraints	MetaData	ConversationContext	Frequency
6	0		user	Email to Pam on Friday	EMAILSEARCH	search_email	<message_type>Email</message_type> to <contact_name_to>Pam</contact_name_to> on <start_date>Friday</start_date>	[]		1
12	0		user	the one from Gil with photos attached	EMAILSEARCH	search_email	the one from <contact_name_from>Gil</contact_name_from> with <attachment_type>photos</attachment_type> attached	[]		1
15	0		user	Find emails from Goku September 11th to September 12th	EMAILSEARCH	search_email	Find <message_type>emails</message_type> from <contact_name_from>Goku</contact_name_from> <start_date>September 11th</start_date> to <end_date>September 12th</end_date>	[]		1
19	0		user	Display my emails to Ron.	EMAILSEARCH	search_email	Display my <message_type>emails</message_type> to <contact_name_to>Ron</contact_name_to>.	[]		1
30	0		user	dad with google docs	EMAILSEARCH	search_email	<relationship_name>dad</relationship_name> with <attachment_type>google docs</attachment_type>	[]		1
34	0		user	Emails from Connor with video	EMAILSEARCH	search_email	<message_type>Emails</message_type> from <contact_name_from>Connor</contact_name_from> with <attachment_type>video</attachment_type>	[]		1
40	0		user	date night to Rachel	EMAILSEARCH	search_email	<keyword>date night</keyword> to <contact_name_to>Rachel</contact_name_to>	[]		1
45	0		user	email from stacy	EMAILSEARCH	search_email	<message_type>email</message_type> from <contact_name_from>stacy</contact_name_from>	[]		1
46	0		user	email to Jim about trip	EMAILSEARCH	search_email	<message_type>email</message_type> to <contact_name_to>Jim</contact_name_to> about <keyword>trip</keyword>	[]		1
48	0		user	I had an email I kept from Jim on November 22nd.	EMAILSEARCH	search_email	I had an <message_type>email</message_type> I kept from <contact_name_from>Jim</contact_name_from> on <start_date>November 22nd</start_date>.	[]		1
50	0		user	I want emails from joe	EMAILSEARCH	search_email	I want <message_type>emails</message_type> from <contact_name_from>joe</contact_name_from>	[]		1
53	0		user	from Cindy attachment ZIP	EMAILSEARCH	search_email	from <contact_name_from>Cindy</contact_name_from> <attachment>attachment</attachment> <attachment_type>ZIP</attachment_type>	[]		1
70	0		user	show emails to Dorothy about concert tickets	EMAILSEARCH	search_email	show <message_type>emails</message_type> to <contact_name_to>Dorothy</contact_name_to> about <keyword>concert tickets</keyword>	[]		1
77	0		user	Birthday note to Jim	EMAILSEARCH	search_email	<keyword>Birthday</keyword> <attachment_type>note</attachment_type> to <contact_name_to>Jim</contact_name_to>	[]		1
83	0		user	Messages from Mom	EMAILSEARCH	search_email	Messages from <relationship_name_from>Mom</relationship_name_from>	[]		1
85	0		user	Give me the email to Paul with an attachment	EMAILSEARCH	search_email	Give me the <message_type>email</message_type> to <contact_name_to>Paul</contact_name_to> with an <attachment>attachment</attachment>	[]		1
86	0		user	Lee power point file	EMAILSEARCH	search_email	<contact_name>Lee</contact_name> <attachment_type>power point file</attachment_type>	[]		1
91	0		user	get me emails from Paul with Tuesday in the title	EMAILSEARCH	search_email	get me <message_type>emails</message_type> from <contact_name_from>Paul</contact_name_from> with <email_subject>Tuesday</email_subject> in the title	[]		1
92	0		user	Search for the email with an attachment I sent to Paul	EMAILSEARCH	search_email	Search for the <message_type>email</message_type> with an <attachment>attachment</attachment> I sent to <contact_name_to>Paul</contact_name_to>	[]		1
93	0		user	Pictures from Bill	EMAILSEARCH	search_email	<attachment_type>Pictures</attachment_type> from <contact_name_from>Bill</contact_name_from>	[]		1
94	0		user	photos from joe	EMAILSEARCH	search_email	<attachment_type>photos</attachment_type> from <contact_name_from>joe</contact_name_from>	[]		1
105	0		user	emails with gif attachments	EMAILSEARCH	search_email	<message_type>emails</message_type> with <attachment_type>gif</attachment_type> <attachment>attachments</attachment>	[]		1
107	0		user	To: Mom concerning Birthday	EMAILSEARCH	search_email	To: <relationship_name_to>Mom</relationship_name_to> concerning <keyword>Birthday</keyword>	[]		1
115	0		user	From Mark last August 27	EMAILSEARCH	search_email	From <contact_name_from>Mark</contact_name_from> <start_date>last August 27</start_date>	[]		1
120	0		user	from Lia pdf attachment	EMAILSEARCH	search_email	from <contact_name_from>Lia</contact_name_from> <attachment_type>pdf</attachment_type> <attachment>attachment</attachment>	[]		1
121	0		user	from Porter, Porter, and Associates	EMAILSEARCH	search_email	from <contact_name_from>Porter, Porter, and Associates</contact_name_from>	[]		1
145	0		user	to Jim excel	EMAILSEARCH	search_email	to <contact_name_to>Jim</contact_name_to> <attachment_type>excel</attachment_type>	[]		1
146	0		user	March 19th to Jim	EMAILSEARCH	search_email	<start_date>March 19th</start_date> to <contact_name_to>Jim</contact_name_to>	[]		1
150	0		user	Do sitting from John	EMAILSEARCH	search_email	<keyword>Do sitting</keyword> from <contact_name_from>John</contact_name_from>	[]		1
155	0		user	from Walter with photos	EMAILSEARCH	search_email	from <contact_name_from>Walter</contact_name_from> with <attachment_type>photos</attachment_type>	[]		1
156	0		user	i have not read the warning	NOTSURE	other_domain	i have not read the warning	[]		1
157	0		user	Show me  the email I got from John last Wednesday	EMAILSEARCH	search_email	Show me  the <message_type>email</message_type> I got from <contact_name_from>John</contact_name_from> <start_date>last Wednesday</start_date>	[]		1
162	0		user	mails to Jane Doe to John	EMAILSEARCH	search_email	<message_type>mails</message_type> to <contact_name_to>Jane Doe</contact_name_to> to <contact_name_to>John</contact_name_to>	[]		1
166	0		user	email from Mary about dessert	EMAILSEARCH	search_email	<message_type>email</message_type> from <contact_name_from>Mary</contact_name_from> about <keyword>dessert</keyword>	[]		1
170	0		user	Email sent to Amanda	EMAILSEARCH	search_email	<message_type>Email</message_type> sent to <contact_name_to>Amanda</contact_name_to>	[]		1
175	0		user	from Greg excel 	EMAILSEARCH	search_email	from <contact_name_from>Greg</contact_name_from> <attachment_type>excel</attachment_type> 	[]		1
176	0		user	Steve file	EMAILSEARCH	search_email	<contact_name>Steve</contact_name> <attachment_type>file</attachment_type>	[]		1
177	0		user	Find an email with attachments from Paul	EMAILSEARCH	search_email	Find an <message_type>email</message_type> with <attachment>attachments</attachment> from <contact_name_from>Paul</contact_name_from>	[]		1
183	0		user	meetings from Sir	EMAILSEARCH	search_email	<keyword>meetings</keyword> from <contact_name_from>Sir</contact_name_from>	[]		1
184	0		user	show me messages that are from Bruce D.	EMAILSEARCH	search_email	show me <message_type>messages</message_type> that are from <contact_name_from>Bruce D</contact_name_from>.	[]		1
185	0		user	from John with exceln	EMAILSEARCH	search_email	from <contact_name_from>John</contact_name_from> with <keyword>exceln</keyword>	[]		1
198	0		user	From Olive in March	EMAILSEARCH	search_email	From <contact_name_from>Olive</contact_name_from> in <start_date>March</start_date>	[]		1
212	0		user	Bring up my emails to Yannick with Excel.	EMAILSEARCH	search_email	Bring up my <message_type>emails</message_type> to <contact_name_to>Yannick</contact_name_to> with <attachment_type>Excel</attachment_type>.	[]		1
213	0		user	Email from Susan on Sep't 12th	EMAILSEARCH	search_email	<message_type>Email</message_type> from <contact_name_from>Susan</contact_name_from> on <start_date>Sep&apos;t 12th</start_date>	[]		1
219	0		user	messages from Jennifer last week	EMAILSEARCH	search_email	messages from <contact_name_from>Jennifer</contact_name_from> <start_date>last week</start_date>	[]		1
224	0		user	messages to Kyle Seeback	EMAILSEARCH	search_email	messages to <contact_name_to>Kyle Seeback</contact_name_to>	[]		1
231	0		user	To David last Thursday.	EMAILSEARCH	search_email	To <contact_name_to>David</contact_name_to> <start_date>last Thursday</start_date>.	[]		1
234	0		user	To Jim attachment presentationn	EMAILSEARCH	search_email	To <contact_name_to>Jim</contact_name_to> <attachment>attachment</attachment> <keyword>presentationn</keyword>	[]		1
235	0		user	from john june 14th	EMAILSEARCH	search_email	from <contact_name_from>john</contact_name_from> <start_date>june 14th</start_date>	[]		1
236	0		user	Bring up the message from Ron about his son's graduation.	EMAILSEARCH	search_email	Bring up the message from <contact_name_from>Ron</contact_name_from> about <keyword>his son&apos;s graduation</keyword>.	[]		1
237	0		user	dad with photo of baby	EMAILSEARCH	search_email	<relationship_name>dad</relationship_name> with <attachment_type>photo</attachment_type> of <keyword>baby</keyword>	[]		1
239	0		user	to jane	EMAILSEARCH	search_email	to <contact_name_to>jane</contact_name_to>	[]		1
240	0		user	from Oscar about awards	EMAILSEARCH	search_email	from <contact_name_from>Oscar</contact_name_from> about <keyword>awards</keyword>	[]		1
