ConversationId	MessageId	MessageTimestamp	MessageFrom	MessageText	JudgedDomain	JudgedIntent	JudgedConstraints	MetaData	ConversationContext	Frequency	Dataset	SampleType
179422078	0		user	email with attachment sent by yong	EMAILSEARCH	search_email	<message_type>email</message_type> with <attachment>attachment</attachment> sent by <contact_name_from>yong</contact_name_from>	[]		1	outlook	Donated
179422448	0		user	from andrea	EMAILSEARCH	search_email	from <contact_name_from>andrea</contact_name_from>	[]		1	outlook	Donated
179421930	0		user	mail help	EMAILSEARCH	search_email	<message_type>mail</message_type> <keyword>help</keyword>	[]		1	outlook	Donated
179422923	0		user	from Alina	EMAILSEARCH	search_email	from <contact_name_from>Alina</contact_name_from>	[]		1	outlook	Donated
179421790	0		user	from moe	EMAILSEARCH	search_email	from <contact_name_from>moe</contact_name_from>	[]		1	outlook	Donated
179422835	0		user	from tasun data document	EMAILSEARCH	search_email	from <contact_name_from>tasun</contact_name_from> <keyword>data document</keyword>	[]		1	outlook	Donated
179422315	0		user	from Jamil with attachment	EMAILSEARCH	search_email	from <contact_name_from>Jamil</contact_name_from> <attachment>with attachment</attachment>	[]		1	outlook	Donated
179422664	0		user	from tao about multi-turn	EMAILSEARCH	search_email	from <contact_name_from>tao</contact_name_from> about <keyword>multi-turn</keyword>	[]		1	outlook	Donated
179421561	0		user	storeobjectid messages	EMAILSEARCH	search_email	<keyword>storeobjectid</keyword> messages	[]		1	outlook	Donated
179422752	0		user	from lauren with attachment	EMAILSEARCH	search_email	from <contact_name_from>lauren</contact_name_from> with <attachment>attachment</attachment>	[]		1	outlook	Donated
179421373	0		user	november norway	EMAILSEARCH	search_email	<start_date>november</start_date> <keyword>norway</keyword>	[]		1	outlook	Donated
179421062	0		user	margaret at	EMAILSEARCH	search_email	<contact_name>margaret</contact_name> at	[]		1	outlook	Donated
179421072	0		user	paddington april	EMAILSEARCH	search_email	<keyword>paddington</keyword> <start_date>april</start_date>	[]		1	outlook	Donated
179421555	0		user	from jamil don't	EMAILSEARCH	search_email	from <contact_name_from>jamil</contact_name_from> <keyword>don't</keyword>	[]		1	outlook	Donated
179422857	0		user	from rajkiran yesterday	EMAILSEARCH	search_email	from <contact_name_from>rajkiran</contact_name_from> <start_date>yesterday</start_date>	[]		1	outlook	Donated
179422224	0		user	from tao about multi turn	EMAILSEARCH	search_email	from <contact_name_from>tao</contact_name_from> about <keyword>multi turn</keyword>	[]		1	outlook	Donated
179422430	0		user	from ye-yi yesterday	EMAILSEARCH	search_email	from <contact_name_from>ye-yi</contact_name_from> <start_date>yesterday</start_date>	[]		1	outlook	Donated
179422520	0		user	andi slides	EMAILSEARCH	search_email	<contact_name>andi</contact_name> <attachment_type>slides</attachment_type>	[]		1	outlook	Donated
179421405	0		user	from vincent	EMAILSEARCH	search_email	from <contact_name_from>vincent</contact_name_from>	[]		1	outlook	Donated
179422751	0		user	from ming attachment	EMAILSEARCH	search_email	from <contact_name_from>ming</contact_name_from> <attachment>attachment</attachment>	[]		1	outlook	Donated
179422596	0		user	to yong	EMAILSEARCH	search_email	to <contact_name_to>yong</contact_name_to>	[]		1	outlook	Donated
179422426	0		user	from aisha about interview	EMAILSEARCH	search_email	from <contact_name_from>aisha</contact_name_from> about <keyword>interview</keyword>	[]		1	outlook	Donated
179420816	0		user	from Shuyin	EMAILSEARCH	search_email	from <contact_name_from>Shuyin</contact_name_from>	[]		1	outlook	Donated
179421969	0		user	to Renu about annoucement	EMAILSEARCH	search_email	to <contact_name_to>Renu</contact_name_to> about <keyword>annoucement</keyword>	[]		1	outlook	Donated
179422483	0		user	from shuyin + clyde	EMAILSEARCH	search_email	from <contact_name_from>shuyin</contact_name_from> + <contact_name>clyde</contact_name>	[]		1	outlook	Donated
179421578	0		user	from ye-yi with attachment	EMAILSEARCH	search_email	from <contact_name_from>ye-yi</contact_name_from> with <attachment>attachment</attachment>	[]		1	outlook	Donated
